baseline_pair,baseline,baseline_hi,metric,threshold,population,regime,populated,V_lo,V_hi,R
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.35,0.25,rare-first,0.26748889330946224,-0.0005100436087285276,-0.00013601162899427865,
nothing -> free,nothing,free,net_benefit,0.35,0.5,rare-first,0.5232080100789073,0.05121687904315819,0.012054030619617975,0.7646473029045644
nothing -> free+education,nothing,free+education,net_benefit,0.35,0.5,rare-first,0.5232080100789073,0.05121687904315819,-0.002677728945824853,1.0522821576763484
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.35,0.5,rare-first,0.5232080100789073,0.05121687904315819,0.003731819070530537,0.9271369294605808
free -> free+education,free,free+education,net_benefit,0.35,0.5,rare-first,0.5232080100789073,0.012054030619617975,-0.002677728945824853,1.2221438645980243
free -> free+education+hours,free,free+education+hours,net_benefit,0.35,0.5,rare-first,0.5232080100789073,0.012054030619617975,0.003731819070530537,0.6904090267983068
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.35,0.5,rare-first,0.5232080100789073,-0.002677728945824853,0.003731819070530537,
nothing -> free,nothing,free,net_benefit,0.35,0.75,rare-first,0.8137059876666004,0.05121687904315819,0.020095718183904723,0.6076348547717842
nothing -> free+education,nothing,free+education,net_benefit,0.35,0.75,rare-first,0.8137059876666004,0.05121687904315819,0.0011560988464513755,0.9774273858921161
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.35,0.75,rare-first,0.8137059876666004,0.05121687904315819,0.005142939721346176,0.8995850622406639
free -> free+education,free,free+education,net_benefit,0.35,0.75,rare-first,0.8137059876666004,0.020095718183904723,0.0011560988464513755,0.9424703891708965
free -> free+education+hours,free,free+education+hours,net_benefit,0.35,0.75,rare-first,0.8137059876666004,0.020095718183904723,0.005142939721346176,0.744077834179357
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.35,0.75,rare-first,0.8137059876666004,0.0011560988464513755,0.005142939721346176,-3.4485294117646923
nothing -> free,nothing,free,net_benefit,0.35,1.0,full,1.0,0.05121687904315819,0.025672194972670162,0.4987551867219917
nothing -> free+education,nothing,free+education,net_benefit,0.35,1.0,full,1.0,0.05121687904315819,0.0047264041075512075,0.9077178423236513
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.35,1.0,full,1.0,0.05121687904315819,0.008330712275899599,0.8373443983402488
free -> free+education,free,free+education,net_benefit,0.35,1.0,full,1.0,0.025672194972670162,0.0047264041075512075,0.8158940397350989
free -> free+education+hours,free,free+education+hours,net_benefit,0.35,1.0,full,1.0,0.025672194972670162,0.008330712275899599,0.6754966887417215
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.35,1.0,full,1.0,0.0047264041075512075,0.008330712275899599,-0.7625899280575514
