log,target,metric,draw,axis,S,S_total
BPIC13_closed,handover,ap,41,split,0.22304230395004512,0.5222009916415797
BPIC13_closed,handover,ap,41,quality_level,0.1645428442608979,0.3348519515256687
BPIC13_closed,handover,ap,41,rung,0.10488756408013872,0.37595316470479406
BPIC13_closed,handover,ap,42,learner,0.026185303318159762,0.09620472074029358
BPIC13_closed,handover,ap,42,split,0.24953239150923642,0.393857254393063
BPIC13_closed,handover,ap,42,quality_level,0.10605780643303415,0.18725560211788975
BPIC13_closed,handover,ap,42,rung,0.4269318202646935,0.5929787130161348
BPIC13_closed,handover,ap,43,learner,0.1025116617554908,0.372187118687574
BPIC13_closed,handover,ap,43,split,0.07081080829332077,0.2929097713692415
BPIC13_closed,handover,ap,43,quality_level,4.753569824632641e-05,0.10949885110122574
BPIC13_closed,handover,ap,43,rung,0.47450912181123195,0.6861472693466945
BPIC13_closed,handover,ap,44,learner,0.0035455388943770364,0.2727847019426078
BPIC13_closed,handover,ap,44,split,0.05832148704984119,0.4029626014509026
BPIC13_closed,handover,ap,44,quality_level,0.027784117912291836,0.2410410158037681
BPIC13_closed,handover,ap,44,rung,0.36118476953520445,0.7206035471009711
BPIC13_closed,handover,ap,45,learner,0.005233353332785328,0.61538387825875
BPIC13_closed,handover,ap,45,split,0.10812018961011459,0.7947316785311533
BPIC13_closed,handover,ap,45,quality_level,0.0033863641567701136,0.28426827281310996
BPIC13_closed,handover,ap,45,rung,0.055426087121238,0.3500782950371183
BPIC13_closed,handover,ap,46,learner,0.13299770804632455,0.3487621187346738
BPIC13_closed,handover,ap,46,split,0.3871416226467487,0.5417825511822885
BPIC13_closed,handover,ap,46,quality_level,0.0580401108872334,0.26066793431325214
BPIC13_closed,handover,ap,46,rung,0.16234797926486896,0.2664233825513114
BPIC13_closed,handover,ap,47,learner,0.030752540696019633,0.5175062934940897
BPIC13_closed,handover,ap,47,split,0.2944891620911532,0.7530824012430519
BPIC13_closed,handover,ap,47,quality_level,0.003956464066172897,0.09663507429288021
BPIC13_closed,handover,ap,47,rung,0.06423245481345784,0.5161783656528578
BPIC13_closed,handover,ap,48,learner,0.05603791014199112,0.5189098816578677
BPIC13_closed,handover,ap,48,split,0.3124459865502917,0.5507009733935581
BPIC13_closed,handover,ap,48,quality_level,0.02698395930012997,0.17047064809481985
BPIC13_closed,handover,ap,48,rung,0.014481879873961635,0.5625099665521609
BPIC13_closed,handover,ap,49,learner,0.0026366672393691656,0.3863187591077647
BPIC13_closed,handover,ap,49,split,0.16552937535658707,0.5698769541271458
BPIC13_closed,handover,ap,49,quality_level,0.0027193824727561908,0.0718722919665689
BPIC13_closed,handover,ap,49,rung,0.19876400864968374,0.7710356603341577
BPIC13_closed,handover,ap,50,learner,0.003887938974662487,0.3906052566454993
BPIC13_closed,handover,ap,50,split,0.1878619688179741,0.6382395570682423
BPIC13_closed,handover,ap,50,quality_level,0.0011389216750491663,0.4531733611433554
BPIC13_closed,handover,ap,50,rung,0.010404397452288787,0.6353995982980876
BPIC13_closed,handover,ap,51,learner,0.0008864501120918004,0.2155311322789249
BPIC13_closed,handover,ap,51,split,0.5021713286786895,0.7451891394320981
BPIC13_closed,handover,ap,51,quality_level,0.1339170073797713,0.3048420045329561
BPIC13_closed,handover,ap,51,rung,0.01309543196021268,0.22019224791762537
BPIC13_closed,handover,ap,52,learner,0.00791398861152555,0.6552074050334765
BPIC13_closed,handover,ap,52,split,0.17210214323761108,0.7806765770024852
BPIC13_closed,handover,ap,52,quality_level,0.05694194904788872,0.1078672827618036
BPIC13_closed,handover,ap,52,rung,0.04752178146894312,0.19787358759937787
BPIC13_closed,handover,ap,53,learner,0.3650574341188507,0.658702526037112
BPIC13_closed,handover,ap,53,split,0.01887959906557009,0.19762776988166264
BPIC13_closed,handover,ap,53,quality_level,0.05654682412668077,0.18584676031395458
BPIC13_closed,handover,ap,53,rung,0.20861393259848585,0.4601411061401519
BPIC13_closed,handover,ap,54,learner,0.17887041952649077,0.46687478361914164
BPIC13_closed,handover,ap,54,split,0.3376474918750776,0.5740615985969086
BPIC13_closed,handover,ap,54,quality_level,0.01780495299820943,0.189522282841395
BPIC13_closed,handover,ap,54,rung,0.03755091469530149,0.3438235491223941
BPIC13_closed,handover,ap,55,learner,0.023652772923198964,0.3366157589195239
BPIC13_closed,handover,ap,55,split,0.025341365651581953,0.4492131817846962
BPIC13_closed,handover,ap,55,quality_level,0.005232039988972603,0.06321864980624105
BPIC13_closed,handover,ap,55,rung,0.3568011513817112,0.9002230606167556
