world,rep,V_hat,V_oracle,auc_full,auc_base,naive_shift,nested_shift,naive_pct_lo,naive_pct_hi,naive_pct_width,naive_basic_lo,naive_basic_hi,naive_basic_width,naive_bc_lo,naive_bc_hi,naive_bc_width,nested_pct_lo,nested_pct_hi,nested_pct_width,nested_basic_lo,nested_basic_hi,nested_basic_width,nested_bc_lo,nested_bc_hi,nested_bc_width,naive_lo,naive_hi,nested_lo,nested_hi,naive_width,nested_width,V_limit
linear,15,0.19826368089176083,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.001879335732954901,0.0003720080078271626,0.17129211041045295,0.2291510733339144,0.05785896292346146,0.16737628844960725,0.2252352513730687,0.05785896292346146,0.17458995119631793,0.23030524653613074,0.055715295339812815,0.16899341885302652,0.233363751909593,0.06437033305656648,0.16316360987392867,0.22753394293049514,0.06437033305656648,0.1681925244586934,0.23062077305582185,0.06242824859712845,0.17129211041045295,0.2291510733339144,0.16899341885302652,0.233363751909593,0.05785896292346146,0.06437033305656648,0.19181526714026131
linear,16,0.18248883659990922,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.0009252619936672146,0.0005036545495251676,0.15501051552680475,0.21222259315315314,0.05721207762634839,0.1527550800466653,0.2099671576730137,0.05721207762634839,0.15716030747809376,0.21492875906598122,0.05776845158788746,0.14797538800136065,0.21467626582625404,0.0667008778248934,0.1503014073735644,0.2170022851984578,0.0667008778248934,0.14780410817582024,0.21465472594992832,0.06685061777410808,0.15501051552680475,0.21222259315315314,0.14797538800136065,0.21467626582625404,0.05721207762634839,0.0667008778248934,0.19181526714026131
linear,17,0.1879385090028991,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.00013038627459643903,0.0009921564225099933,0.15725644683356282,0.21706563840130685,0.05980919156774403,0.15881137960449135,0.21862057117223538,0.05980919156774403,0.1587950810254667,0.2182506687113646,0.0594555876858979,0.15839287844565422,0.21489568420630212,0.056502805760647895,0.16098133379949608,0.21748413956014398,0.056502805760647895,0.1569118996268502,0.21400097833680204,0.057089078709951835,0.15725644683356282,0.21706563840130685,0.15839287844565422,0.21489568420630212,0.05980919156774403,0.056502805760647895,0.19181526714026131
linear,18,0.1814535562094155,0.1919673433573298,0.7592463717580317,0.5672790284007019,0.0024334879574713364,-0.0020241208310385894,0.1454560998183317,0.2077161763957165,0.062260076577384776,0.1551909360231145,0.2174510126004993,0.062260076577384776,0.1417858877341362,0.2014698849974936,0.05968399726335741,0.15692791731914765,0.2107141628010318,0.053786245481884154,0.1521929496177992,0.20597919509968335,0.053786245481884154,0.15880912623603832,0.21184268755451063,0.05303356131847231,0.1454560998183317,0.2077161763957165,0.15692791731914765,0.2107141628010318,0.062260076577384776,0.053786245481884154,0.19181526714026131
linear,19,0.19999760993225235,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.0009066936383901325,-0.0001679907817135895,0.17625313143650367,0.2249446501947249,0.048691518758221225,0.1750505696697798,0.22374208842800103,0.048691518758221225,0.1764855806183271,0.22569989981179417,0.04921431919346708,0.17347595677631233,0.22692002401541778,0.05344406723910544,0.17307519584908693,0.22651926308819237,0.05344406723910544,0.173751576521358,0.22709818688693317,0.05334661036557517,0.17625313143650367,0.2249446501947249,0.17347595677631233,0.22692002401541778,0.048691518758221225,0.05344406723910544,0.19181526714026131
linear,24,0.18851182372239572,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.00025891833058122593,-0.000920396790194622,0.156511836097098,0.21306908113070464,0.056557245033606623,0.1639545663140868,0.22051181134769343,0.056557245033606623,0.15714701537229295,0.21336482656205835,0.056217811189765404,0.1479755977176575,0.21795026818088722,0.06997467046322972,0.15907337926390422,0.22904804972713394,0.06997467046322972,0.15579275631298287,0.22046402161570502,0.06467126530272216,0.156511836097098,0.21306908113070464,0.1479755977176575,0.21795026818088722,0.056557245033606623,0.06997467046322972,0.19181526714026131
linear,25,0.20903420137462703,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.0011817404073132254,0.0009517715136910243,0.17801715854700356,0.23703238718208794,0.05901522863508438,0.18103601556716611,0.2400512442022505,0.05901522863508438,0.17851838658697683,0.23863280096228212,0.06011441437530529,0.18300779789627394,0.24042647216511936,0.05741867426884542,0.1776419305841347,0.2350606048529801,0.05741867426884542,0.18206837828437908,0.2403287652012075,0.058260386916828416,0.17801715854700356,0.23703238718208794,0.18300779789627394,0.24042647216511936,0.05901522863508438,0.05741867426884542,0.19181526714026131
linear,26,0.1699325590313323,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.0033486768018617386,0.0027405511638392,0.14214892817482727,0.19931780319680178,0.05716887502197451,0.14054731486586283,0.19771618988783735,0.05716887502197451,0.14682427738835824,0.20924705607994745,0.062422778691589215,0.1412912972845175,0.21400205414072057,0.07271075685620307,0.12586306392194405,0.19857382077814711,0.07271075685620307,0.13980212015717866,0.21123944547766885,0.07143732532049019,0.14214892817482727,0.19931780319680178,0.1412912972845175,0.21400205414072057,0.05716887502197451,0.07271075685620307,0.19181526714026131
linear,27,0.18749804837026784,0.1919673433573298,0.7592463717580317,0.5672790284007019,3.7425276944003105e-05,-0.0013299253489082452,0.15678849460243216,0.21726884094450385,0.060480346342071695,0.15772725579603183,0.21820760213810353,0.060480346342071695,0.15631705743197594,0.21687303137510133,0.060555973943125396,0.15450364305592387,0.22148322185650943,0.06697957880058555,0.15351287488402626,0.22049245368461182,0.06697957880058555,0.15556333021376575,0.22172426023365785,0.0661609300198921,0.15678849460243216,0.21726884094450385,0.15450364305592387,0.22148322185650943,0.060480346342071695,0.06697957880058555,0.19181526714026131
linear,20,0.21984085270879816,0.1919673433573298,0.7592463717580317,0.5672790284007019,0.000537782844905188,0.00386725453421799,0.1870622571629245,0.24212282587008163,0.05506056870715714,0.1975588795475147,0.25261944825467186,0.05506056870715717,0.18651368056611956,0.24139698021839018,0.05488329965227062,0.19393441084355847,0.2485998937165509,0.054665482872992416,0.19108181170104543,0.24574729457403785,0.054665482872992416,0.18998187824920437,0.2415349009068601,0.05155302265765574,0.1870622571629245,0.24212282587008163,0.19393441084355847,0.2485998937165509,0.05506056870715714,0.054665482872992416,0.19181526714026131
