log,target,family,encoding,split,quality,level,quality_level,rung,metric,without_f,with_f,V
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_half,brier_skill,-0.0184144549154861,0.023051425785694968,0.04146588070118107
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_half,nagelkerke,-0.027780060606530266,0.019105301258032652,0.04688536186456292
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_half,logloss_skill,-0.014743091302616529,0.010320055220277569,0.025063146522894098
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_intake,auc,0.45130852768381696,0.47605483354103606,0.024746305857219097
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_intake,ap,0.21328990819687305,0.2128089714404456,-0.00048093675642743583
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_intake,brier_skill,-0.010050732783813743,0.030074720667848664,0.04012545345166241
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_intake,nagelkerke,-0.023286136282499228,0.03023661155003608,0.05352274783253531
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_intake,logloss_skill,-0.012378799457868572,0.016402746905008647,0.02878154636287722
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_intake_g,auc,0.5749510414812177,0.5738828556168774,-0.0010681858643403208
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_intake_g,ap,0.3522631665230452,0.3514828917589238,-0.0007802747641214025
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_intake_g,brier_skill,0.2483033928092514,0.24808696519558582,-0.00021642761366558183
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_intake_g,nagelkerke,0.310731252938898,0.31054689087418896,-0.0001843620647090094
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_intake_g,logloss_skill,0.1899223684198913,0.18979317792352324,-0.00012919049636805902
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_half,auc,0.4870037386505252,0.51344133879295,0.026437600142424744
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_half,ap,0.2458208431971391,0.26928215131038624,0.023461308113247148
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_half,brier_skill,-0.0184144549154861,-0.13952187642799663,-0.12110742151251053
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_half,nagelkerke,-0.027780060606530266,-0.22549384831233593,-0.19771378770580567
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_half,logloss_skill,-0.014743091302616529,-0.11165950012122239,-0.09691640881860586
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_intake,auc,0.45130852768381696,0.4873598006053053,0.03605127292148835
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_intake,ap,0.21328990819687305,0.23598522385148926,0.022695315654616216
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_intake,brier_skill,-0.010050732783813743,-0.09299596790018327,-0.08294523511636953
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_intake,nagelkerke,-0.023286136282499228,-0.15032176179345874,-0.1270356255109595
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_intake,logloss_skill,-0.012378799457868572,-0.07635269772661868,-0.0639738982687501
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_intake_g,auc,0.5749510414812177,0.5799359088481396,0.004984867366921941
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_intake_g,ap,0.3522631665230452,0.37948338085330124,0.027220214330256065
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_intake_g,brier_skill,0.2483033928092514,0.249208873772385,0.000905480963133587
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_intake_g,nagelkerke,0.310731252938898,0.31169230310084195,0.0009610501619439771
BPIC13_closed,handover,logistic,frequency,rolling2,mask_rare,0.5,mask_rare/0.5,B_intake_g,logloss_skill,0.1899223684198913,0.19059619905401726,0.0006738306341259603
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_half,auc,0.4870037386505252,0.44338614918995906,-0.04361758946056615
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_half,ap,0.2458208431971391,0.19994975798241332,-0.04587108521472577
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_half,brier_skill,-0.0184144549154861,0.026244103107057604,0.044658558022543704
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_half,nagelkerke,-0.027780060606530266,0.02925666127567469,0.05703672188220496
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_half,logloss_skill,-0.014743091302616529,0.015865156444326955,0.030608247746943484
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_intake,auc,0.45130852768381696,0.47151504361758945,0.020206515933772484
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_intake,ap,0.21328990819687305,0.21060481323572802,-0.0026850949611450237
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_intake,brier_skill,-0.010050732783813743,0.03157094815393602,0.04162168093774976
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_intake,nagelkerke,-0.023286136282499228,0.03694820152251464,0.060234337805013874
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_intake,logloss_skill,-0.012378799457868572,0.020095641304068712,0.032474440761937284
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_intake_g,auc,0.5749510414812177,0.5738828556168774,-0.0010681858643403208
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_intake_g,ap,0.3522631665230452,0.35146640688347286,-0.0007967596395723198
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_intake_g,brier_skill,0.2483033928092514,0.24790236636228935,-0.0004010264469620495
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_intake_g,nagelkerke,0.310731252938898,0.31038545839034976,-0.00034579454854821723
BPIC13_closed,handover,logistic,frequency,rolling2,corrupt,0.15,corrupt/0.15,B_intake_g,logloss_skill,0.1899223684198913,0.18968007448821267,-0.00024229393167862767
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_half,auc,0.569532269396768,0.5403241995382917,-0.02920806985847635
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_half,ap,0.3180394718215608,0.2768569664512487,-0.041182505370312095
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_half,brier_skill,-0.20959820615830882,-0.2241557587938623,-0.014557552635553472
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_half,nagelkerke,-0.4361725593859706,-0.4852510762677596,-0.04907851688178899
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_half,logloss_skill,-0.21372860235458946,-0.234486608554759,-0.020758006200169543
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_intake,auc,0.6914583960654421,0.6829268292682926,-0.008531566797149504
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_intake,ap,0.4298374861521168,0.43100250413994357,0.0011650179878267553
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_intake,brier_skill,0.1061208526807047,0.098609323957906,-0.007511528722798699
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_intake,nagelkerke,0.14692924959136044,0.14316983348073736,-0.0037594161106230817
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_intake,logloss_skill,0.08755567595878855,0.08518849892637048,-0.0023671770324180663
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_intake_g,auc,0.7735872729097661,0.7645162099769145,-0.009071062932851648
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_intake_g,ap,0.5867106545928655,0.5722625695563154,-0.014448085036550151
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_intake_g,brier_skill,0.2527473530393931,0.23925715114902812,-0.013490201890364983
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_intake_g,nagelkerke,0.33610443215667163,0.33033129341608175,-0.005773138740589878
BPIC13_closed,handover,logistic,one-hot,holdout70,clean,1.0,clean/1.0,B_intake_g,logloss_skill,0.21702429100517606,0.21273834928906799,-0.004285941716108077
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_half,auc,0.569532269396768,0.5451043862290476,-0.024427883167720488
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_half,ap,0.3180394718215608,0.28020403482811107,-0.03783543699344971
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_half,brier_skill,-0.20959820615830882,-0.2346432835870944,-0.02504507742878559
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_half,nagelkerke,-0.4361725593859706,-0.5087444437053656,-0.07257188431939504
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_half,logloss_skill,-0.21372860235458946,-0.24423114248370537,-0.030502540129115907
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake,auc,0.6914583960654421,0.6718483388537588,-0.019610057211683296
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake,ap,0.4298374861521168,0.41470144546942544,-0.015136040682691365
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake,brier_skill,0.1061208526807047,0.0777159410778453,-0.028404911602859406
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake,nagelkerke,0.14692924959136044,0.11256529865314455,-0.0343639509382159
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake,logloss_skill,0.08755567595878855,0.06618046676166245,-0.0213752091971261
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g,auc,0.7735872729097661,0.7636128676101577,-0.009974405299608469
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g,ap,0.5867106545928655,0.5773862495496948,-0.00932440504317078
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g,brier_skill,0.2527473530393931,0.23631010525782137,-0.01643724778157174
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g,nagelkerke,0.33610443215667163,0.3188846109590966,-0.017219821197575036
BPIC13_closed,handover,logistic,one-hot,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g,logloss_skill,0.21702429100517606,0.204309389667224,-0.012714901337952056
BPIC13_closed,handover,logistic,one-hot,holdout70,corrupt,0.15,corrupt/0.15,B_half,auc,0.569532269396768,0.5278405098865804,-0.041691759510187665
BPIC13_closed,handover,logistic,one-hot,holdout70,corrupt,0.15,corrupt/0.15,B_half,ap,0.3180394718215608,0.2692490714115232,-0.04879040041003757
BPIC13_closed,handover,logistic,one-hot,holdout70,corrupt,0.15,corrupt/0.15,B_half,brier_skill,-0.20959820615830882,-0.22903013881593726,-0.019431932657628437
BPIC13_closed,handover,logistic,one-hot,holdout70,corrupt,0.15,corrupt/0.15,B_half,nagelkerke,-0.4361725593859706,-0.47919964592212144,-0.04302708653615084
BPIC13_closed,handover,logistic,one-hot,holdout70,corrupt,0.15,corrupt/0.15,B_half,logloss_skill,-0.21372860235458946,-0.23195677329876085,-0.018228170944171396
