rho,n,rep,R_hat,V_lo,V_hi,R_true
0.0,60000,32,0.11740461136531177,0.24738023749796134,0.21833665685505466,0.1328895331262817
0.0,60000,33,0.12240014918259201,0.24502697130316475,0.2150356334618987,0.1328895331262817
0.0,60000,34,0.12808827914250986,0.24775519632301746,0.21602065957738747,0.1328895331262817
0.0,60000,35,0.13216502120178575,0.24070591980711287,0.20889301681241046,0.1328895331262817
0.0,60000,36,0.13063249526657694,0.23998594209482293,0.20863597965007596,0.1328895331262817
0.0,60000,37,0.1113543908518998,0.24504660523520194,0.21775958977891008,0.1328895331262817
0.0,60000,38,0.12181483779409075,0.24120850893079127,0.21182573354083245,0.1328895331262817
0.0,60000,39,0.12108804418590091,0.24185338449935045,0.21256783119058342,0.1328895331262817
0.2,5000,0,0.14132412049390286,0.18422250311560529,0.1581874198876071,0.15585542439685396
0.2,5000,1,0.1459569913398845,0.1922094508301404,0.16415513767988166,0.15585542439685396
0.2,5000,2,0.18889005272162318,0.20440519202462193,0.1657950845265176,0.15585542439685396
0.2,5000,3,0.14741952321343532,0.1932955357142856,0.16480000000000006,0.15585542439685396
0.2,5000,4,0.1396046638825127,0.1739140097717784,0.14963480289312925,0.15585542439685396
0.2,5000,5,0.10694919615373655,0.186595323958489,0.16663910405508253,0.15585542439685396
0.2,5000,6,0.15470516918329102,0.2016351268703419,0.17044113045457132,0.15585542439685396
0.2,5000,7,0.02931842618980518,0.1706703487595207,0.1656665627366264,0.15585542439685396
0.2,5000,8,0.10477686372293082,0.22673165954415953,0.20297542735042717,0.15585542439685396
0.2,5000,9,0.055866198473584205,0.17954826374994437,0.16951758481170254,0.15585542439685396
0.2,20000,0,0.14194632290447018,0.20798183683858285,0.17845957986842853,0.15585542439685396
0.2,20000,1,0.17899380229123385,0.19781574622455111,0.16240795365474092,0.15585542439685396
0.2,20000,2,0.1386367515740965,0.20245805421135166,0.17438992724547753,0.15585542439685396
0.2,20000,3,0.13477473714496613,0.20049716294277964,0.17347521050885506,0.15585542439685396
0.2,20000,4,0.1467343695730352,0.19933243071992823,0.17008351216277884,0.15585542439685396
0.2,20000,5,0.15053324433577786,0.19188918191798354,0.1630034808109312,0.15585542439685396
0.2,20000,6,0.17666941659921476,0.21440433302956086,0.17652564459688458,0.15585542439685396
0.2,20000,7,0.10792623035357352,0.2060831190908039,0.1838413449078269,0.15585542439685396
0.2,20000,8,0.16429938220686435,0.20498474257043697,0.17130587600428104,0.15585542439685396
0.2,20000,9,0.17884938604512046,0.1997662124490508,0.16403814799997896,0.15585542439685396
0.2,60000,0,0.15011458098378694,0.19215086048430863,0.16330621457703254,0.15585542439685396
0.2,60000,1,0.1538242751750175,0.2011043247269363,0.17016959774125395,0.15585542439685396
0.2,60000,2,0.15513781880767763,0.1946863408723628,0.16448312659777642,0.15585542439685396
0.2,60000,3,0.13658367211802347,0.19753602787292435,0.1705558318104321,0.15585542439685396
0.2,60000,4,0.1421201018042123,0.19135982193903012,0.1641637445638192,0.15585542439685396
0.2,60000,5,0.15234108774368693,0.20507246293458348,0.1738315008648521,0.15585542439685396
0.2,60000,6,0.14553883455151917,0.20200417407576388,0.172604722006235,0.15585542439685396
0.2,60000,7,0.15768861937147483,0.20297257566368443,0.17096611043700582,0.15585542439685396
0.2,60000,8,0.14346002296011628,0.19331451508771458,0.1655816103147073,0.15585542439685396
0.2,60000,9,0.1635487117444988,0.20321513876852304,0.16997956461595154,0.15585542439685396
0.2,60000,10,0.14861025648384685,0.200717338714682,0.17088868352753794,0.15585542439685396
0.2,60000,11,0.1566125448644411,0.2012061821084934,0.16969476988602405,0.15585542439685396
0.2,60000,12,0.18155079978010036,0.20386995002313113,0.1668571975453026,0.15585542439685396
0.2,60000,13,0.1388639730332465,0.19260587695092068,0.16585985964796324,0.15585542439685396
0.2,60000,14,0.15189485389297686,0.20275162783361167,0.171954698947262,0.15585542439685396
0.2,60000,15,0.15056860173532893,0.19873298048746624,0.16881003349677404,0.15585542439685396
0.2,60000,16,0.14718779444979313,0.19510338936295013,0.16638655179293826,0.15585542439685396
0.2,60000,17,0.15979322693140663,0.2012664852904249,0.16910546413272542,0.15585542439685396
0.2,60000,18,0.15483223506782529,0.20501963913931487,0.17327599017857576,0.15585542439685396
0.2,60000,19,0.154800658654209,0.19780753035818166,0.1671867943719727,0.15585542439685396
0.2,60000,20,0.1418031712961706,0.20348360176207592,0.1746289817254465,0.15585542439685396
0.2,60000,21,0.13386121197363787,0.20029457797011718,0.173482903011289,0.15585542439685396
0.2,60000,22,0.16214060651570716,0.20201712554515294,0.16926194628270208,0.15585542439685396
0.2,60000,23,0.14657168081971605,0.20676646963316536,0.17646036064187354,0.15585542439685396
0.2,60000,24,0.16873850353913578,0.19183368677787294,0.15946395754257936,0.15585542439685396
