log,target,metric,measure,component,order,share,scale
BPIC13_incidents,handover,auc,equal-level,split+quality_level,2,0.013346353506755277,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,split+rung,2,0.009426581592548965,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,quality_level+rung,2,0.0556557009089153,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,learner+split+quality_level,3,0.006698520579695835,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,learner+split+rung,3,0.010881471680783392,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,learner+quality_level+rung,3,0.0009594688427120672,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,split+quality_level+rung,3,0.006565289196403671,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,learner+split+quality_level+rung,4,0.0050413119315849365,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,learner,1,0.005101253487079994,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,split,1,0.17202784447819622,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,quality_level,1,0.34654951158168,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,rung,1,0.16873456430576136,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,learner+split,2,0.026503143550167526,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,learner+quality_level,2,0.005134886320383972,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,learner+rung,2,0.018326152113264837,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,split+quality_level,2,0.03111184791329274,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,split+rung,2,0.08389187185382188,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,quality_level+rung,2,0.03145852757699085,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,learner+split+quality_level,3,0.020690253489296075,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,learner+split+rung,3,0.04348265862245918,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,learner+quality_level+rung,3,0.0016587148143379629,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,split+quality_level+rung,3,0.021167773552239665,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,learner+split+quality_level+rung,4,0.02416099634102767,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,learner,1,0.08473585824147319,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,split,1,0.3573974720977646,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,quality_level,1,0.032548693544474365,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,rung,1,0.0037325220286614016,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,learner+split,2,0.27434771346730963,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,learner+quality_level,2,0.002746369953277014,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,learner+rung,2,0.01974882456102688,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,split+quality_level,2,0.03144032865280267,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,split+rung,2,0.04058722499724864,raw-within-metric
