macro,generator,line
covEmpHiDegenDcaAtDesign,round21_numbers.py,1506
covEmpHiDegenDcaAtDesignSE,round21_numbers.py,1507
covEmpHiDegenMedian,round21_numbers.py,1470
covEmpHiDegenMin,round21_numbers.py,1472
covEmpHiDegenWholeAtDesign,round21_numbers.py,1506
covEmpHiDegenWholeAtDesignSE,round21_numbers.py,1507
covEmpHiGaussCaseAtDesign,round21_numbers.py,1506
covEmpHiGaussCaseAtDesignSE,round21_numbers.py,1507
covEmpHiGaussDcaAtDesign,round21_numbers.py,1506
covEmpHiGaussDcaAtDesignSE,round21_numbers.py,1507
covEmpHiGaussMedian,round21_numbers.py,1470
covEmpHiGaussMin,round21_numbers.py,1472
covEmpHiGaussWholeAtDesign,round21_numbers.py,1506
covEmpHiGaussWholeAtDesignSE,round21_numbers.py,1507
covEmpHiHeavyCaseAtDesign,round21_numbers.py,1506
covEmpHiHeavyCaseAtDesignSE,round21_numbers.py,1507
covEmpHiHeavyDcaAtDesign,round21_numbers.py,1506
covEmpHiHeavyDcaAtDesignSE,round21_numbers.py,1507
covEmpHiHeavyMedian,round21_numbers.py,1470
covEmpHiHeavyMin,round21_numbers.py,1472
covEmpHiHeavyWholeAtDesign,round21_numbers.py,1506
covEmpHiHeavyWholeAtDesignSE,round21_numbers.py,1507
covEmpHiNonzeroCaseAtDesign,round21_numbers.py,1506
covEmpHiNonzeroCaseAtDesignSE,round21_numbers.py,1507
covEmpHiNonzeroDcaAtDesign,round21_numbers.py,1506
covEmpHiNonzeroDcaAtDesignSE,round21_numbers.py,1507
covEmpHiNonzeroWholeAtDesign,round21_numbers.py,1506
covEmpHiNonzeroWholeAtDesignSE,round21_numbers.py,1507
covEmpHiWholeAtDesign,round27_numbers.py,333
covEmpNonzeroCaseAtDesign,round21_numbers.py,1506
covEmpNonzeroCaseAtDesignSE,round21_numbers.py,1507
covEmpNonzeroDcaAtDesign,round21_numbers.py,1506
covEmpNonzeroDcaAtDesignSE,round21_numbers.py,1507
covEmpNonzeroWholeAtDesign,round21_numbers.py,1506
covEmpNonzeroWholeAtDesignSE,round21_numbers.py,1507
covEmpWholeAtDesign,round27_numbers.py,330
covEmpWholeAtDesignSE,round27_numbers.py,331
covHeavyDcaMedian,round27_numbers.py,318
covHeavyDcaMin,round27_numbers.py,320
covHeavyWholeAtDesign,round27_numbers.py,309
covHeavyWholeAtDesignSE,round27_numbers.py,311
covHeavyWholeMax,round27_numbers.py,315
covHeavyWholeMin,round27_numbers.py,313
covMultBootEighty,round21_numbers.py,1479
covMultBootFourHundred,round21_numbers.py,1479
covMultBootNonzeroEighty,round21_numbers.py,1489
covMultBootNonzeroFourHundred,round21_numbers.py,1489
covMultBootNonzeroOneFifty,round21_numbers.py,1489
covMultBootNonzeroOneThousand,round21_numbers.py,1489
covMultBootNonzeroThirtyThree,round21_numbers.py,1489
covMultBootOneFifty,round21_numbers.py,1479
covMultBootOneThousand,round21_numbers.py,1479
covMultBootThirtyThree,round21_numbers.py,1479
covMultDegenCaseAtDesign,round21_numbers.py,1506
covMultDegenCaseAtDesignSE,round21_numbers.py,1507
covMultDegenDcaAtDesign,round21_numbers.py,1506
covMultDegenDcaAtDesignSE,round21_numbers.py,1507
covMultDegenMedian,round21_numbers.py,1470
covMultDegenMin,round21_numbers.py,1472
covMultDegenWholeAtDesign,round21_numbers.py,1506
covMultDegenWholeAtDesignSE,round21_numbers.py,1507
covMultGaussCaseAtDesign,round21_numbers.py,1506
covMultGaussCaseAtDesignSE,round21_numbers.py,1507
covMultGaussDcaAtDesign,round21_numbers.py,1506
covMultGaussDcaAtDesignSE,round21_numbers.py,1507
covMultGaussMedian,round21_numbers.py,1470
covMultGaussMin,round21_numbers.py,1472
covMultGaussWholeAtDesign,round21_numbers.py,1506
covMultGaussWholeAtDesignSE,round21_numbers.py,1507
covMultHeavyCaseAtDesign,round21_numbers.py,1506
covMultHeavyCaseAtDesignSE,round21_numbers.py,1507
covMultHeavyDcaAtDesign,round21_numbers.py,1506
covMultHeavyDcaAtDesignSE,round21_numbers.py,1507
covMultHeavyMedian,round21_numbers.py,1470
covMultHeavyMin,round21_numbers.py,1472
covMultHeavyWholeAtDesign,round21_numbers.py,1506
covMultHeavyWholeAtDesignSE,round21_numbers.py,1507
covMultHiDegenCaseAtDesign,round21_numbers.py,1506
covMultHiDegenCaseAtDesignSE,round21_numbers.py,1507
covMultHiDegenDcaAtDesign,round21_numbers.py,1506
covMultHiDegenDcaAtDesignSE,round21_numbers.py,1507
covMultHiDegenMedian,round21_numbers.py,1470
covMultHiDegenMin,round21_numbers.py,1472
covMultHiDegenWholeAtDesign,round21_numbers.py,1506
covMultHiDegenWholeAtDesignSE,round21_numbers.py,1507
covMultHiGaussCaseAtDesign,round21_numbers.py,1506
covMultHiGaussCaseAtDesignSE,round21_numbers.py,1507
covMultHiGaussDcaAtDesign,round21_numbers.py,1506
covMultHiGaussDcaAtDesignSE,round21_numbers.py,1507
covMultHiGaussMedian,round21_numbers.py,1470
covMultHiGaussMin,round21_numbers.py,1472
covMultHiGaussWholeAtDesign,round21_numbers.py,1506
covMultHiGaussWholeAtDesignSE,round21_numbers.py,1507
covMultHiHeavyCaseAtDesign,round21_numbers.py,1506
covMultHiHeavyCaseAtDesignSE,round21_numbers.py,1507
covMultHiHeavyDcaAtDesign,round21_numbers.py,1506
covMultHiHeavyDcaAtDesignSE,round21_numbers.py,1507
covMultHiHeavyMedian,round21_numbers.py,1470
covMultHiHeavyMin,round21_numbers.py,1472
covMultHiHeavyWholeAtDesign,round21_numbers.py,1506
covMultHiHeavyWholeAtDesignSE,round21_numbers.py,1507
covMultHiNonzeroCaseAtDesign,round21_numbers.py,1506
covMultHiNonzeroCaseAtDesignSE,round21_numbers.py,1507
covMultHiNonzeroDcaAtDesign,round21_numbers.py,1506
covMultHiNonzeroDcaAtDesignSE,round21_numbers.py,1507
covMultHiNonzeroWholeAtDesign,round21_numbers.py,1506
covMultHiNonzeroWholeAtDesignSE,round21_numbers.py,1507
covMultNonzeroCaseAtDesign,round21_numbers.py,1506
covMultNonzeroCaseAtDesignSE,round21_numbers.py,1507
covMultNonzeroDcaAtDesign,round21_numbers.py,1506
covMultNonzeroDcaAtDesignSE,round21_numbers.py,1507
covMultNonzeroPooledMedian,round27_numbers.py,152
covMultNonzeroPooledMin,round27_numbers.py,154
covMultNonzeroWholeAtDesign,round21_numbers.py,1506
covMultNonzeroWholeAtDesignSE,round21_numbers.py,1507
covPercellBootEighty,round21_numbers.py,1480
covPercellBootFourHundred,round21_numbers.py,1480
covPercellBootOneFifty,round21_numbers.py,1480
covPercellBootOneThousand,round21_numbers.py,1480
covPercellBootThirtyThree,round21_numbers.py,1480
covRadDegenCaseAtDesign,round21_numbers.py,1506
covRadDegenCaseAtDesignSE,round21_numbers.py,1507
covRadDegenDcaAtDesign,round21_numbers.py,1506
covRadDegenDcaAtDesignSE,round21_numbers.py,1507
covRadDegenMedian,round21_numbers.py,1470
covRadDegenMin,round21_numbers.py,1472
covRadDegenWholeAtDesign,round21_numbers.py,1506
covRadDegenWholeAtDesignSE,round21_numbers.py,1507
covRadGaussCaseAtDesign,round21_numbers.py,1506
covRadGaussCaseAtDesignSE,round21_numbers.py,1507
covRadGaussDcaAtDesign,round21_numbers.py,1506
covRadGaussDcaAtDesignSE,round21_numbers.py,1507
covRadGaussMedian,round21_numbers.py,1470
covRadGaussMin,round21_numbers.py,1472
covRadGaussWholeAtDesign,round21_numbers.py,1506
covRadGaussWholeAtDesignSE,round21_numbers.py,1507
covRadHeavyCaseAtDesign,round21_numbers.py,1506
covRadHeavyCaseAtDesignSE,round21_numbers.py,1507
covRadHeavyDcaAtDesign,round21_numbers.py,1506
covRadHeavyDcaAtDesignSE,round21_numbers.py,1507
covRadHeavyMedian,round21_numbers.py,1470
covRadHeavyMin,round21_numbers.py,1472
covRadHeavyWholeAtDesign,round21_numbers.py,1506
covRadHeavyWholeAtDesignSE,round21_numbers.py,1507
covRadNonzeroCaseAtDesign,round21_numbers.py,1506
covRadNonzeroCaseAtDesignSE,round21_numbers.py,1507
covRadNonzeroDcaAtDesign,round21_numbers.py,1506
covRadNonzeroDcaAtDesignSE,round21_numbers.py,1507
covRadNonzeroWholeAtDesign,round21_numbers.py,1506
covRadNonzeroWholeAtDesignSE,round21_numbers.py,1507
coverageBlockMax,round20_numbers.py,672
coverageBlockMin,round20_numbers.py,671
coverageBlockSpreadMax,round20_numbers.py,686
coverageDriftOracle,round20_numbers.py,729
coverageGridMedian,round20_numbers.py,612
coverageGridMin,round20_numbers.py,611
coverageGridSafeMax,round20_numbers.py,649
coverageGridSafeMin,round20_numbers.py,647
coverageMofnMedian,round20_numbers.py,607
coverageNaiveBasicMedian,round20_numbers.py,593
coverageNaiveMedian,round20_numbers.py,592
coverageNaiveMin,make_numbers.py,544
coverageNestedBasicMedian,round20_numbers.py,597
coverageNestedBasicMin,round20_numbers.py,599
coverageNestedBcMedian,round20_numbers.py,601
coverageNestedBcMin,round20_numbers.py,602
coverageNestedMedian,round20_numbers.py,595
coverageNestedMin,round20_numbers.py,596
coverageNoisyAfter,round20_numbers.py,735
coverageNoisyBefore,make_numbers.py,470
coverageSparseBasic,round20_numbers.py,604
coverageSparseBc,round20_numbers.py,605
coverageSparseMofn,round20_numbers.py,608
coverageSparsePct,round20_numbers.py,603
crossTargetAgreement,make_numbers.py,798
crossedHigherOrderPct,round21_numbers.py,895
dcBandWidth,round20_numbers.py,458
dcBandWidthEmp,round27_numbers.py,768
dcBandWidthWidened,round27_numbers.py,732
dcPointWidth,round20_numbers.py,459
dcaBeneficialSimultaneousEmp,round27_numbers.py,769
dcaBeneficialSimultaneousEmpAll,round27_numbers.py,773
dcaBeneficialSimultaneousWidened,round27_numbers.py,738
dcaDipTheta,round20_numbers.py,478
dcaDipThetaWidened,round27_numbers.py,740
dcaDipValue,round20_numbers.py,480
dcaDipValueWidened,round27_numbers.py,741
dcaHarmfulPointwise,round21_numbers.py,575
dcaHarmfulSimultaneous,round21_numbers.py,576
dcaHarmfulSimultaneousEmp,round27_numbers.py,771
dcaHarmfulSimultaneousWidened,round27_numbers.py,736
dcaQ,round20_numbers.py,469
dcaQEmp,round27_numbers.py,746
dcaQEmpAll,round27_numbers.py,749
dcaQEmpHi,round27_numbers.py,748
dcaQEmpLo,round27_numbers.py,747
dcaQWidened,round27_numbers.py,719
dcaSignChangePct,round20_numbers.py,434
dcaWidenFactor,round27_numbers.py,720
dcaWidenFactorAll,round27_numbers.py,721
deliveredPerThousand,round21_numbers.py,853
deltaCohortAtTau,round21_numbers.py,1127
deltaCohortStep,round21_numbers.py,436
deltaPopulationResidual,round21_numbers.py,1136
deltaSnapshotAtTau,round21_numbers.py,1135
deltaSnapshotUnmatched,round21_numbers.py,1138
deltaTargetStep,round21_numbers.py,438
deltaTiebreak,round21_numbers.py,434
deskQhi,round21_numbers.py,812
deskQlo,round21_numbers.py,810
deskQmid,round21_numbers.py,811
dispMedianMult,round27_numbers.py,188
dispMedianWeighted,round27_numbers.py,189
dispOverHalfwidthMedian,round21_numbers.py,206
dispOverHalfwidthWorst,round21_numbers.py,208
doiBPICfourteen,make_numbers.py,799
doiBPICthirteen,make_numbers.py,801
driftOverNullMax,round27_numbers.py,829
driftOverNullMedian,round27_numbers.py,828
driftPrevSpreadMax,round27_numbers.py,833
driftPrevSpreadMedian,round27_numbers.py,832
driftSpreadMax,round27_numbers.py,827
driftSpreadMedian,round27_numbers.py,826
driftUnseenFirstPct,round27_numbers.py,834
driftUnseenLastPct,round27_numbers.py,835
driftWorstPair,round27_numbers.py,837
eceIsoMedian,round20_numbers.py,431
eceRawMedian,round20_numbers.py,430
encOverFamItsmMin,round27_numbers.py,526
encodingOverFamilyMax,round21_numbers.py,930
encodingOverFamilyMin,round21_numbers.py,928
exCells,make_numbers.py,745
exMisreportPct,make_numbers.py,752
exRmax,make_numbers.py,754
exRmin,make_numbers.py,753
exRows,make_numbers.py,744
exSbaselineFine,round26_numbers.py,325
exSbaselinePct,make_numbers.py,755
exSmetricFine,round26_numbers.py,325
exSmetricPct,make_numbers.py,756
exSpopulationPct,make_numbers.py,757
exampleLines,make_numbers.py,750
excessMajorityAuc,round20_numbers.py,338
excessOneNumberAuc,round20_numbers.py,337
excessOneNumberDesk,round21_numbers.py,843
excessUniformAuc,round20_numbers.py,346
excessUniformDesk,round21_numbers.py,845
falseCellsEmpDegenCaseAtDesign,round21_numbers.py,1510
falseCellsEmpDegenDcaAtDesign,round21_numbers.py,1510
falseCellsEmpDegenWholeAtDesign,round21_numbers.py,1510
falseCellsEmpGaussCaseAtDesign,round21_numbers.py,1510
falseCellsEmpGaussDcaAtDesign,round21_numbers.py,1510
falseCellsEmpGaussWholeAtDesign,round21_numbers.py,1510
falseCellsEmpHeavyCaseAtDesign,round21_numbers.py,1510
falseCellsEmpHeavyDcaAtDesign,round21_numbers.py,1510
falseCellsEmpHeavyWholeAtDesign,round21_numbers.py,1510
falseCellsEmpHiDegenCaseAtDesign,round21_numbers.py,1510
falseCellsEmpHiDegenDcaAtDesign,round21_numbers.py,1510
falseCellsEmpHiDegenWholeAtDesign,round21_numbers.py,1510
falseCellsEmpHiGaussCaseAtDesign,round21_numbers.py,1510
falseCellsEmpHiGaussDcaAtDesign,round21_numbers.py,1510
falseCellsEmpHiGaussWholeAtDesign,round21_numbers.py,1510
falseCellsEmpHiHeavyCaseAtDesign,round21_numbers.py,1510
falseCellsEmpHiHeavyDcaAtDesign,round21_numbers.py,1510
falseCellsEmpHiHeavyWholeAtDesign,round21_numbers.py,1510
falseCellsEmpHiNonzeroCaseAtDesign,round21_numbers.py,1510
falseCellsEmpHiNonzeroDcaAtDesign,round21_numbers.py,1510
falseCellsEmpHiNonzeroWholeAtDesign,round21_numbers.py,1510
falseCellsEmpNonzeroCaseAtDesign,round21_numbers.py,1510
falseCellsEmpNonzeroDcaAtDesign,round21_numbers.py,1510
falseCellsEmpNonzeroWholeAtDesign,round21_numbers.py,1510
falseCellsMultDegenCaseAtDesign,round21_numbers.py,1510
falseCellsMultDegenDcaAtDesign,round21_numbers.py,1510
falseCellsMultDegenWholeAtDesign,round21_numbers.py,1510
falseCellsMultGaussCaseAtDesign,round21_numbers.py,1510
falseCellsMultGaussDcaAtDesign,round21_numbers.py,1510
falseCellsMultGaussWholeAtDesign,round21_numbers.py,1510
falseCellsMultHeavyCaseAtDesign,round21_numbers.py,1510
falseCellsMultHeavyDcaAtDesign,round21_numbers.py,1510
falseCellsMultHeavyWholeAtDesign,round21_numbers.py,1510
falseCellsMultHiDegenCaseAtDesign,round21_numbers.py,1510
falseCellsMultHiDegenDcaAtDesign,round21_numbers.py,1510
falseCellsMultHiDegenWholeAtDesign,round21_numbers.py,1510
falseCellsMultHiGaussCaseAtDesign,round21_numbers.py,1510
falseCellsMultHiGaussDcaAtDesign,round21_numbers.py,1510
falseCellsMultHiGaussWholeAtDesign,round21_numbers.py,1510
falseCellsMultHiHeavyCaseAtDesign,round21_numbers.py,1510
falseCellsMultHiHeavyDcaAtDesign,round21_numbers.py,1510
falseCellsMultHiHeavyWholeAtDesign,round21_numbers.py,1510
falseCellsMultHiNonzeroCaseAtDesign,round21_numbers.py,1510
falseCellsMultHiNonzeroDcaAtDesign,round21_numbers.py,1510
falseCellsMultHiNonzeroWholeAtDesign,round21_numbers.py,1510
falseCellsMultNonzeroCaseAtDesign,round21_numbers.py,1510
falseCellsMultNonzeroDcaAtDesign,round21_numbers.py,1510
falseCellsMultNonzeroWholeAtDesign,round21_numbers.py,1510
falseCellsRadDegenCaseAtDesign,round21_numbers.py,1510
falseCellsRadDegenDcaAtDesign,round21_numbers.py,1510
falseCellsRadDegenWholeAtDesign,round21_numbers.py,1510
falseCellsRadGaussCaseAtDesign,round21_numbers.py,1510
falseCellsRadGaussDcaAtDesign,round21_numbers.py,1510
falseCellsRadGaussWholeAtDesign,round21_numbers.py,1510
falseCellsRadHeavyCaseAtDesign,round21_numbers.py,1510
falseCellsRadHeavyDcaAtDesign,round21_numbers.py,1510
falseCellsRadHeavyWholeAtDesign,round21_numbers.py,1510
falseCellsRadNonzeroCaseAtDesign,round21_numbers.py,1510
falseCellsRadNonzeroDcaAtDesign,round21_numbers.py,1510
falseCellsRadNonzeroWholeAtDesign,round21_numbers.py,1510
familySizeMedian,round20_numbers.py,175
fieldAgreement,round21_numbers.py,366
fixedKcoverageSpreadPct,round21_numbers.py,497
flipLearnerPct,make_numbers.py,356
flipMetricPct,make_numbers.py,357
flipQualityPct,make_numbers.py,359
flipRungPct,make_numbers.py,355
flipSplitPct,make_numbers.py,358
foldInteractionTotalPct,round26_numbers.py,97
foldLargestFirstOrderPct,round26_numbers.py,98
foldSPipelinePct,round26_numbers.py,107
foldSQualityPct,round26_numbers.py,107
foldSRungPct,round26_numbers.py,107
foldVarRatioPct,round26_numbers.py,100
fvVersion,make_numbers.py,645
gridHi,make_numbers.py,253
gridLo,make_numbers.py,252
gridShiftMax,round20_numbers.py,489
gridShiftMaxCase,round21_numbers.py,1106
gridShiftMedian,round20_numbers.py,490
highlightMaxChars,round21_numbers.py,131
highlightsList,round21_numbers.py,127
identityMaxExcess,round20_numbers.py,400
imageDigest,make_numbers.py,820
inferenceShareAdmissibleMedianPct,round20_numbers.py,145
inferenceShareMedianPct,round20_numbers.py,141
instrumentLeastDisagreement,round26_numbers.py,207
instrumentMostDisagreement,round26_numbers.py,213
instrumentsOosOrderingFails,round20_numbers.py,378
instrumentsUniformNotWorst,round20_numbers.py,360
integralContent,round21_numbers.py,1105
integralCorrupt,round20_numbers.py,499
integralDuplicate,round20_numbers.py,499
integralMaskCommon,round20_numbers.py,499
integralMaskRandom,round20_numbers.py,499
integralMaskRare,round21_numbers.py,1105
integralPropensity,round21_numbers.py,1105
integralTime,round21_numbers.py,1105
interactionEnvelopePct,round20_numbers.py,282
interactionMaxPct,round20_numbers.py,259
interactionMinPct,round20_numbers.py,258
interactionTotalCI,round20_numbers.py,261
interactionTotalConcentratedPct,round20_numbers.py,316
interactionTotalEnvelopePct,round20_numbers.py,316
interactionTotalPct,round20_numbers.py,257
interactionTotalReferencePct,round20_numbers.py,316
invarianceDuplicateShift,round20_numbers.py,321
invarianceGridShift,round20_numbers.py,324
invarianceMaxShift,round20_numbers.py,507
itsmHigherOrderPct,round21_numbers.py,785
itsmLargestFirstOrderPct,round21_numbers.py,788
itsmSpread,round21_numbers.py,787
kmBaseAuc,make_numbers.py,569
kmOrphanPopulated,make_numbers.py,566
ladderCoverageSpreadPct,round21_numbers.py,499
ladderSpreadMax,round21_numbers.py,495
ladderSpreadSE,round21_numbers.py,496
lambdaHalf,make_numbers.py,561
lambdaHalfPct,make_numbers.py,562
largerPipelineAxis,round21_numbers.py,897
largestFirstOrderPct,round20_numbers.py,266
largestInvolvementPct,round20_numbers.py,265
layerBaseDuration,round21_numbers.py,324
layerBaseHandover,round21_numbers.py,324
layerBpicNineteenCoarseMax,round27_numbers.py,53
layerBpicNineteenItem,round27_numbers.py,59
layerBpicNineteenItemMarginal,round27_numbers.py,61
layerHelpdeskCoarseMax,round27_numbers.py,47
layerHelpdeskItem,round27_numbers.py,52
layerItemDuration,round21_numbers.py,327
layerItemHandover,round21_numbers.py,327
layerItemMarginalDuration,round21_numbers.py,330
layerItemMarginalHandover,round21_numbers.py,330
layerLadderN,round21_numbers.py,319
layerLadderNTest,round21_numbers.py,320
layerSubtypeDuration,round21_numbers.py,326
layerSubtypeHandover,round21_numbers.py,326
layerTypeDuration,round21_numbers.py,325
layerTypeHandover,round21_numbers.py,325
layerTypeSharePctDuration,round27_numbers.py,70
layerTypeSharePctHandover,round27_numbers.py,70
leaveOneOutAgreePct,round20_numbers.py,398
levelShareMult,round27_numbers.py,178
levelShareMultMin,round27_numbers.py,179
levelShareWeighted,round27_numbers.py,181
limitNoisyAfter,make_numbers.py,486
limitNoisyBefore,make_numbers.py,475
logAdmittedMaxPrev,round21_numbers.py,1244
logExcludedAboveMin,round21_numbers.py,1264
madAllMedian,round26_numbers.py,190
madFullyRestrictedMedian,round26_numbers.py,187
madResolvedMax,round26_numbers.py,189
madResolvedMedian,round26_numbers.py,188
maxCardBZero,make_numbers.py,258
maxExcessOneNumberDesk,round21_numbers.py,850
maxKoverN,round21_numbers.py,616
maxShortfallApplied,round21_numbers.py,482
maxTMedian,make_numbers.py,295
maxTMedianRatio,make_numbers.py,297
maxTSurfaceEmpMedian,round20_numbers.py,161
maxTSurfaceMax,round20_numbers.py,170
maxTSurfaceMedian,round20_numbers.py,159
maxTSurfaceMin,round20_numbers.py,169
maxTSurfaceMultMedian,round20_numbers.py,160
maxTWithinMedian,round20_numbers.py,174
meanExcessOneNumberDesk,round21_numbers.py,846
meanExcessUniformDesk,round21_numbers.py,848
meanNoisyEstimate,make_numbers.py,477
measureSpreadPct,round20_numbers.py,278
mechanismVsSamplingMedian,round20_numbers.py,493
medianKoverN,round21_numbers.py,615
minCardF,make_numbers.py,255
minGPresent,make_numbers.py,257
minPerStratum,make_numbers.py,262
minResolvedSharePct,round26_numbers.py,223
minReuseF,make_numbers.py,256
minShareHighPct,round27_numbers.py,368
minShareLowPct,round27_numbers.py,367
minTrainCoverage,make_numbers.py,261
misreportAucAllPct,round26_numbers.py,169
