log,target,family,K,B,kurt_med,kurt_p90,kurt_max,rho_mean,absrho_mean,eff_rank,eff_rank_frac,q,q_emp,q_emp_lo,ratio,below,ceiling,q_emp_at_ceiling,share_draws_at_ceiling,n_degenerate,share_degenerate,n_degenerate_tau50,n_degenerate_tau75,n_degenerate_tau95,n_degenerate_tau99,n_lowdistinct_20,share_lowdistinct_20,adm_K,adm_B,adm_kurt_med,adm_kurt_p90,adm_kurt_max,adm_rho_mean,adm_absrho_mean,adm_eff_rank,adm_eff_rank_frac,adm_q,adm_q_emp,adm_q_emp_lo,adm_ratio,adm_below,adm_ceiling,adm_q_emp_at_ceiling,adm_share_draws_at_ceiling
BPIC15_1,duration,whole-surface,180,80,1.0406540966181752,7.96743307226015,68.04018985386335,0.12535709802862444,0.20034122135641447,11.126444955499466,0.06181358308610814,3.3393220544755295,4.882828286478926,4.2641184105961045,1.4622214350169402,True,8.83246851112417,False,0.0,0,0.0,0,0,0,0,0,0.0,180,80,1.0406540966181752,7.96743307226015,68.04018985386335,0.12535709802862444,0.20034122135641447,11.126444955499466,0.06181358308610814,3.3393220544755295,4.882828286478926,4.2641184105961045,1.4622214350169402,True,8.83246851112417,False,0.0
BPIC15_1,duration,decision-curve,1095,80,1.1046273639673716,8.622104306729838,75.0126582278481,0.031192289326071137,0.11169300440875993,35.64497702362537,0.08911244255906343,3.858867797906245,8.832031886847412,8.567191468790945,2.2887624944393066,True,8.83246851112417,False,0.05,38,0.034703196347032006,115,64,28,0,96,0.08767123287671233,1057,80,1.00694056620058,6.1722406621580355,69.81838120919737,0.041266048646277365,0.11826222861170738,31.87368785275683,0.07968421963189208,3.8509228392962327,7.778103904976809,6.506012705898256,2.019802584878143,True,8.83246851112417,False,0.0
BPIC15_1,handover,whole-surface,180,80,1.3466153883721246,9.956688044820748,71.80852626224457,0.12148942919044885,0.1744412561946952,13.997552999651603,0.0777641833313978,3.358442405493676,5.6244389774660215,4.750067219270444,1.67471651985625,True,8.83246851112417,False,0.0,0,0.0,0,0,0,0,0,0.0,180,80,1.3466153883721246,9.956688044820748,71.80852626224457,0.12148942919044885,0.1744412561946952,13.997552999651603,0.0777641833313978,3.358442405493676,5.6244389774660215,4.750067219270444,1.67471651985625,True,8.83246851112417,False,0.0
BPIC15_1,handover,decision-curve,1096,80,3.176040422108795,23.24434827183152,75.0126582278481,0.04339977620287908,0.11985961294645031,28.980022514794925,0.07245005628698731,3.8064484269245087,8.815017760870854,8.283422319109476,2.3158116890586937,True,8.83246851112417,False,0.0375,54,0.0492700729927007,263,119,28,0,170,0.1551094890510949,1042,80,2.896506564904369,18.81794820357214,74.37511932685588,0.04803134202470032,0.1218045323037451,27.4903499756344,0.068725874939086,3.7869137235642802,8.050224502880805,7.154259538358903,2.1258008738852006,True,8.83246851112417,False,0.0
BPIC15_3,duration,whole-surface,180,80,0.5738617412351534,4.018796670624698,74.57753197459894,0.12525610424795305,0.1946274258930096,11.656497467229507,0.06475831926238615,3.3347165264190672,4.343083105737341,3.642770170560111,1.302384496951857,True,8.83246851112417,False,0.0,0,0.0,0,0,0,0,0,0.0,180,80,0.5738617412351534,4.018796670624698,74.57753197459894,0.12525610424795305,0.1946274258930096,11.656497467229507,0.06475831926238615,3.3347165264190672,4.343083105737341,3.642770170560111,1.302384496951857,True,8.83246851112417,False,0.0
BPIC15_3,duration,decision-curve,1116,80,0.21388369280507868,3.6447262546158763,72.93774329512193,0.051404208261253435,0.13656517311944172,23.502917203331005,0.058757293008327514,3.790895306052857,6.346264149197431,6.078838893621587,1.6740805632549283,True,8.83246851112417,False,0.0,3,0.0026881720430107503,21,12,3,0,19,0.017025089605734768,1113,80,0.21364237569784006,3.5368761318846467,29.47295089934608,0.047709281553696754,0.1349827585963629,24.521858571240244,0.06130464642810061,3.7891806114089093,6.30774167132596,5.618428151207388,1.6646716845150829,True,8.83246851112417,False,0.0
BPIC15_3,handover,whole-surface,180,80,1.4372536579042805,7.200536744170739,17.004004467902455,0.19027077922505428,0.2169918366612858,10.057909104100105,0.05587727280055614,3.317758279536386,4.60423559682735,4.317056112873701,1.387754986620283,True,8.83246851112417,False,0.0,0,0.0,0,0,0,0,0,0.0,180,80,1.4372536579042805,7.200536744170739,17.004004467902455,0.19027077922505428,0.2169918366612858,10.057909104100105,0.05587727280055614,3.317758279536386,4.60423559682735,4.317056112873701,1.387754986620283,True,8.83246851112417,False,0.0
BPIC15_3,handover,decision-curve,1067,80,2.871542587927432,17.640848705530278,75.0126582278481,0.040235349521686295,0.13612637709401823,23.31937252277159,0.05829843130692898,3.7614254739218973,8.398564265195079,6.659219945336821,2.23281421456377,True,8.83246851112417,False,0.05,69,0.06466729147141514,209,112,52,0,201,0.18837863167760074,998,80,2.5465857596958714,11.283808745598462,50.9339035564612,0.04760408297481968,0.1392062160434872,22.20750033807097,0.05551875084517743,3.7506394175134856,6.444200713900096,5.759459240138898,1.718160557852913,True,8.83246851112417,False,0.0
BPIC15_4,duration,whole-surface,180,143,0.9888899792224619,6.959872118248073,62.558740169044725,0.10645405903933447,0.148109553493855,15.934936309089917,0.08852742393938842,3.3803201690400257,5.616231369843851,4.891657660445589,1.661449534065526,True,12.165799055823118,False,0.0,0,0.0,0,0,0,0,0,0.0,180,143,0.9888899792224619,6.959872118248073,62.558740169044725,0.10645405903933447,0.148109553493855,15.934936309089917,0.08852742393938842,3.3803201690400257,5.616231369843851,4.891657660445589,1.661449534065526,True,12.165799055823118,False,0.0
BPIC15_4,duration,decision-curve,1097,143,1.503250593247512,9.56177894399784,138.1881556980884,0.03367837072011353,0.09292395330292061,44.68907682065022,0.11172269205162555,3.885588557074418,9.450175286130563,6.97662764760549,2.4321090993859364,True,12.165799055823118,False,0.013986013986013986,39,0.035486806187443154,140,83,24,6,127,0.11555959963603275,1060,143,1.3788540154883022,7.850739617633094,41.85096550866369,0.03196074631721288,0.09291767656369065,45.60405264850712,0.1140101316212678,3.8778775758163078,6.963513701572117,6.417670591187247,1.7957023050440861,True,12.165799055823118,False,0.0
