learner,split,quality,level,rung,metric,log,target,V,se,n_draws,pct_lo,pct_hi,basic_lo,basic_hi,bc_lo,bc_hi,boot_shift,lo,hi,resolved
logit,rolling5,mask_rare,0.5,B_intake,nb_0.750,BPIC15_1,duration,-0.0277777777777777,0.024403810477807788,400,-0.0448489230804434,0.06682311196500036,-0.12237866752055576,-0.010706632475111999,-0.09297628740723071,-0.016527915025008433,0.0277777777777777,-0.12237866752055576,-0.010706632475111999,True
logit,rolling5,mask_rare,0.5,B_intake,nb_0.775,BPIC15_1,duration,0.0,0.025119595639313028,400,-0.05849674156573834,0.059110714245111246,-0.059110714245111246,0.05849674156573834,-0.11373331112569177,0.010253775340296836,0.0,-0.059110714245111246,0.05849674156573834,False
logit,rolling5,mask_rare,0.5,B_intake,nb_0.800,BPIC15_1,duration,0.0,0.026676473397132396,400,-0.04223056220233873,0.07298606073059921,-0.07298606073059921,0.04223056220233873,-0.16112024220411786,0.0054002224172361125,0.0,-0.07298606073059921,0.04223056220233873,False
logit,rolling5,mask_rare,0.5,B_intake_g,ap,BPIC15_1,duration,0.018199305039984,0.01604047723683362,400,-0.014708732110984906,0.04738693842930522,-0.010988328349337217,0.051107342190952906,-0.0028905088697449336,0.07491627101458806,-0.006343416868169402,-0.010988328349337217,0.051107342190952906,False
logit,rolling5,mask_rare,0.5,B_intake_g,auc,BPIC15_1,duration,0.0170673076923077,0.01679139540016483,400,-0.022587727754711108,0.045668257040717274,-0.011533641656101871,0.05672234313932651,-0.010336760311336316,0.0599327208336162,-0.0056640484937562005,-0.011533641656101871,0.05672234313932651,False
logit,rolling5,mask_rare,0.5,B_intake_g,brier_skill,BPIC15_1,duration,0.0084077982891207,0.010900891944893068,400,-0.01252567526003726,0.030948500645559877,-0.014132904067318475,0.029341271838278664,-0.0049954685358803924,0.047432643470430164,-0.0025294145253069514,-0.014132904067318475,0.029341271838278664,False
logit,rolling5,mask_rare,0.5,B_intake_g,logloss_skill,BPIC15_1,duration,0.0084909860230895,0.010171731015949552,400,-0.010467411979328102,0.02896292487763466,-0.01198095283145566,0.027449384025507104,-0.004924276007453044,0.043043133725959304,-0.0023482975351722495,-0.01198095283145566,0.027449384025507104,False
logit,rolling5,mask_rare,0.5,B_intake_g,nagelkerke,BPIC15_1,duration,0.0117793074240493,0.014838827308672257,400,-0.016805761885609206,0.04600927745683859,-0.02245066260873999,0.04036437673370781,-0.0073270289199174905,0.05988524815052642,-0.0033115769679337003,-0.02245066260873999,0.04036437673370781,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.050,BPIC15_1,duration,0.0,3.7209316335654446e-06,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.075,BPIC15_1,duration,0.0,0.0003332966868540314,400,0.0,5.955687570114062e-05,-5.955687570114062e-05,0.0,-0.004593701748581063,-0.003189795775077831,0.0,-5.955687570114062e-05,0.0,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.100,BPIC15_1,duration,0.0,0.0010524099465113819,400,-9.30980644924197e-06,0.0018759330545151161,-0.0018759330545151161,9.30980644924197e-06,-0.007498801856915266,-9.309806449251893e-06,0.0,-0.0018759330545151161,9.30980644924197e-06,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.125,BPIC15_1,duration,0.0,0.0017146958386133058,400,-0.0010074788203649776,0.0035385353298415015,-0.0035385353298415015,0.0010074788203649776,-0.012352363311529228,0.0,0.0,-0.0035385353298415015,0.0010074788203649776,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.150,BPIC15_1,duration,0.0,0.0035426733629074702,400,-0.004272819210154572,0.007800031284781453,-0.007800031284781453,0.004272819210154572,-0.03146465875102012,0.0,0.0,-0.007800031284781453,0.004272819210154572,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.175,BPIC15_1,duration,0.0,0.005181447614690942,400,-0.006096321678308693,0.017877536908632308,-0.017877536908632308,0.006096321678308693,-0.021832807202645382,0.0,0.0,-0.017877536908632308,0.006096321678308693,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.200,BPIC15_1,duration,0.0,0.007413597909795921,400,-0.007245306539429996,0.02230424628651815,-0.02230424628651815,0.007245306539429996,-0.04110986665362572,0.00012848543063129255,0.0,-0.02230424628651815,0.007245306539429996,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.225,BPIC15_1,duration,0.0,0.009273050718768189,400,-0.013086741922028685,0.027485780724257003,-0.027485780724257003,0.013086741922028685,-0.02525326020257501,0.0020644134118505417,5.726474308972995e-05,-0.027485780724257003,0.013086741922028685,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.250,BPIC15_1,duration,-0.0046296296296296,0.013095985847382557,400,-0.015395616637644851,0.03830990681775249,-0.047569166077011685,0.006136357378385651,-0.039164997410384046,0.0,0.004667281087751543,-0.047569166077011685,0.006136357378385651,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.275,BPIC15_1,duration,0.0069444444444444,0.013018232763902323,400,-0.014955450481579532,0.03549291077378804,-0.021604021884899245,0.028844339370468333,-0.002381079237953066,0.05689952474712822,-0.00555784383170575,-0.021604021884899245,0.028844339370468333,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.300,BPIC15_1,duration,0.0109126984126983,0.015116431110557887,400,-0.018033770617719394,0.043547509493084946,-0.021722112667688347,0.03985916744311599,0.0,0.07419953607154967,-0.010000279578997049,-0.021722112667688347,0.03985916744311599,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.325,BPIC15_1,duration,0.0174897119341563,0.015211840308173595,400,-0.021026904239581427,0.04526483959718047,-0.010285415728867875,0.05600632810789402,0.0027067647236813353,0.07753754192848472,-0.0174897119341563,-0.010285415728867875,0.05600632810789402,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.350,BPIC15_1,duration,0.0,0.016019908070441555,400,-0.017057603575256795,0.051134202700759586,-0.051134202700759586,0.017057603575256795,-0.04269406706235371,0.014645972932399026,0.0,-0.051134202700759586,0.017057603575256795,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.375,BPIC15_1,duration,-0.0027777777777777,0.01492940201934204,400,-0.022311375445897747,0.04181582017178237,-0.04737137572733777,0.016755819890342347,-0.05302107926862143,0.0025328780806262246,0.0027777777777777,-0.04737137572733777,0.016755819890342347,False
