log,target,family,q,q_lo,q_hi,q_emp,q_emp_lo,q_emp_hi,n_family,n_draws,n_mult
Helpdesk,duration,whole-surface,3.324989173423179,3.3012322148436617,3.343609575818669,3.778693716179933,3.6527183975486883,4.312543620029529,180,400,20000
Helpdesk,duration,decision-curve,3.924559960707325,3.907357098219074,3.9440551792184295,8.737873735207865,7.205618380412338,11.242308549751526,1113,400,20000
RoadFines,duration,whole-surface,3.273720573728021,3.2580137833658434,3.293717153925433,4.4112872387975015,4.0572253851498505,5.211094672488658,180,400,20000
RoadFines,duration,decision-curve,3.912802190374146,3.896919887254488,3.9260157560945514,19.12636279873357,17.121149858307994,19.929048013540356,1029,400,20000
Sepsis,duration,whole-surface,3.319973404389396,3.3011793949157022,3.3372301742564785,3.892604996346089,3.673060638050857,4.546541823013871,180,400,20000
Sepsis,duration,decision-curve,3.834191675964685,3.816135569461726,3.8539467398177494,4.96002731145701,4.683699220701022,5.6209571702980945,1116,400,20000
UCI498,duration,whole-surface,3.2893062952289522,3.2700646952690433,3.3103909759516292,3.6831126775146745,3.4139561713563893,4.145252651266018,180,400,20000
UCI498,duration,decision-curve,3.9139434818538716,3.897459161775007,3.930414577575063,6.9412230620666335,6.556059509559768,7.981690590092811,1116,400,20000
UCI498,handover,whole-surface,3.3396870171618054,3.3231585671580084,3.354765194360369,4.18350351881981,3.8372350534012862,5.246421496529822,180,400,20000
UCI498,handover,decision-curve,3.923632958284861,3.9098557694258353,3.943115570885454,9.41282639666647,8.33564117560168,11.257906258343372,1116,400,20000
