log,target,metric,unit,measure,rule,n_cells,adopts,loss,excess,rel_excess,L_adopt,L_decline,best,mean,share_positive
BPIC15_4,duration,nagelkerke,Nagelkerke R2,reference,weighted-mean,216,False,0.05531386072463866,0.0,0.0,0.26839776525939657,0.05531386072463866,0.05531386072463866,-0.2130839045347579,0.41125
BPIC15_4,duration,nagelkerke,Nagelkerke R2,concentrated,one-number,216,True,0.1704993789822329,0.06858564880318097,0.6729775142434982,0.1704993789822329,0.10191373017905195,0.10191373017905195,-0.06858564880318098,0.6748479999999999
BPIC15_4,duration,nagelkerke,Nagelkerke R2,concentrated,uniform-beneficial,216,False,0.10191373017905195,0.0,0.0,0.1704993789822329,0.10191373017905195,0.10191373017905195,-0.06858564880318098,0.6748479999999999
BPIC15_4,duration,nagelkerke,Nagelkerke R2,concentrated,majority,216,True,0.1704993789822329,0.06858564880318097,0.6729775142434982,0.1704993789822329,0.10191373017905195,0.10191373017905195,-0.06858564880318098,0.6748479999999999
BPIC15_4,duration,nagelkerke,Nagelkerke R2,concentrated,weighted-mean,216,False,0.10191373017905195,0.0,0.0,0.1704993789822329,0.10191373017905195,0.10191373017905195,-0.06858564880318098,0.6748479999999999
BPIC15_4,handover,ap,average precision,equal-level,one-number,216,False,0.0019632771797231208,0.0,0.0,0.0030193562011931684,0.0019632771797231208,0.0019632771797231208,-0.0010560790214700477,0.4305555555555556
BPIC15_4,handover,ap,average precision,equal-level,uniform-beneficial,216,False,0.0019632771797231208,0.0,0.0,0.0030193562011931684,0.0019632771797231208,0.0019632771797231208,-0.0010560790214700477,0.4305555555555556
BPIC15_4,handover,ap,average precision,equal-level,majority,216,False,0.0019632771797231208,0.0,0.0,0.0030193562011931684,0.0019632771797231208,0.0019632771797231208,-0.0010560790214700477,0.4305555555555556
BPIC15_4,handover,ap,average precision,equal-level,weighted-mean,216,False,0.0019632771797231208,0.0,0.0,0.0030193562011931684,0.0019632771797231208,0.0019632771797231208,-0.0010560790214700477,0.4305555555555556
BPIC15_4,handover,ap,average precision,reference,one-number,216,False,0.0016627893680886215,0.0,0.0,0.0032055173611822115,0.0016627893680886215,0.0016627893680886215,-0.00154272799309359,0.3125
