log,target,learner,quality,level,rung,metric,V,without_f,with_f,se,lo,hi,n_draws,mean,resolved
BPIC14,duration,logit,mask_rare,0.5,B_intake,nb_0.750,0.0027893005292518973,0.0,0.0027893005292518973,0.003753471153217723,-0.006606708625375477,0.007806465455585755,200,0.0008811328851380341,False
BPIC14,duration,logit,mask_rare,0.5,B_intake,nb_0.775,-0.0033853049158441874,0.0,-0.0033853049158441874,0.003584665252694403,-0.009063438706908889,0.00519020486657448,200,-0.002101710135253266,False
BPIC14,duration,logit,mask_rare,0.5,B_intake,nb_0.800,-0.005006436847375201,0.0,-0.005006436847375201,0.002893090687542793,-0.010606494063796311,0.0005757402374481448,200,-0.005136604205406955,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,auc,0.07368934630819468,0.6542574119051353,0.72794675821333,0.004183194447086411,0.06537059880455125,0.08049655095649004,200,0.07272294366133784,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,ap,0.07422525486746812,0.561260395733397,0.6354856506008651,0.004468637867908003,0.064507274587934,0.08143526783276205,200,0.07281734424489393,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,brier_skill,0.0711196492967272,0.08952435768500056,0.16064400698172776,0.0049721432563283,0.06149211157880521,0.080275868866948,200,0.07086130819030413,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nagelkerke,0.0940885562643287,0.11674170197998664,0.21083025824431534,0.006384539733753432,0.08202772387165813,0.10574992833548934,200,0.09363323642642914,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,logloss_skill,0.05806279408681725,0.06609625694039589,0.12415905102721314,0.004047480394749314,0.05020586780030012,0.06526273908322792,200,0.05771004934664245,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.050,-0.00012045562339552118,0.39711960490555526,0.39699914928215974,0.00010912111641854734,-0.00034395726836763393,2.6443773573552065e-05,200,-0.0001254997026251789,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.075,-0.00015657196318041855,0.38082554017327297,0.38066896821009255,0.0001956797431954078,-0.0005692164056489881,0.00028898158636392774,200,-0.0001570842047883969,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.100,-0.00012714760247301005,0.36413484003242264,0.3640076924299496,0.00044719482843340156,-0.0006595781878288021,0.0009937379805781688,200,0.00012663106533797485,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.125,0.0008582463166929011,0.34628195434946973,0.34714020066616263,0.0006926367029223438,-0.0008699961174571655,0.0018705171955780006,200,0.00052148680957149,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.150,0.0016197295682684465,0.3273620705613099,0.32898180012957834,0.0010356375978981813,-0.00011201376559775141,0.004262097486684551,200,0.0018200922194081459,False
