log,target,family,K,B,kurt_med,kurt_p90,kurt_max,rho_mean,absrho_mean,eff_rank,eff_rank_frac,q,q_emp,q_emp_lo,ratio,below,ceiling,q_emp_at_ceiling,share_draws_at_ceiling,n_degenerate,share_degenerate,n_degenerate_tau50,n_degenerate_tau75,n_degenerate_tau95,n_degenerate_tau99,n_lowdistinct_20,share_lowdistinct_20,adm_K,adm_B,adm_kurt_med,adm_kurt_p90,adm_kurt_max,adm_rho_mean,adm_absrho_mean,adm_eff_rank,adm_eff_rank_frac,adm_q,adm_q_emp,adm_q_emp_lo,adm_ratio,adm_below,adm_ceiling,adm_q_emp_at_ceiling,adm_share_draws_at_ceiling
BPIC15_1,duration,whole-surface,180,400,1.2761382045352807,6.007071517866422,268.5788849048816,0.11845915406820903,0.13873332577807934,15.453077795598622,0.08585043219777012,3.3616778943795227,5.485471042895894,4.5936867107890365,1.6317658072081198,True,19.95,False,0.0,0,0.0,0,0,0,0,0,0.0,180,400,1.2761382045352807,6.007071517866422,268.5788849048816,0.11845915406820903,0.13873332577807934,15.453077795598622,0.08585043219777012,3.3616778943795227,5.485471042895894,4.5936867107890365,1.6317658072081198,True,19.95,False,0.0
BPIC15_1,duration,decision-curve,1103,400,2.3184647388179798,16.973834005668024,395.0025062656643,0.02842240997787208,0.06379202283613022,58.979515931942586,0.14744878982985646,3.9033183845734154,12.314960142748813,10.974290702321454,3.154997601891675,True,19.95,False,0.01,40,0.036264732547597434,98,60,24,15,24,0.021758839528558477,1063,400,2.1984479922593163,11.08167640314245,148.16723814335833,0.031407186773077085,0.06637018315582609,54.630546824987,0.1365763670624675,3.891155928084503,9.861710698751262,8.63119396265816,2.5343910346984937,True,19.95,False,0.0
BPIC15_1,handover,whole-surface,180,400,2.768154069663541,14.980854207517371,146.27053475204013,0.10962879186370891,0.13124688377803861,17.22725064001805,0.09570694800010027,3.3773864655837693,6.083631594191884,5.445547600316104,1.8012838199552474,True,19.95,False,0.0,0,0.0,0,0,0,0,0,0.0,180,400,2.768154069663541,14.980854207517371,146.27053475204013,0.10962879186370891,0.13124688377803861,17.22725064001805,0.09570694800010027,3.3773864655837693,6.083631594191884,5.445547600316104,1.8012838199552474,True,19.95,False,0.0
BPIC15_1,handover,decision-curve,1098,400,6.034199910851969,32.62914330887247,344.40951913607427,0.031774503433443256,0.06885174245595554,51.82615136157428,0.1295653784039357,3.8668882817716,11.671718509511354,11.01782483059221,3.0183748944937197,True,19.95,False,0.0,33,0.030054644808743203,150,67,16,3,16,0.014571948998178506,1065,400,5.785648961381938,26.064218250882867,344.40951913607427,0.03664722357528807,0.07232061671143676,48.34208284997347,0.12085520712493368,3.855567349124782,9.882251410361333,8.900269341663622,2.56311212216397,True,19.95,False,0.0
BPIC15_3,duration,whole-surface,180,400,0.7629796037029166,6.4651594716787875,130.0021113055655,0.14495323879421823,0.15982653239755668,12.934138564817648,0.07185632536009805,3.3620860996861377,4.667006592701328,4.186355150913952,1.3881282198980593,True,19.95,False,0.0,0,0.0,0,0,0,0,0,0.0,180,400,0.7629796037029166,6.4651594716787875,130.0021113055655,0.14495323879421823,0.15982653239755668,12.934138564817648,0.07185632536009805,3.3620860996861377,4.667006592701328,4.186355150913952,1.3881282198980593,True,19.95,False,0.0
BPIC15_3,duration,decision-curve,1116,400,0.9243543458139176,5.9113524839563105,379.01486772986976,0.05884553842967665,0.09090094541846526,34.58613688579028,0.0864653422144757,3.831130259849066,7.2259917738733135,6.636961863750649,1.8861253164902814,True,19.95,False,0.0,3,0.0026881720430107503,17,5,2,0,2,0.0017921146953405018,1113,400,0.9214454606677167,5.875113840794964,82.43944688365613,0.06726866167686431,0.09720891268418091,31.35558165763416,0.07838895414408541,3.8301272048238784,6.997649915447414,6.588803747409348,1.827001961353706,True,19.95,False,0.0
BPIC15_3,handover,whole-surface,180,400,2.1872861577495213,28.52289225105661,377.3246545848647,0.1476217193536889,0.16776647623909677,12.859347211523955,0.07144081784179976,3.3450691091179956,5.032447586235664,4.690630523384202,1.504437553328333,True,19.95,False,0.0,0,0.0,0,0,0,0,0,0.0,180,400,2.1872861577495213,28.52289225105661,377.3246545848647,0.1476217193536889,0.16776647623909677,12.859347211523955,0.07144081784179976,3.3450691091179956,5.032447586235664,4.690630523384202,1.504437553328333,True,19.95,False,0.0
BPIC15_3,handover,decision-curve,1058,400,8.902994392251127,62.240710428214854,395.00250626566407,0.04132100681541875,0.08369591372338021,38.14304665220552,0.0953576166305138,3.8104724229664404,11.681439244337051,10.062587485500284,3.0656144298357337,True,19.95,False,0.0075,65,0.061436672967863926,202,114,43,17,43,0.04064272211720227,993,400,8.29904408877715,41.68381397275778,243.76432119955354,0.04819235434134083,0.08720044066665357,35.38615088927575,0.08846537722318937,3.7926288940806376,9.857264707176741,8.975127549115458,2.5990585903518033,True,19.95,False,0.0
BPIC15_4,duration,whole-surface,180,400,2.0478523711049705,9.25269369502589,47.95053855043279,0.07759300129204587,0.11254808394727667,18.725970692654244,0.1040331705147458,3.409403695949947,5.846539281672141,5.311162757569946,1.7148275191398668,True,19.95,False,0.0,0,0.0,0,0,0,0,0,0.0,180,400,2.0478523711049705,9.25269369502589,47.95053855043279,0.07759300129204587,0.11254808394727667,18.725970692654244,0.1040331705147458,3.409403695949947,5.846539281672141,5.311162757569946,1.7148275191398668,True,19.95,False,0.0
BPIC15_4,duration,decision-curve,1104,400,1.8211187848509063,17.265956002296754,395.0025062656643,0.03297776207153502,0.07021753782157132,53.68527813883734,0.13421319534709336,3.901866273387778,10.445753649072033,9.00607497434895,2.67711728623712,True,19.95,False,0.005,46,0.04166666666666663,135,80,28,12,26,0.02355072463768116,1058,400,1.6801438178552575,11.984600416156846,155.86737965358213,0.033400893172820495,0.0697906932742816,54.816505290744125,0.1370412632268603,3.8908548184921594,8.400756408670581,7.788615019356336,2.159103025058685,True,19.95,False,0.0
