claim_id,macro,value,n_uses,locations,sections,generator,source_line,result_file,verified_independently,unresolved,headline
K607,qCommonHalf,$+0.0708$,1,50_cmdb.tex:191,Register quality,round21_numbers.py,650,s39_absorption.csv,False,False,False
K608,qCommonHalfCorpus,$+0.1055$,0,,,,0,,False,False,False
K609,qCommonHalfDelta,$-0.0326$,0,,,round21_numbers.py,656,s39_absorption.csv,False,False,False
K610,qCorruptThirty,$+0.0689$,1,50_cmdb.tex:201,Register quality,round21_numbers.py,652,s39_absorption.csv,False,False,False
K611,qCorruptThirtyCorpus,$-0.0699$,0,,,,0,,False,False,False
K612,qCorruptThirtyDelta,$-0.0346$,1,50_cmdb.tex:201,Register quality,round21_numbers.py,653,s39_absorption.csv,False,False,False
K613,qDcaMedian,3.87,1,20_inference.tex:163,Simultaneous bands over the family the claim ranges over,round21_numbers.py,115,s40_facts.csv,False,False,False
K614,qDuplicateAll,$+0.1015$,0,,,round21_numbers.py,657,s39_absorption.csv,False,False,False
K615,qDuplicateAllCorpus,$-0.0038$,0,,,,0,,False,False,False
K616,qDuplicateAllDelta,$-0.0019$,1,50_cmdb.tex:207,Register quality,round21_numbers.py,658,s39_absorption.csv,False,False,False
K617,qEmpDcaMedian,8.10,1,20_inference.tex:163,Simultaneous bands over the family the claim ranges over,round21_numbers.py,116,s40_facts.csv,False,False,False
K618,qEmpWholeMedian,4.34,0,,,round21_numbers.py,114,s40_facts.csv,False,False,False
K619,qEmpWidth,2.01,1,20_inference.tex:145,Simultaneous bands over the family the claim ranges over,round20_numbers.py,129,s21_incomplete.csv,False,False,False
K620,qLagHalfDelta,$+0.0039$,1,50_cmdb.tex:220,Register quality,round21_numbers.py,661,s39_absorption.csv,False,False,False
K621,qLagHalfDeltaCorpus,$-0.0031$,0,,,,0,,False,False,False
K622,qLagHalfPopulated,94.0\%,1,50_cmdb.tex:219,Register quality,round21_numbers.py,683,s39_absorption.csv,False,False,False
K623,qMultWidth,0.037,1,20_inference.tex:146,Simultaneous bands over the family the claim ranges over,round20_numbers.py,130,s21_incomplete.csv,False,False,False
K624,qRandomHalf,$+0.0676$,1,50_cmdb.tex:196,Register quality,round21_numbers.py,651,s39_absorption.csv,False,False,False
K625,qRandomHalfCorpus,$+0.0951$,0,,,,0,,False,False,False
K626,qRareHalf,$+0.0819$,1,50_cmdb.tex:190,Register quality,round21_numbers.py,649,s39_absorption.csv,False,False,False
K627,qRareHalfCorpus,$+0.1039$,0,,,,0,,False,False,False
K628,qRareHalfDelta,$-0.0216$,0,,,round21_numbers.py,655,s39_absorption.csv,False,False,False
