rung,learner,threshold,dnb,se,q_maxt,q_emp,q_lo,q_hi,n_family,n_draws,sim_lo,sim_hi,pt_lo,pt_hi,construction,sim_harmful,pt_harmful
B_half,logit,0.75,0.0374767558289228,0.00603952495959277,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.0198596086018649,0.06303268148538979,0.029319839794020745,0.05294128164783279,basic,False,False
B_half,logit,0.775,0.0496829256663329,0.006775064180253887,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.03028313230743361,0.07871414991256369,0.041575080659260466,0.06828124254994526,basic,False,False
B_half,logit,0.8,0.0635817479616649,0.007536071370723186,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.040508347326015964,0.09437936544754971,0.0541320984122443,0.08170326133600324,basic,False,False
B_intake,hgb,0.05,0.0,1.7352014136289357e-05,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-6.201975950046304e-05,6.201975950046304e-05,-3.0208011804727673e-05,0.0,basic,False,False
B_intake,hgb,0.075,0.0,6.101926123020917e-05,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.00021809571365429838,0.00021809571365429838,-5.8134590032774026e-05,0.000191655680856065,basic,False,False
B_intake,hgb,0.1,0.0,8.595674431044894e-05,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.00030722753956428315,0.00030722753956428315,-7.946725154572842e-05,0.0002628379344871925,basic,False,False
B_intake,hgb,0.125,0.0,0.0002663865903140853,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.0009521218767840937,0.0009521218767840937,-0.0005246541471687583,0.00033001614320435997,basic,False,False
B_intake,hgb,0.15,0.0,0.0006043759991283557,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.0022274807704578147,0.002092853897251059,-0.0014432421516740825,0.0008522512137454324,basic,False,False
B_intake,hgb,0.175,0.001436912393857,0.0008940285072212723,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.0010292414753115234,0.005361651543667823,0.0010723744381303975,0.00449311452386829,basic,False,False
B_intake,hgb,0.2,0.0017701330281789,0.0007932404976313918,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-3.6968303623610265e-05,0.00563344949372461,0.001357548991560265,0.00420674796166449,basic,False,False
B_intake,hgb,0.225,0.0021248517679411,0.0006834209168892601,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.0007145946260486541,0.0055999757201562455,0.0019462811633387776,0.0044754546167649675,basic,False,False
B_intake,hgb,0.25,0.0024316978972964,0.0006901254839625391,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.0006325687259573975,0.0055658768946021024,0.0018589376817810094,0.004506389167024092,basic,False,False
B_intake,hgb,0.275,0.0028361588051633,0.0007586325509299071,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.0005537691680299116,0.005976794758989587,0.0018655142819092511,0.004684286200484457,basic,False,False
B_intake,hgb,0.3,0.0032695097778776,0.0008721613428399093,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.00021863304484664135,0.006453210345634758,0.0018557022293968512,0.005220998426548299,basic,False,False
B_intake,hgb,0.325,0.0041534883474519,0.000920254557077625,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.0009755585546927254,0.007553926444538674,0.0026425510047307574,0.006150897715051255,basic,False,False
B_intake,hgb,0.35,0.0052870173739861,0.0009789059636900336,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.002167809875157357,0.009165442768350442,0.003850555109315884,0.007519833192125782,basic,False,False
B_intake,hgb,0.375,0.0062508940065798,0.001037169139806547,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.002829914781576195,0.010244037442711804,0.004732155628665312,0.008539908453726056,basic,False,False
B_intake,hgb,0.4,0.0072235731654983,0.0011177994068477584,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.003371363301703712,0.011361865134856687,0.0054099318170978215,0.00972738759357239,basic,False,False
