log,target,metric,measure,sum_first_order,interaction_total,largest_involvement,largest_involvement_axis,largest_first_order,largest_first_order_axis,var,mean,n_cells,check_sum,rep
BPIC14,handover,logloss_skill,envelope,0.9383392267643257,0.061660773235674315,0.05357596180134827,quality_level,0.652578033145317,quality_level,0.006299452154080254,0.15430927583009763,960,1.0,14
BPIC14,handover,nagelkerke,envelope,0.8411594674528313,0.15884053254716868,0.12655666153388206,rung,0.4707750254573932,rung,0.017265519801300807,0.16340563697975533,960,0.9999999999999997,14
BPIC14,handover,ap,envelope,0.8425146902373504,0.15748530976264963,0.15154752112399317,rung,0.7879974396028853,rung,0.00012917435732617401,0.007981073153147314,960,1.0000000000000002,15
BPIC14,handover,auc,envelope,0.6483529740865902,0.3516470259134098,0.3371400030583661,learner,0.5515019953296293,learner,0.0074356466793318605,0.029991350157615032,960,1.0000000000000002,15
BPIC14,handover,brier_skill,envelope,0.6749448051563403,0.32505519484365974,0.25726217239440574,quality_level,0.3038227910428518,quality_level,0.0100981981640365,0.07381044784932132,960,1.0000000000000002,15
BPIC14,handover,logloss_skill,envelope,0.7306651917327136,0.2693348082672864,0.23632522344285728,learner,0.3918297839791203,learner,0.012494757053026915,0.0865523609682793,960,0.9999999999999999,15
BPIC14,handover,nagelkerke,envelope,0.7064914143011517,0.2935085856988483,0.2787139978612653,learner,0.5736484839058519,learner,0.013284621087176728,0.060823345311315835,960,0.9999999999999998,15
BPIC14,handover,ap,envelope,0.8143641785655299,0.1856358214344701,0.1509567726710641,learner,0.5314783981195357,learner,0.00021155687393778917,0.013906712495490779,960,1.0000000000000002,16
BPIC14,handover,auc,envelope,0.8450241988030955,0.15497580119690446,0.1459938546883306,learner,0.7439923373054644,learner,0.006300377809363088,0.04553896574138577,960,0.9999999999999997,16
BPIC14,handover,brier_skill,envelope,0.7863546564332782,0.21364534356672182,0.16182229287340677,rung,0.33996681792707173,rung,0.010029709734564244,0.10168802595405498,960,1.0,16
BPIC14,handover,logloss_skill,envelope,0.786853384532296,0.21314661546770397,0.17154730372745408,rung,0.453321368175048,rung,0.01441389487788415,0.11755032348738609,960,1.0,16
BPIC14,handover,nagelkerke,envelope,0.8461811223812834,0.1538188776187166,0.1436599622525755,learner,0.6802490365848561,learner,0.015400376525100323,0.11264466864029068,960,1.0000000000000002,16
BPIC14,handover,ap,envelope,0.8927738435896345,0.10722615641036548,0.09965177839174533,rung,0.8098445737060066,rung,9.171032964773897e-05,0.010673843227493639,960,1.0,17
BPIC14,handover,auc,envelope,0.45483693081517823,0.5451630691848217,0.5244681254147415,learner,0.3185638777827563,learner,0.004266820497683532,0.017346825232078596,960,1.0,17
BPIC14,handover,brier_skill,envelope,0.7288147458997247,0.2711852541002753,0.23992392260180295,learner,0.3860941414658583,learner,0.007939766028566934,0.06805685663462122,960,1.0,17
BPIC14,handover,logloss_skill,envelope,0.9094625113325556,0.09053748866744438,0.080887004346272,quality_level,0.6658508123689115,rung,0.007258054781535712,0.13775184086434944,960,1.0000000000000002,17
BPIC14,handover,nagelkerke,envelope,0.7806619407181946,0.2193380592818054,0.18749483027194447,learner,0.4555232349664299,learner,0.015513318866764759,0.11466074124120079,960,1.0,17
BPIC14,handover,ap,envelope,0.6927357073488243,0.3072642926511757,0.26539045160416047,rung,0.42696746790003354,rung,0.00011599408647821459,0.005723447092105347,960,0.9999999999999999,18
BPIC14,handover,auc,envelope,0.9226793915559752,0.07732060844402477,0.06791842700502959,learner,0.6852801859663894,learner,0.010623167774278026,0.1582260006324547,960,0.9999999999999998,18
BPIC14,handover,brier_skill,envelope,0.8853093222020075,0.11469067779799247,0.08815785759095585,learner,0.5480417386311525,learner,0.00984033865299804,0.15745936563655905,960,1.0000000000000002,18
BPIC14,handover,logloss_skill,envelope,0.8211034058876308,0.17889659411236924,0.13242784648981232,rung,0.4231060614485219,rung,0.008929839276863789,0.10930256437258479,960,0.9999999999999999,18
BPIC14,handover,nagelkerke,envelope,0.7030569515993673,0.2969430484006327,0.25322020142220153,learner,0.31511190409161244,rung,0.011157592145046814,0.07631538241768752,960,1.0000000000000002,18
BPIC14,handover,ap,envelope,0.8217261551918408,0.17827384480815922,0.14669648627559984,learner,0.6336412372844622,learner,0.00012151555867869488,0.0075833657535228065,960,1.0,19
BPIC14,handover,auc,envelope,0.848632456349348,0.15136754365065197,0.12295183792700515,rung,0.5373837703455454,rung,0.004255244538433012,0.07474731854021355,960,1.0,19
BPIC14,handover,brier_skill,envelope,0.8204099573766559,0.1795900426233441,0.16857017029619303,rung,0.5235591299511039,rung,0.009956920186412943,0.09922537129572402,960,0.9999999999999999,19
BPIC14,handover,logloss_skill,envelope,0.7816994427062087,0.21830055729379128,0.18375489453440952,rung,0.4598237558799303,rung,0.013257785879589243,0.1025897083523519,960,0.9999999999999999,19
BPIC14,handover,nagelkerke,envelope,0.7748307488769246,0.2251692511230754,0.18890260854270868,learner,0.42628027272332225,learner,0.015583143115540272,0.11347090028285661,960,0.9999999999999999,19
BPIC14,handover,ap,envelope,0.801537978931384,0.198462021068616,0.17545433229667906,learner,0.5302168196273946,learner,0.00032089260025833146,0.014464281744286517,960,1.0000000000000004,20
BPIC14,handover,auc,envelope,0.8415064020415276,0.1584935979584724,0.14016961488044577,learner,0.5857171990230549,learner,0.011216635013209983,0.10657654835304832,960,1.0,20
