log,target,metric,split_set,share_resampling,share_analyst,share_counterfactual,share_mixed,check_sum,var_pooled
BPIC15_1,duration,nagelkerke,all,0.8126933117942057,0.08953910148832554,0.0413941435528471,0.05637344316462172,1.0,0.03647607589963188
BPIC15_1,handover,ap,all,0.27985196463617734,0.6673880517554969,0.01640932536438238,0.036350658243943214,0.9999999999999998,7.142963062006695e-05
BPIC15_1,handover,auc,all,0.37077412673119725,0.5512048897956876,0.043283612119060046,0.03473737135405537,1.0000000000000002,0.0010323493332985174
BPIC15_1,handover,brier_skill,all,0.6262569622136499,0.13405662415838276,0.16904107893876613,0.07064533468920103,1.0,0.009140636626721212
BPIC15_1,handover,logloss_skill,all,0.7795214203793668,0.12052058030938975,0.03624756807803803,0.06371043123320558,1.0,0.05517622629771754
BPIC15_1,handover,nagelkerke,all,0.8536098813378227,0.12074420070673378,0.0012045435955137713,0.024441374359929803,1.0,1.8182829224556563
BPIC15_3,duration,ap,all,0.677139660040043,0.16986652893342524,0.13422987407739717,0.018763936949134547,1.0,0.003975586466127985
BPIC15_3,duration,auc,all,0.7303253924663248,0.1012458693802817,0.15561888826593884,0.012809849887454922,1.0000000000000002,0.004867078736642932
BPIC15_3,duration,brier_skill,all,0.7764256059282316,0.12715062864030846,0.08136857952376303,0.01505518590769706,1.0000000000000002,0.022534744140138115
BPIC15_3,duration,logloss_skill,all,0.8320055811530361,0.11379858166510767,0.03539076662828432,0.018805070553571855,1.0,0.027472114204325458
BPIC15_3,duration,nagelkerke,all,0.848582758176209,0.1173433622003866,0.021920463920615793,0.012153415702788628,1.0,0.2536734162728159
BPIC15_3,handover,ap,all,0.7609509490563262,0.21623028734576547,0.009848944828061458,0.012969818769846844,0.9999999999999999,0.0003542619788972784
BPIC15_3,handover,auc,all,0.7605353917770249,0.2229188475594076,0.002669871797601679,0.013875888865966007,1.0000000000000002,0.0037257835601799895
BPIC15_3,handover,brier_skill,all,0.7875662392801916,0.145552317368155,0.01748082286811238,0.04940062048354099,1.0,0.03377402593404352
BPIC15_3,handover,logloss_skill,all,0.7047463324499158,0.26167715970243766,0.002579508229602486,0.03099699961804398,1.0,0.09987638481543776
BPIC15_3,handover,nagelkerke,all,0.7249634577983148,0.2464346692072929,0.0036110924043420037,0.024990780590050422,1.0000000000000002,0.5644009854279193
BPIC15_4,duration,ap,all,0.8982058737315161,0.031203954932200434,0.024599834529856163,0.04599033680642753,1.0000000000000002,0.0019448852647120348
BPIC15_4,duration,auc,all,0.922287871122636,0.03622578259591312,0.004077641705023907,0.037408704576427136,1.0000000000000002,0.001804197386016766
BPIC15_4,duration,brier_skill,all,0.8161676668574788,0.11259414754406662,0.014971467731666703,0.05626671786678798,1.0,0.007119128404411349
BPIC15_4,duration,logloss_skill,all,0.7833392467375198,0.1275426968884609,0.026389874177903366,0.0627281821961157,0.9999999999999998,0.009437288133705722
BPIC15_4,duration,nagelkerke,all,0.7301717575676379,0.1540194367326178,0.04060180633338398,0.0752069993663604,1.0,0.08938955037087028
BPIC15_4,handover,ap,all,0.7765992126633501,0.15331952441145652,0.018132515550856425,0.051948747374337106,1.0,6.531649297003079e-05
BPIC15_4,handover,auc,all,0.7168204299055173,0.10419261489425494,0.0763206301301188,0.10266632507010899,1.0,0.0010536684193670376
BPIC15_4,handover,brier_skill,all,0.6623217143971796,0.1236426393391586,0.09833148823239096,0.11570415803127101,1.0000000000000002,0.012185229463843792
BPIC15_4,handover,logloss_skill,all,0.6726533701711824,0.24449405974814847,0.02572014710442145,0.05713242297624753,1.0,0.02502105160684217
BPIC15_4,handover,nagelkerke,all,0.8369571925959147,0.09206870245583118,0.03132673464871265,0.039647370299541386,0.9999999999999999,7.847330419356953
BPIC15_5,duration,ap,all,0.6746142555974729,0.17169491694597275,0.07633185849460468,0.07735896896194992,1.0000000000000002,0.0029341720341558553
BPIC15_5,duration,auc,all,0.833651165806248,0.11208881150762653,0.02610422519596576,0.028155797490159847,1.0000000000000002,0.0017054636375312578
BPIC15_5,duration,brier_skill,all,0.6994770252526318,0.22029682146727778,0.04155318053030461,0.038672972749785636,0.9999999999999999,0.009150997149100623
BPIC15_5,duration,logloss_skill,all,0.6833819752594784,0.22227458070283412,0.04562949797411751,0.04871394606356982,0.9999999999999999,0.010697144951358432
BPIC15_5,duration,nagelkerke,all,0.7804458341434753,0.17427432722302416,0.014020755496696439,0.03125908313680409,1.0,0.17476856008757413
