log,target,family,n_family,n_draws,q,q_hi,q_emp,q_emp_lo,q_emp_hi,below,ratio,resolved_mult,resolved_emp
BPIC15_1,handover,whole-surface,180,400,3.3773864655837693,3.398174649482125,6.083631594191884,5.445547600316104,6.930388082433597,True,1.8012838199552474,2,0
BPIC15_3,duration,decision-curve,1116,400,3.831130259849066,3.847954356229425,7.2259917738733135,6.636961863750649,8.28784800146586,True,1.8861253164902814,71,1
BPIC15_3,duration,whole-surface,180,400,3.3620860996861377,3.3804280853151143,4.667006592701328,4.186355150913952,5.748824339010271,True,1.3881282198980593,27,2
BPIC15_3,handover,decision-curve,1058,400,3.81047242296644,3.826255800002583,11.681439244337051,10.062587485500284,14.180161939959609,True,3.065614429835734,73,12
BPIC15_3,handover,whole-surface,180,400,3.3450691091179956,3.364646433630031,5.032447586235664,4.690630523384202,5.598455803024781,True,1.504437553328333,8,4
BPIC15_4,duration,decision-curve,1104,400,3.901866273387778,3.919385251030522,10.445753649072032,9.00607497434895,12.987412690607831,True,2.6771172862371198,24,0
BPIC15_4,duration,whole-surface,180,400,3.409403695949947,3.428652877570033,5.846539281672141,5.311162757569946,6.944448729927128,True,1.7148275191398668,0,0
BPIC15_4,handover,decision-curve,1065,400,3.885740620648112,3.9009231145125702,15.695798477816892,13.074852190056683,19.373549730895704,True,4.039332526317454,6,0
BPIC15_4,handover,whole-surface,180,400,3.4300404659512345,3.4455167042550565,6.0683366349372765,5.3407882150797255,7.576284847169957,True,1.7691734821135348,7,0
BPIC15_5,duration,decision-curve,1116,400,3.8837814398813246,3.8972785409357327,8.370671185462555,7.750192775815861,10.177996393434793,True,2.155288940697532,20,0
BPIC15_5,duration,whole-surface,180,400,3.406992183017562,3.428488948694654,5.777372798771968,4.882115237891787,6.725771211562458,True,1.6957399631175463,3,0
BPIC17,duration,decision-curve,1034,400,3.9254918227248177,3.943437461329195,17.569246140362687,15.082767303587955,19.412171479494837,True,4.475680229074397,4,0
BPIC17,duration,whole-surface,180,400,3.2759708034869135,3.293470314326411,5.171793595818396,4.401662291040717,5.755135653498362,True,1.578705643625879,22,0
BPIC19,duration,decision-curve,1116,400,3.906801669437371,3.923902489406607,8.463088366715366,7.247467446757355,9.94903736806656,True,2.1662446888260285,619,367
BPIC19,duration,whole-surface,180,400,3.379726803158017,3.399524733317662,5.807614029943655,4.93446211008255,8.007034101959167,True,1.7183678942679685,115,81
Helpdesk,duration,decision-curve,1114,400,3.901390966201423,3.916756154743352,10.250669598610228,8.747149115006685,12.974455668701747,True,2.6274397227588704,24,0
Helpdesk,duration,whole-surface,180,400,3.3250743655737796,3.34233074086299,3.93147566809165,3.5464398536800847,4.511221472708767,True,1.1823722527220015,4,2
RoadFines,duration,decision-curve,1026,400,3.9213237219045616,3.941256389362895,18.306629511762527,16.44711379603415,19.942556551969293,True,4.668482076473685,66,0
RoadFines,duration,whole-surface,180,400,3.2984877707954605,3.318997872112137,5.062666885439723,4.653809585133208,6.24435951041931,True,1.5348448250329014,92,58
Sepsis,duration,decision-curve,1116,400,3.832412269250468,3.848632110537357,5.416082601213218,4.990326375294784,5.838052420718658,True,1.4132306810176454,230,59
Sepsis,duration,whole-surface,180,400,3.319017543237407,3.3396747777683373,3.91149754754511,3.629598554152426,4.14007156743569,True,1.1785106576236386,112,102
UCI498,duration,decision-curve,1116,400,3.9208020355244457,3.938735484490095,8.084823072650758,7.210665627892766,9.471202580363478,True,2.062032971672168,33,0
UCI498,duration,whole-surface,180,400,3.29634256354508,3.314065864840284,4.010217763910006,3.7595456406046814,4.204804974185392,True,1.2165658412629248,22,14
UCI498,handover,decision-curve,1116,400,3.9279056841715185,3.9465846086308742,12.427356900717788,11.326762827278882,13.801878434785642,True,3.1638633663728077,17,0
UCI498,handover,whole-surface,180,400,3.339083760205697,3.355183229780297,5.506257834465351,5.036334682572678,6.443358398956329,True,1.649032557999129,7,0
