log,target,unit,threshold_measure,rule,n_cells,adopts,loss,excess,rel_excess,L_adopt,L_decline,best,mean,share_positive
BPIC13_incidents,duration,net benefit (true positives per case),uniform over the declared operating range,majority,186,True,0.016526395882177886,0.0,0.0,0.016526395882177886,0.018480758959367318,0.016526395882177886,0.0019543630771894326,0.521505376344086
BPIC13_incidents,duration,net benefit (true positives per case),uniform over the declared operating range,weighted-mean,186,True,0.016526395882177886,0.0,0.0,0.016526395882177886,0.018480758959367318,0.016526395882177886,0.0019543630771894326,0.521505376344086
BPIC13_incidents,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,one-number,186,True,0.00018516320944497782,0.0,0.0,0.00018516320944497782,0.012762688399496945,0.00018516320944497782,0.012577525190051968,0.8870322665082386
BPIC13_incidents,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,uniform-beneficial,186,False,0.012762688399496945,0.012577525190051968,67.92669681926984,0.00018516320944497782,0.012762688399496945,0.00018516320944497782,0.012577525190051968,0.8870322665082386
BPIC13_incidents,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,majority,186,True,0.00018516320944497782,0.0,0.0,0.00018516320944497782,0.012762688399496945,0.00018516320944497782,0.012577525190051968,0.8870322665082386
BPIC13_incidents,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,weighted-mean,186,True,0.00018516320944497782,0.0,0.0,0.00018516320944497782,0.012762688399496945,0.00018516320944497782,0.012577525190051968,0.8870322665082386
BPIC13_incidents,handover,net benefit (true positives per case),uniform over the declared operating range,one-number,186,True,1.7173421627612898e-06,0.0,0.0,1.7173421627612898e-06,0.048418230674020436,1.7173421627612898e-06,0.048416513331857675,0.9462365591397845
BPIC13_incidents,handover,net benefit (true positives per case),uniform over the declared operating range,uniform-beneficial,186,False,0.048418230674020436,0.048416513331857675,28192.70054722785,1.7173421627612898e-06,0.048418230674020436,1.7173421627612898e-06,0.048416513331857675,0.9462365591397845
BPIC13_incidents,handover,net benefit (true positives per case),uniform over the declared operating range,majority,186,True,1.7173421627612898e-06,0.0,0.0,1.7173421627612898e-06,0.048418230674020436,1.7173421627612898e-06,0.048416513331857675,0.9462365591397845
BPIC13_incidents,handover,net benefit (true positives per case),uniform over the declared operating range,weighted-mean,186,True,1.7173421627612898e-06,0.0,0.0,1.7173421627612898e-06,0.048418230674020436,1.7173421627612898e-06,0.048416513331857675,0.9462365591397845
BPIC13_incidents,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,one-number,186,True,3.4493696770887017e-06,0.0,0.0,3.4493696770887017e-06,0.0014441771409160638,3.4493696770887017e-06,0.0014407277712389752,0.9203413479435789
BPIC13_incidents,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,uniform-beneficial,186,False,0.0014441771409160638,0.0014407277712389752,417.67856336435415,3.4493696770887017e-06,0.0014441771409160638,3.4493696770887017e-06,0.0014407277712389752,0.9203413479435789
BPIC13_incidents,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,majority,186,True,3.4493696770887017e-06,0.0,0.0,3.4493696770887017e-06,0.0014441771409160638,3.4493696770887017e-06,0.0014407277712389752,0.9203413479435789
BPIC13_incidents,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,weighted-mean,186,True,3.4493696770887017e-06,0.0,0.0,3.4493696770887017e-06,0.0014441771409160638,3.4493696770887017e-06,0.0014407277712389752,0.9203413479435789
BPIC14,duration,net benefit (true positives per case),uniform over the declared operating range,one-number,248,True,0.0007727966295910459,0.0,0.0,0.0007727966295910459,0.027235547304729844,0.0007727966295910459,0.0264627506751388,0.7741935483870974
BPIC14,duration,net benefit (true positives per case),uniform over the declared operating range,uniform-beneficial,248,False,0.027235547304729844,0.0264627506751388,34.24283914015327,0.0007727966295910459,0.027235547304729844,0.0007727966295910459,0.0264627506751388,0.7741935483870974
BPIC14,duration,net benefit (true positives per case),uniform over the declared operating range,majority,248,True,0.0007727966295910459,0.0,0.0,0.0007727966295910459,0.027235547304729844,0.0007727966295910459,0.0264627506751388,0.7741935483870974
BPIC14,duration,net benefit (true positives per case),uniform over the declared operating range,weighted-mean,248,True,0.0007727966295910459,0.0,0.0,0.0007727966295910459,0.027235547304729844,0.0007727966295910459,0.0264627506751388,0.7741935483870974
BPIC14,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,one-number,248,True,7.689978133917089e-05,0.0,0.0,7.689978133917089e-05,0.012430731384084445,7.689978133917089e-05,0.012353831602745276,0.8859962786359308
BPIC14,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,uniform-beneficial,248,False,0.012430731384084445,0.012353831602745275,160.64846203213494,7.689978133917089e-05,0.012430731384084445,7.689978133917089e-05,0.012353831602745276,0.8859962786359308
