log,target,learner,quality,level,rung,metric,V,se,n_draws,pct_lo,pct_hi,basic_lo,basic_hi,bc_lo,bc_hi,boot_shift,pct_resolved,basic_resolved,bc_resolved,lo,hi,resolved
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.725,-0.0191173479764083,0.02389348810862062,250,-0.0649176327028676,0.025696562944885072,-0.06393125889770168,0.026682936750050998,-0.08454381852577719,0.016270083384177368,0.0030506406345332526,False,False,False,-0.06393125889770168,0.026682936750050998,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.750,-0.0089485458612975,0.027572071043204492,250,-0.06711409395973157,0.046476510067114146,-0.06437360178970915,0.04921700223713657,-0.0565384306350665,0.08707423828036738,-0.004474272930648698,False,False,False,-0.06437360178970915,0.04921700223713657,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.775,-0.0109371116082525,0.0324850076997148,250,-0.0688478747203579,0.08745960725826499,-0.10933383047477,0.0469736515038529,-0.07257451571593694,0.053745015661286026,0.0,False,False,False,-0.10933383047477,0.0469736515038529,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.800,-0.0067114093959731,0.04252180910542878,250,-0.058892617449664425,0.13193512304250574,-0.14535794183445194,0.045469798657718226,-0.08209177666113236,0.0771505209074475,0.0044742729306487495,False,False,False,-0.14535794183445194,0.045469798657718226,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,ap,0.0011650179878267,0.02722205147699131,250,-0.04103668624051866,0.06461092605114045,-0.06228089007548705,0.04336672221617206,-0.04556408043017054,0.05088617790876439,0.00502442919836945,False,False,False,-0.06228089007548705,0.04336672221617206,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,auc,-0.0085315667971495,0.02313211147582096,250,-0.048388028424096355,0.03404158464566912,-0.05110471823996812,0.031324894829797355,-0.051949635795733536,0.032573823109586765,0.00071929822417755,False,False,False,-0.05110471823996812,0.031324894829797355,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,brier_skill,-0.0075115287194982,0.03333312404958434,250,-0.07514939818780256,0.04858026463760256,-0.06360332207659895,0.060126340748806156,-0.066003396743646,0.06697394714176512,-0.0046416179211148005,False,False,False,-0.06360332207659895,0.060126340748806156,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,logloss_skill,-0.0023671770308478,0.029575193458539643,250,-0.06336595046424714,0.045007909422015414,-0.04974226348371101,0.05863159640255154,-0.05288904075637437,0.05936891817557345,-0.00838606496391555,False,False,False,-0.04974226348371101,0.05863159640255154,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nagelkerke,-0.003759416108133,0.050706634916297205,250,-0.1110641603343158,0.07704081519372534,-0.08455964740999133,0.10354532811804981,-0.0945830965122285,0.09278412486638637,-0.013818400772056798,False,False,False,-0.08455964740999133,0.10354532811804981,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.050,0.0002354880489814,0.0017009474923310446,250,-0.004394795714117455,0.0024843989167549277,-0.002013422818792128,0.004865771812080255,-0.004006115159807115,0.002992739572465038,-0.0001177440244907,False,False,False,-0.002013422818792128,0.004865771812080255,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.075,0.000906947215672,0.003932093953583962,250,-0.010006650946248185,0.0065693209988511225,-0.004755426567507123,0.011820545377592185,-0.006912499819276586,0.007919360346823967,-0.0008464840679605499,False,False,False,-0.004755426567507123,0.011820545377592185,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.100,0.0024857071836937,0.005146982081973324,250,-0.010881183196619385,0.009085259756400673,-0.004113845389013273,0.015852597564006785,-0.0059656972408649,0.014857063685709658,-0.0021128511061397,False,False,False,-0.004113845389013273,0.015852597564006785,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.125,-0.0035155001597954,0.0071812769378305245,250,-0.013422818791946277,0.015268456375838896,-0.022299456695429695,0.006391818472355477,-0.020006741681646317,0.004154682007031,0.00527325023969305,False,False,False,-0.022299456695429695,0.006391818472355477,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.150,0.0003947887879984,0.009181913698790652,250,-0.017077904987498248,0.018818265561258,-0.0180286879852612,0.017867482563495046,-0.0243275293603008,0.014874782180654574,0.00289511777865505,False,False,False,-0.0180286879852612,0.017867482563495046,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.175,0.0107789302420174,0.010810999331625883,250,-0.019241068402142174,0.02146464646464641,9.321401938839138e-05,0.04079892888617698,-0.0024800341061882885,0.04203688430717708,-0.0058640092197139,False,True,False,9.321401938839138e-05,0.04079892888617698,True
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.200,0.0078299776286353,0.013335741741355796,250,-0.023112416107382506,0.02758668903803124,-0.011926733780760639,0.038772371364653106,-0.01565995525727068,0.03820025900923207,-0.0033557046979866,False,False,False,-0.011926733780760639,0.038772371364653106,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.225,0.0118351735584903,0.01606653602962745,250,-0.03299235043660241,0.03519881648264411,-0.011528469365663513,0.05666269755358301,-0.011106205426773383,0.04730090990716816,-0.007866060474850351,False,False,False,-0.011528469365663513,0.05666269755358301,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.250,0.0037285607755406,0.01726825723673896,250,-0.031897837434750075,0.03586875466070093,-0.02841163310961973,0.03935495898583127,-0.0313199105145413,0.03908824548019845,-0.0007457121551082001,False,False,False,-0.02841163310961973,0.03935495898583127,False
