log,target,metric,n_cells,n_draws,var_surface,mean_se,sigma2,rho_mean,noise_independent,noise_correlated,share_independent,share_correlated
BPIC15_3,duration,auc,36,400,0.0037504579769530155,0.04795739140569841,0.0031629196451148697,0.15269652144650017,0.0031629196451148697,0.0026799528176910305,0.8433422436810025,0.7145668166820268
BPIC15_3,duration,ap,36,400,0.0031845964999806255,0.04529294146920648,0.0024984389353836043,0.12446987291218525,0.0024984389353836043,0.0021874585586175517,0.7845386174979481,0.686887195483277
BPIC15_3,duration,brier_skill,36,400,0.022469787577314437,0.11793248279867624,0.019885887576752456,0.1950988236659443,0.019885887576752456,0.016006174302974834,0.8850055884297414,0.7123420391893119
BPIC15_3,duration,nagelkerke,36,400,0.19978292921413507,1.5897815197146208,10.575068527813677,0.17323614212694152,10.575068527813677,8.743084453327201,52.93279345443429,43.76292052438587
BPIC15_3,duration,logloss_skill,36,400,0.0195617074593605,0.16235908564697546,0.04701355364858778,0.18107296325140737,0.04701355364858778,0.03850067017645897,2.403346116194538,1.9681651132164317
BPIC15_3,handover,auc,36,400,0.004622234481267871,0.055765611479997576,0.004304118883584989,0.19886668117967307,0.004304118883584989,0.0034481730458036826,0.9311770964947621,0.7459969977243245
BPIC15_3,handover,ap,36,400,7.808742413831789e-05,0.009680710337115308,0.00014152527155200683,0.19680719854416442,0.00014152527155200683,0.00011367207933465423,1.8123951854439475,1.4557027663417927
BPIC15_3,handover,brier_skill,36,400,0.0602356719437735,0.12981300723201525,0.030208929868547063,0.1333003479407623,0.030208929868547063,0.026182069006151654,0.50151229153292,0.43466052857501275
BPIC15_3,handover,nagelkerke,36,400,0.6509969534320359,1.3242899133700758,7.999324943701333,0.18402715794923957,7.999324943701333,6.527231908799515,12.287807034317346,10.02651682836325
BPIC15_3,handover,logloss_skill,36,400,0.15084889464344287,0.19650710705845592,0.06769837108425475,0.18461479202959322,0.06769837108425475,0.055200250385792834,0.44878267914572006,0.3659307581687493
BPIC15_4,duration,auc,36,400,0.0026185347568998827,0.060916900232479296,0.005697388753176349,0.11410385255497273,0.005697388753176349,0.005047294746935555,2.1757926787733615,1.9275263517644168
BPIC15_4,duration,ap,36,400,0.003346409109091104,0.08982965136613313,0.011858646472692141,0.10107292955559417,0.011858646472692141,0.010660058333133033,3.543692981373993,3.1855215503009258
