log,target,rung,learner,calibration,arm,n_test,ece,brier,cal_slope,cal_intercept
BPIC14,duration,B_intake,hgb,raw,without_f,13982,0.06994357555828684,0.23511916010522582,0.9911540105698705,-0.2997112558319753
BPIC14,duration,B_intake,hgb,raw,with_f,13982,0.05494930476313751,0.20384884745582027,0.9518860216966228,-0.27638994164071623
BPIC14,duration,B_intake,hgb,platt,without_f,13982,0.06635067688078579,0.2348532013841024,1.0965812166386468,-0.28137752799792104
BPIC14,duration,B_intake,hgb,platt,with_f,13982,0.05567947808375741,0.20450407806286916,1.1177545179110124,-0.2603678351362885
BPIC14,duration,B_intake,hgb,isotonic,without_f,13982,0.06558087882830264,0.2346736972645336,1.0465104191396,-0.279466907776413
BPIC14,duration,B_intake,hgb,isotonic,with_f,13982,0.05530085460363811,0.20447002067516593,1.0537718629553465,-0.2589865679068453
BPIC14,duration,B_intake_g,logit,raw,without_f,13982,0.06351317394418407,0.22761891057874986,0.9907793509835812,-0.24415949899026052
BPIC14,duration,B_intake_g,logit,raw,with_f,13982,0.05133413158736052,0.2019373006262109,0.9384407231053242,-0.2590325591690168
BPIC14,duration,B_intake_g,logit,platt,without_f,13982,0.06776049245701196,0.22804661610450888,1.1251363599750077,-0.23858393673593603
BPIC14,duration,B_intake_g,logit,platt,with_f,13982,0.05121731163003032,0.20192177164423847,1.0886772829182325,-0.23946315711872665
BPIC14,duration,B_intake_g,logit,isotonic,without_f,13982,0.05910686025619398,0.22628290064622814,1.0184535450208239,-0.2312344091080468
BPIC14,duration,B_intake_g,logit,isotonic,with_f,13982,0.05041705359330905,0.20164197463566672,1.0222870847305716,-0.243400273163143
BPIC14,duration,B_intake_g,hgb,raw,without_f,13982,0.06243270906579022,0.22502737749325843,0.9505029007979994,-0.2750688759315165
BPIC14,duration,B_intake_g,hgb,raw,with_f,13982,0.05307158407472048,0.2023805486768652,0.9244054039730034,-0.2715792155387449
BPIC14,duration,B_intake_g,hgb,platt,without_f,13982,0.06005911648556493,0.2246094515489849,1.1991617429535155,-0.23034627010843098
BPIC14,duration,B_intake_g,hgb,platt,with_f,13982,0.05300816482984117,0.2024965775203256,1.1169309117233193,-0.23542978724333402
BPIC14,duration,B_intake_g,hgb,isotonic,without_f,13982,0.05727657297727799,0.22403397319664836,1.0704852091237473,-0.22908467036536784
BPIC14,duration,B_intake_g,hgb,isotonic,with_f,13982,0.052784909137285944,0.20184142314248332,1.0593176014459271,-0.23495430899865158
BPIC14,duration,B_intake_g_km,logit,raw,without_f,13982,0.05005853608171471,0.18740383319722875,0.9687411259884046,-0.2547715071307533
BPIC14,duration,B_intake_g_km,logit,raw,with_f,13982,0.04748257384832403,0.18927444517472336,0.9077463236476517,-0.265075531981735
BPIC14,duration,B_intake_g_km,logit,platt,without_f,13982,0.04488859644879218,0.18695081180670875,1.1409637296640998,-0.225591181403779
BPIC14,duration,B_intake_g_km,logit,platt,with_f,13982,0.04733901896927738,0.188239860143044,1.1302446942437763,-0.23499550043708242
BPIC14,duration,B_intake_g_km,logit,isotonic,without_f,13982,0.045365229454916424,0.1865688055145883,1.1087057603567354,-0.2276280318751772
BPIC14,duration,B_intake_g_km,logit,isotonic,with_f,13982,0.04635975972040874,0.18876824811697884,1.084017718044051,-0.23921996413477373
BPIC14,duration,B_intake_g_km,hgb,raw,without_f,13982,0.0497651980470578,0.19064891845450405,0.9192742864306285,-0.2741152823748483
BPIC14,duration,B_intake_g_km,hgb,raw,with_f,13982,0.05277966688010917,0.19067485970748502,0.9068620351305828,-0.2931768869580145
BPIC14,duration,B_intake_g_km,hgb,platt,without_f,13982,0.05354678069185363,0.1888838654341599,1.1780543910973746,-0.2462721487243939
BPIC14,duration,B_intake_g_km,hgb,platt,with_f,13982,0.05059702099889222,0.18905548880980289,1.16895517643624,-0.24197289024274424
BPIC14,duration,B_intake_g_km,hgb,isotonic,without_f,13982,0.0511928810972794,0.1880168999334355,1.149233004103784,-0.24483261098466344
BPIC14,duration,B_intake_g_km,hgb,isotonic,with_f,13982,0.05032190126388733,0.188603798439938,1.1417162695273773,-0.23584001165741447
Helpdesk,duration,B_half,logit,raw,without_f,1374,0.04386026258878485,0.23352114581575295,0.6583338729684454,-0.03758863198473825
Helpdesk,duration,B_half,logit,raw,with_f,1374,0.09068873622654886,0.24242342300441747,0.5067363656565076,-0.06095128967891382
Helpdesk,duration,B_half,logit,platt,without_f,1374,0.044476384204000685,0.23361533269505422,0.6547873704797068,-0.04921271190011023
