pair,b_lo,b_hi,instrument,population,regime,V_lo,R
B0_half -> B0+g,B0_half,B0+g,nb_0.525,0.5,random,0.0065573029985921,0.7657864523536202
B0 -> B0+g,B0,B0+g,nb_0.525,0.5,random,0.0066288235249831,0.768313458262352
empty -> B0_half,empty,B0_half,nb_0.525,0.5,rare-first,0.0091508631398262,0.023447141094197876
empty -> B0,empty,B0,nb_0.525,0.5,rare-first,0.0091508631398262,0.023447141094197876
empty -> B0+g,empty,B0+g,nb_0.525,0.5,rare-first,0.0091508631398262,1.437268613739195
B0_half -> B0,B0_half,B0,nb_0.525,0.5,rare-first,0.008936301560653,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.525,0.5,rare-first,0.008936301560653,1.4477674810446424
B0 -> B0+g,B0,B0+g,nb_0.525,0.5,rare-first,0.008936301560653,1.4477674810446424
empty -> B0_half,empty,B0_half,nb_0.525,0.75,rare-first,0.0132011834764999,0.015682919874543844
empty -> B0,empty,B0,nb_0.525,0.75,rare-first,0.0132011834764999,0.015682919874543844
empty -> B0+g,empty,B0+g,nb_0.525,0.75,rare-first,0.0132011834764999,0.762189905902485
B0_half -> B0,B0_half,B0,nb_0.525,0.75,rare-first,0.0129941503737888,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.525,0.75,rare-first,0.0129941503737888,0.7584009269988439
B0 -> B0+g,B0,B0+g,nb_0.525,0.75,rare-first,0.0129941503737888,0.7584009269988439
empty -> B0_half,empty,B0_half,nb_0.525,1.0,full,0.0139954377432638,-0.024744486282944678
empty -> B0,empty,B0,nb_0.525,1.0,full,0.0139954377432638,-0.03550295857988117
empty -> B0+g,empty,B0+g,nb_0.525,1.0,full,0.0139954377432638,0.6826250672404512
B0_half -> B0,B0_half,B0,nb_0.525,1.0,full,0.0143417476605258,-0.010498687664044493
B0_half -> B0+g,B0_half,B0+g,nb_0.525,1.0,full,0.0143417476605258,0.6902887139107596
B0 -> B0+g,B0,B0+g,nb_0.525,1.0,full,0.0144923171897702,0.6935064935064927
empty -> B0_half,empty,B0_half,nb_0.550,0.5,random,0.0073507207679714,-0.025945945945942128
empty -> B0,empty,B0,nb_0.550,0.5,random,0.0073507207679714,-0.04000000000000603
empty -> B0+g,empty,B0+g,nb_0.550,0.5,random,0.0073507207679714,0.6021621621621666
B0_half -> B0,B0_half,B0,nb_0.550,0.5,random,0.0075414421716809,-0.013698630136995904
B0_half -> B0+g,B0_half,B0+g,nb_0.550,0.5,random,0.0075414421716809,0.6122233930453137
B0 -> B0+g,B0,B0+g,nb_0.550,0.5,random,0.0076447495986903,0.6174636174636239
empty -> B0_half,empty,B0_half,nb_0.550,0.5,rare-first,0.0101797549229962,0.031225604996101608
empty -> B0,empty,B0,nb_0.550,0.5,rare-first,0.0101797549229962,0.021077283372363143
empty -> B0+g,empty,B0+g,nb_0.550,0.5,rare-first,0.0101797549229962,1.2583918813427
B0_half -> B0,B0_half,B0,nb_0.550,0.5,rare-first,0.0098618859168136,-0.01047542304593807
B0_half -> B0+g,B0_half,B0+g,nb_0.550,0.5,rare-first,0.0098618859168136,1.266720386784851
B0 -> B0+g,B0,B0+g,nb_0.550,0.5,rare-first,0.009965193343823,1.2639553429027097
empty -> B0_half,empty,B0_half,nb_0.550,0.75,rare-first,0.0150749376182075,0.05798629414866119
empty -> B0,empty,B0,nb_0.550,0.75,rare-first,0.0150749376182075,0.07749077490774392
empty -> B0+g,empty,B0+g,nb_0.550,0.75,rare-first,0.0150749376182075,0.45492883500263925
B0_half -> B0,B0_half,B0,nb_0.550,0.75,rare-first,0.0142007978512054,0.0207050923335087
B0_half -> B0+g,B0_half,B0+g,nb_0.550,0.75,rare-first,0.0142007978512054,0.4213766088416344
B0 -> B0+g,B0,B0+g,nb_0.550,0.75,rare-first,0.0139067690204867,0.40914285714286425
empty -> B0_half,empty,B0_half,nb_0.550,1.0,full,0.0154007533495447,-0.015995872033018665
empty -> B0,empty,B0,nb_0.550,1.0,full,0.0154007533495447,0.009803921568633078
empty -> B0+g,empty,B0+g,nb_0.550,1.0,full,0.0154007533495447,0.5402476780185805
B0_half -> B0,B0_half,B0,nb_0.550,1.0,full,0.0156471018293361,0.025393600812595896
B0_half -> B0+g,B0_half,B0+g,nb_0.550,1.0,full,0.0156471018293361,0.5474860335195553
B0 -> B0+g,B0,B0+g,nb_0.550,1.0,full,0.0152497655716079,0.535695674830643
empty -> B0_half,empty,B0_half,nb_0.575,0.5,random,0.0086161198852305,-0.05371093750002043
empty -> B0,empty,B0,nb_0.575,0.5,random,0.0086161198852305,-0.057128906250012434
empty -> B0+g,empty,B0+g,nb_0.575,0.5,random,0.0086161198852305,1.8696289062500029
B0_half -> B0,B0_half,B0,nb_0.575,0.5,random,0.0090788997618788,-0.003243744207591881
B0_half -> B0+g,B0_half,B0+g,nb_0.575,0.5,random,0.0090788997618788,1.8253012048192638
B0 -> B0+g,B0,B0+g,nb_0.575,0.5,random,0.0091083493903927,1.822632794457268
empty -> B0_half,empty,B0_half,nb_0.575,0.5,rare-first,0.0113296927983037,0.07389528406980717
empty -> B0,empty,B0,nb_0.575,0.5,rare-first,0.0113296927983037,0.06312662458225538
empty -> B0+g,empty,B0+g,nb_0.575,0.5,rare-first,0.0113296927983037,0.5038989974006766
B0_half -> B0,B0_half,B0,nb_0.575,0.5,rare-first,0.0104924819305494,-0.01162790697673488
B0_half -> B0+g,B0_half,B0+g,nb_0.575,0.5,rare-first,0.0104924819305494,0.46431435445069247
B0 -> B0+g,B0,B0+g,nb_0.575,0.5,rare-first,0.0106144875343929,0.47047166072136926
empty -> B0_half,empty,B0_half,nb_0.575,0.75,rare-first,0.0165801408533661,0.044912458766809604
empty -> B0,empty,B0,nb_0.575,0.75,rare-first,0.0165801408533661,0.03755392032479565
empty -> B0+g,empty,B0+g,nb_0.575,0.75,rare-first,0.0165801408533661,0.2791169753869651
B0_half -> B0,B0_half,B0,nb_0.575,0.75,rare-first,0.0158354859609414,-0.00770456960679522
B0_half -> B0+g,B0_half,B0+g,nb_0.575,0.75,rare-first,0.0158354859609414,0.24521785334751112
B0 -> B0+g,B0,B0+g,nb_0.575,0.75,rare-first,0.0159574915647849,0.2509886633271855
empty -> B0_half,empty,B0_half,nb_0.575,1.0,full,0.0168073237019025,-0.03979974968710098
empty -> B0,empty,B0,nb_0.575,1.0,full,0.0168073237019025,-0.02377972465581535
empty -> B0+g,empty,B0+g,nb_0.575,1.0,full,0.0168073237019025,0.37722152690864375
B0_half -> B0,B0_half,B0,nb_0.575,1.0,full,0.0174762509781483,0.01540683678381971
B0_half -> B0+g,B0_half,B0+g,nb_0.575,1.0,full,0.0174762509781483,0.40105922002889094
B0 -> B0+g,B0,B0+g,nb_0.575,1.0,full,0.0172069972317349,0.3916870415647973
empty -> B0_half,empty,B0_half,nb_0.600,0.5,random,0.0099413531683593,-0.0647482014388523
empty -> B0,empty,B0,nb_0.600,0.5,random,0.0099413531683593,-0.08633093525179958
empty -> B0+g,empty,B0+g,nb_0.600,0.5,random,0.0099413531683593,-0.5791366906474853
B0_half -> B0,B0_half,B0,nb_0.600,0.5,random,0.010585037905879,-0.020270270270267954
B0_half -> B0+g,B0_half,B0+g,nb_0.600,0.5,random,0.010585037905879,-0.48310810810810656
B0 -> B0+g,B0,B0+g,nb_0.600,0.5,random,0.0107995994850522,-0.453642384105962
B0_half -> B0,B0_half,B0,nb_0.600,1.0,full,0.0017164926333858,-0.20833333333328974
B0_half -> B0+g,B0_half,B0+g,nb_0.600,1.0,full,0.0017164926333858,-20.312499999999734
B0 -> B0+g,B0,B0+g,nb_0.600,1.0,full,0.0020740952653411,-16.637931034483174
empty -> B0_half,empty,B0_half,nb_0.625,0.5,random,0.0017641729843131,-0.6081081081081792
empty -> B0,empty,B0,nb_0.625,0.5,random,0.0017641729843131,-0.7432432432433114
empty -> B0+g,empty,B0+g,nb_0.625,0.5,random,0.0017641729843131,-7.959459459459726
B0_half -> B0,B0_half,B0,nb_0.625,0.5,random,0.0028369808801793,-0.08403361344537252
B0_half -> B0+g,B0_half,B0+g,nb_0.625,0.5,random,0.0028369808801793,-4.571428571428491
B0 -> B0+g,B0,B0+g,nb_0.625,0.5,random,0.0030753826348162,-4.1395348837208825
empty -> B0_half,empty,B0_half,nb_0.625,0.75,rare-first,0.0024793782482238,-1.653846153846216
empty -> B0,empty,B0,nb_0.625,0.75,rare-first,0.0024793782482238,-1.7980769230770433
empty -> B0+g,empty,B0+g,nb_0.625,0.75,rare-first,0.0024793782482238,-11.884615384615902
B0_half -> B0,B0_half,B0,nb_0.625,0.75,rare-first,0.0065798884279787,-0.05434782608697719
B0_half -> B0+g,B0_half,B0+g,nb_0.625,0.75,rare-first,0.0065798884279787,-3.855072463768197
B0 -> B0+g,B0,B0+g,nb_0.625,0.75,rare-first,0.0069374910599342,-3.604810996563561
empty -> B0_half,empty,B0_half,nb_0.625,1.0,full,0.0037667477232632,-0.3924050632911258
empty -> B0,empty,B0,nb_0.625,1.0,full,0.0037667477232632,-0.487341772151894
empty -> B0+g,empty,B0+g,nb_0.625,1.0,full,0.0037667477232632,-7.7215189873418275
B0_half -> B0,B0_half,B0,nb_0.625,1.0,full,0.005244838602012,-0.068181818181825
B0_half -> B0+g,B0_half,B0+g,nb_0.625,1.0,full,0.005244838602012,-5.263636363636464
B0 -> B0+g,B0,B0+g,nb_0.625,1.0,full,0.0056024412339674,-4.863829787234099
empty -> B0_half,empty,B0_half,nb_0.650,0.5,random,0.0006232503014079,-1.573770491803355
empty -> B0,empty,B0,nb_0.650,0.5,random,0.0006232503014079,-2.278688524590256
empty -> B0+g,empty,B0+g,nb_0.650,0.5,random,0.0006232503014079,-26.278688524591697
B0_half -> B0,B0_half,B0,nb_0.650,0.5,random,0.0016041032347712,-0.2738853503184693
B0_half -> B0+g,B0_half,B0+g,nb_0.650,0.5,random,0.0016041032347712,-9.598726114649963
B0 -> B0+g,B0,B0+g,nb_0.650,0.5,random,0.0020434436111735,-7.320000000000235
empty -> B0_half,empty,B0_half,nb_0.650,0.75,rare-first,0.0003576026319553,-13.885714285716979
empty -> B0,empty,B0,nb_0.650,0.75,rare-first,0.0003576026319553,-14.485714285717034
empty -> B0+g,empty,B0+g,nb_0.650,0.75,rare-first,0.0003576026319553,-97.97142857144834
B0_half -> B0,B0_half,B0,nb_0.650,0.75,rare-first,0.005323170607107,-0.04030710172744345
B0_half -> B0+g,B0_half,B0+g,nb_0.650,0.75,rare-first,0.005323170607107,-5.648752399232371
B0 -> B0+g,B0,B0+g,nb_0.650,0.75,rare-first,0.0055377321862802,-5.391143911439257
empty -> B0_half,empty,B0_half,nb_0.650,1.0,full,0.0025543045139669,-0.4679999999999964
empty -> B0,empty,B0,nb_0.650,1.0,full,0.0025543045139669,-0.5519999999999885
empty -> B0+g,empty,B0+g,nb_0.650,1.0,full,0.0025543045139669,-13.224000000000201
B0_half -> B0,B0_half,B0,nb_0.650,1.0,full,0.0037497190265034,-0.057220708446861224
B0_half -> B0+g,B0_half,B0+g,nb_0.650,1.0,full,0.0037497190265034,-8.689373297002886
B0 -> B0+g,B0,B0+g,nb_0.650,1.0,full,0.0039642806056766,-8.164948453608444
empty -> B0_half,empty,B0_half,nb_0.675,0.5,random,0.0043022347413709,0.6943734015345437
empty -> B0,empty,B0,nb_0.675,0.5,random,0.0043022347413709,0.6777493606138221
empty -> B0+g,empty,B0+g,nb_0.675,0.5,random,0.0043022347413709,-0.8887468030689829
B0_half -> B0,B0_half,B0,nb_0.675,0.5,random,0.0013148773698051,-0.0543933054393515
B0_half -> B0+g,B0_half,B0+g,nb_0.675,0.5,random,0.0013148773698051,-5.179916317991742
B0 -> B0+g,B0,B0+g,nb_0.675,0.5,random,0.0013863978961962,-4.861111111111098
empty -> B0_half,empty,B0_half,nb_0.675,0.75,rare-first,0.0055290868479254,-0.4855721393034671
empty -> B0,empty,B0,nb_0.675,0.75,rare-first,0.0055290868479254,-0.5243781094527162
empty -> B0+g,empty,B0+g,nb_0.675,0.75,rare-first,0.0055290868479254,-4.046766169154175
B0_half -> B0,B0_half,B0,nb_0.675,0.75,rare-first,0.0082138573770672,-0.026121902210312076
B0_half -> B0+g,B0_half,B0+g,nb_0.675,0.75,rare-first,0.0082138573770672,-2.3971868720696574
B0 -> B0+g,B0,B0+g,nb_0.675,0.75,rare-first,0.0084284189562404,-2.3107049608355172
empty -> B0_half,empty,B0_half,nb_0.675,1.0,full,0.008307384219271,-0.2920529801324523
empty -> B0,empty,B0,nb_0.675,1.0,full,0.008307384219271,-0.32715231788078936
empty -> B0+g,empty,B0+g,nb_0.675,1.0,full,0.008307384219271,-2.6198675496688395
B0_half -> B0,B0_half,B0,nb_0.675,1.0,full,0.0107335805376144,-0.027165556125058554
B0_half -> B0+g,B0_half,B0+g,nb_0.675,1.0,full,0.0107335805376144,-1.8016401845207275
B0 -> B0+g,B0,B0+g,nb_0.675,1.0,full,0.0110251642221318,-1.7275449101796254
empty -> B0_half,empty,B0_half,nb_0.700,0.5,random,0.007009011586325,0.040816326530585756
empty -> B0,empty,B0,nb_0.700,0.5,random,0.007009011586325,0.05442176870746196
empty -> B0+g,empty,B0+g,nb_0.700,0.5,random,0.007009011586325,-0.1088435374149952
B0_half -> B0,B0_half,B0,nb_0.700,0.5,random,0.0067229294807609,0.014184397163125806
B0_half -> B0+g,B0_half,B0+g,nb_0.700,0.5,random,0.0067229294807609,-0.1560283687943249
B0 -> B0+g,B0,B0+g,nb_0.700,0.5,random,0.0066275687789061,-0.17266187050360204
B0_half -> B0,B0_half,B0,nb_0.700,0.5,rare-first,0.0030753826348161,-0.0930232558139572
B0_half -> B0+g,B0_half,B0+g,nb_0.700,0.5,rare-first,0.0030753826348161,-7.379844961240556
B0 -> B0+g,B0,B0+g,nb_0.700,0.5,rare-first,0.0033614647403804,-6.666666666666865
empty -> B0_half,empty,B0_half,nb_0.700,0.75,rare-first,0.0115624850998902,-0.42886597938145576
empty -> B0,empty,B0,nb_0.700,0.75,rare-first,0.0115624850998902,-0.46185567010310025
empty -> B0+g,empty,B0+g,nb_0.700,0.75,rare-first,0.0115624850998902,-1.600000000000033
B0_half -> B0,B0_half,B0,nb_0.700,0.75,rare-first,0.0165212415963381,-0.02308802308801927
B0_half -> B0+g,B0_half,B0+g,nb_0.700,0.75,rare-first,0.0165212415963381,-0.8196248196248268
B0 -> B0+g,B0,B0+g,nb_0.700,0.75,rare-first,0.0169026844037571,-0.7785613540197598
empty -> B0_half,empty,B0_half,nb_0.700,1.0,full,0.0157821961569636,-0.280966767371603
empty -> B0,empty,B0,nb_0.700,1.0,full,0.0157821961569636,-0.21601208459215449
empty -> B0+g,empty,B0+g,nb_0.700,1.0,full,0.0157821961569636,-1.1268882175226733
B0_half -> B0,B0_half,B0,nb_0.700,1.0,full,0.0202164687932102,0.05070754716980519
B0_half -> B0+g,B0_half,B0+g,nb_0.700,1.0,full,0.0202164687932102,-0.6603773584905752
B0 -> B0+g,B0,B0+g,nb_0.700,1.0,full,0.0191913412482716,-0.7490683229813648
empty -> B0_half,empty,B0_half,nb_0.725,0.5,random,0.0110401685283677,-0.3085983510011623
empty -> B0,empty,B0,nb_0.725,0.5,random,0.0110401685283677,-0.29799764428739395
empty -> B0+g,empty,B0+g,nb_0.725,0.5,random,0.0110401685283677,0.2520612485276834
B0_half -> B0,B0_half,B0,nb_0.725,0.5,random,0.0144471463309969,0.008100810080998389
B0_half -> B0+g,B0_half,B0+g,nb_0.725,0.5,random,0.0144471463309969,0.4284428442844245
B0 -> B0+g,B0,B0+g,nb_0.725,0.5,random,0.0143301127423571,0.4237749546279508
empty -> B0_half,empty,B0_half,nb_0.725,0.5,rare-first,0.0037125655063003,-1.1068301225919215
empty -> B0,empty,B0,nb_0.725,0.5,rare-first,0.0037125655063003,-1.1330998248686606
empty -> B0+g,empty,B0+g,nb_0.725,0.5,rare-first,0.0037125655063003,-6.609457092819625
B0_half -> B0,B0_half,B0,nb_0.725,0.5,rare-first,0.0078217448407692,-0.012468827930189663
B0_half -> B0+g,B0_half,B0+g,nb_0.725,0.5,rare-first,0.0078217448407692,-2.6118038237739425
B0 -> B0+g,B0,B0+g,nb_0.725,0.5,rare-first,0.0079192728313026,-2.5673234811165746
empty -> B0_half,empty,B0_half,nb_0.725,0.75,rare-first,0.0186928648522127,-0.24313043478259688
empty -> B0,empty,B0,nb_0.725,0.75,rare-first,0.0186928648522127,-0.23930434782607923
empty -> B0+g,empty,B0+g,nb_0.725,0.75,rare-first,0.0186928648522127,-0.7558260869565043
B0_half -> B0,B0_half,B0,nb_0.725,0.75,rare-first,0.0232376692110635,0.003077783995519945
B0_half -> B0+g,B0_half,B0+g,nb_0.725,0.75,rare-first,0.0232376692110635,-0.41242305540011115
B0 -> B0+g,B0,B0+g,nb_0.725,0.75,rare-first,0.0231661486846725,-0.4167836093179851
empty -> B0_half,empty,B0_half,nb_0.725,1.0,full,0.0235757662449123,-0.17981246552674546
empty -> B0,empty,B0,nb_0.725,1.0,full,0.0235757662449123,-0.17981246552675367
empty -> B0+g,empty,B0+g,nb_0.725,1.0,full,0.0235757662449123,-0.5648097076668497
B0_half -> B0,B0_half,B0,nb_0.725,1.0,full,0.0278149829000922,-7.105427357601002e-15
B0_half -> B0+g,B0_half,B0+g,nb_0.725,1.0,full,0.0278149829000922,-0.3263207106124417
B0 -> B0+g,B0,B0+g,nb_0.725,1.0,full,0.0278149829000924,-0.3263207106124322
empty -> B0_half,empty,B0_half,nb_0.750,0.5,random,0.0152338721212987,-0.15023474178404017
empty -> B0,empty,B0,nb_0.750,0.5,random,0.0152338721212987,-0.14084507042254768
empty -> B0+g,empty,B0+g,nb_0.750,0.5,random,0.0152338721212987,0.0422535211267564
B0_half -> B0,B0_half,B0,nb_0.750,0.5,random,0.0175225289658131,0.008163265306113887
B0_half -> B0+g,B0_half,B0+g,nb_0.750,0.5,random,0.0175225289658131,0.16734693877550855
B0 -> B0+g,B0,B0+g,nb_0.750,0.5,random,0.0173794879130311,0.1604938271604993
empty -> B0_half,empty,B0_half,nb_0.750,0.5,rare-first,0.0095122300100127,-0.42105263157897
empty -> B0,empty,B0,nb_0.750,0.5,rare-first,0.0095122300100127,-0.42105263157897
empty -> B0+g,empty,B0+g,nb_0.750,0.5,rare-first,0.0095122300100127,-1.736842105263205
B0_half -> B0,B0_half,B0,nb_0.750,0.5,rare-first,0.013517379487913,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.750,0.5,rare-first,0.013517379487913,-0.9259259259259287
B0 -> B0+g,B0,B0+g,nb_0.750,0.5,rare-first,0.013517379487913,-0.9259259259259287
empty -> B0_half,empty,B0_half,nb_0.750,0.75,rare-first,0.0272493205549991,-0.16272965879265922
empty -> B0,empty,B0,nb_0.750,0.75,rare-first,0.0272493205549991,-0.16272965879265922
empty -> B0+g,empty,B0+g,nb_0.750,0.75,rare-first,0.0272493205549991,-0.26246719160105814
B0_half -> B0,B0_half,B0,nb_0.750,0.75,rare-first,0.0316835931912459,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.750,0.75,rare-first,0.0316835931912459,-0.08577878103837411
B0 -> B0+g,B0,B0+g,nb_0.750,0.75,rare-first,0.0316835931912459,-0.08577878103837411
empty -> B0_half,empty,B0_half,nb_0.750,1.0,full,0.0336146474038048,-0.11702127659574546
empty -> B0,empty,B0,nb_0.750,1.0,full,0.0336146474038048,-0.11063829787234192
empty -> B0+g,empty,B0+g,nb_0.750,1.0,full,0.0336146474038048,-0.10212765957447245
B0_half -> B0,B0_half,B0,nb_0.750,1.0,full,0.0375482763553139,0.005714285714285228
B0_half -> B0+g,B0_half,B0+g,nb_0.750,1.0,full,0.0375482763553139,0.0133333333333302
B0 -> B0+g,B0,B0+g,nb_0.750,1.0,full,0.0373337147761407,0.007662835249039435
empty -> B0_half,empty,B0_half,nb_0.775,0.5,random,0.0211462356362943,-0.10259301014656041
empty -> B0,empty,B0,nb_0.775,0.5,random,0.0211462356362943,-0.10108981585869192
empty -> B0+g,empty,B0+g,nb_0.775,0.5,random,0.0211462356362943,0.20330702743329943
B0_half -> B0,B0_half,B0,nb_0.775,0.5,random,0.0233156916034902,0.0013633265167068975
B0_half -> B0+g,B0_half,B0+g,nb_0.775,0.5,random,0.0233156916034902,0.27743694614860526
B0 -> B0+g,B0,B0+g,nb_0.775,0.5,random,0.0232839047028718,0.2764505119453907
empty -> B0_half,empty,B0_half,nb_0.775,0.5,rare-first,0.0166007088478837,-0.21589277166108456
empty -> B0,empty,B0,nb_0.775,0.5,rare-first,0.0166007088478837,-0.2182862613690777
empty -> B0+g,empty,B0+g,nb_0.775,0.5,rare-first,0.0166007088478837,-0.8396361895643945
B0_half -> B0,B0_half,B0,nb_0.775,0.5,rare-first,0.020184681892592,-0.0019685039370069823
B0_half -> B0+g,B0_half,B0+g,nb_0.775,0.5,rare-first,0.020184681892592,-0.5129921259842567
B0 -> B0+g,B0,B0+g,nb_0.775,0.5,rare-first,0.0202244155183648,-0.5100196463654283
empty -> B0_half,empty,B0_half,nb_0.775,0.75,rare-first,0.0377072108584052,-0.0625922023182286
empty -> B0,empty,B0,nb_0.775,0.75,rare-first,0.0377072108584052,-0.03140147523709169
empty -> B0+g,empty,B0+g,nb_0.775,0.75,rare-first,0.0377072108584052,-0.015806111696520464
B0_half -> B0,B0_half,B0,nb_0.775,0.75,rare-first,0.0400673882293106,0.02935343117810285
B0_half -> B0+g,B0_half,B0+g,nb_0.775,0.75,rare-first,0.0400673882293106,0.044030146767156886
B0 -> B0+g,B0,B0+g,nb_0.775,0.75,rare-first,0.0388912729064352,0.015120555782593081
empty -> B0_half,empty,B0_half,nb_0.775,1.0,full,0.0441361115084473,-0.08840475333093223
empty -> B0,empty,B0,nb_0.775,1.0,full,0.0441361115084473,-0.08840475333093223
empty -> B0+g,empty,B0+g,nb_0.775,1.0,full,0.0441361115084473,0.029708318329131567
B0_half -> B0,B0_half,B0,nb_0.775,1.0,full,0.0480379535593381,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.775,1.0,full,0.0480379535593381,0.10851943755169469
B0 -> B0+g,B0,B0+g,nb_0.775,1.0,full,0.0480379535593381,0.10851943755169469
empty -> B0_half,empty,B0_half,nb_0.800,0.5,random,0.0290373337147761,-0.054187192118225536
empty -> B0,empty,B0,nb_0.800,0.5,random,0.0290373337147761,-0.04926108374384297
empty -> B0+g,empty,B0+g,nb_0.800,0.5,random,0.0290373337147761,0.3300492610837428
B0_half -> B0,B0_half,B0,nb_0.800,0.5,random,0.0306107852953797,0.004672897196260184
B0_half -> B0+g,B0_half,B0+g,nb_0.800,0.5,random,0.0306107852953797,0.3644859813084095
B0 -> B0+g,B0,B0+g,nb_0.800,0.5,random,0.0304677442425976,0.3615023474178396
empty -> B0_half,empty,B0_half,nb_0.800,0.5,rare-first,0.0254613073952224,-0.12921348314606318
empty -> B0,empty,B0,nb_0.800,0.5,rare-first,0.0254613073952224,-0.11797752808988715
empty -> B0+g,empty,B0+g,nb_0.800,0.5,rare-first,0.0254613073952224,-0.4157303370786527
B0_half -> B0,B0_half,B0,nb_0.800,0.5,rare-first,0.0287512516092117,0.00995024875621553
B0_half -> B0+g,B0_half,B0+g,nb_0.800,0.5,rare-first,0.0287512516092117,-0.25373134328358793
B0 -> B0+g,B0,B0+g,nb_0.800,0.5,rare-first,0.0284651695036475,-0.2663316582914588
empty -> B0_half,empty,B0_half,nb_0.800,0.75,rare-first,0.0489915605778858,-0.0861313868613145
empty -> B0,empty,B0,nb_0.800,0.75,rare-first,0.0489915605778858,-0.06131386861313848
empty -> B0+g,empty,B0+g,nb_0.800,0.75,rare-first,0.0489915605778858,0.08905109489050844
B0_half -> B0,B0_half,B0,nb_0.800,0.75,rare-first,0.0532112716349592,0.022849462365592044
B0_half -> B0+g,B0_half,B0+g,nb_0.800,0.75,rare-first,0.0532112716349592,0.16129032258064324
B0 -> B0+g,B0,B0+g,nb_0.800,0.75,rare-first,0.0519954226863109,0.14167812929848445
empty -> B0_half,empty,B0_half,nb_0.800,1.0,full,0.0601487626948934,-0.060642092746728826
empty -> B0,empty,B0,nb_0.800,1.0,full,0.0601487626948934,-0.05707491082045246
empty -> B0+g,empty,B0+g,nb_0.800,1.0,full,0.0601487626948934,0.16765755053507803
B0_half -> B0,B0_half,B0,nb_0.800,1.0,full,0.0637963095408381,0.0033632286995496363
B0_half -> B0+g,B0_half,B0+g,nb_0.800,1.0,full,0.0637963095408381,0.21524663677130018
B0 -> B0+g,B0,B0+g,nb_0.800,1.0,full,0.063581747961665,0.21259842519685157
