pair,b_lo,b_hi,instrument,population,regime,V_lo,R
empty -> B0+g,empty,B0+g,nb_0.350,0.75,rare-first,0.0041206826359165,-0.6542056074766167
B0_half -> B0,B0_half,B0,nb_0.350,0.75,rare-first,0.0047148531628578,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.350,0.75,rare-first,0.0047148531628578,-0.44574095682610015
B0 -> B0+g,B0,B0+g,nb_0.350,0.75,rare-first,0.0047148531628578,-0.44574095682610015
empty -> B0_half,empty,B0_half,nb_0.350,1.0,full,0.0040656668463849,-0.1650879566982495
empty -> B0,empty,B0,nb_0.350,1.0,full,0.0040656668463849,-0.1650879566982495
empty -> B0+g,empty,B0+g,nb_0.350,1.0,full,0.0040656668463849,-0.7063599458727812
B0_half -> B0,B0_half,B0,nb_0.350,1.0,full,0.0047368594786704,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.350,1.0,full,0.0047368594786704,-0.4645760743321439
B0 -> B0+g,B0,B0+g,nb_0.350,1.0,full,0.0047368594786704,-0.4645760743321439
empty -> B0_half,empty,B0_half,nb_0.375,0.5,random,0.0024603061078528,0.029069767441831984
empty -> B0,empty,B0,nb_0.375,0.5,random,0.0024603061078528,0.16860465116278878
empty -> B0+g,empty,B0+g,nb_0.375,0.5,random,0.0024603061078528,-0.32558139534892616
B0_half -> B0,B0_half,B0,nb_0.375,0.5,random,0.0023887855814618,0.14371257485032252
B0_half -> B0+g,B0_half,B0+g,nb_0.375,0.5,random,0.0023887855814618,-0.36526946107789593
B0 -> B0+g,B0,B0+g,nb_0.375,0.5,random,0.0020454870547846,-0.5944055944056976
empty -> B0_half,empty,B0_half,nb_0.375,0.5,rare-first,0.0047060506365327,-0.030395136778126552
empty -> B0,empty,B0,nb_0.375,0.5,rare-first,0.0047060506365327,-0.030395136778126552
empty -> B0+g,empty,B0+g,nb_0.375,0.5,rare-first,0.0047060506365327,-0.27659574468083936
B0_half -> B0,B0_half,B0,nb_0.375,0.5,rare-first,0.0048490916893149,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.375,0.5,rare-first,0.0048490916893149,-0.23893805309732064
B0 -> B0+g,B0,B0+g,nb_0.375,0.5,rare-first,0.0048490916893149,-0.23893805309732064
empty -> B0_half,empty,B0_half,nb_0.375,0.75,rare-first,0.0051065655843226,-0.11204481792717425
empty -> B0,empty,B0,nb_0.375,0.75,rare-first,0.0051065655843226,-0.11204481792717425
empty -> B0+g,empty,B0+g,nb_0.375,0.75,rare-first,0.0051065655843226,-0.4929971988795785
B0_half -> B0,B0_half,B0,nb_0.375,0.75,rare-first,0.0056787297954512,0.0
