world,estimand,interval,coverage,n,mean_width,bias,rmse,truth,mean_estimate,median_shift
drift,V_limit,naive_bc,0.9,200,0.03225557752623378,8.59690311782596e-05,0.0086870423556708,-0.00021524393434046996,-0.00012927490316221035,0.00010340641640211951
drift,V_limit,nested_pct,0.975,200,0.03681273047312762,8.59690311782596e-05,0.0086870423556708,-0.00021524393434046996,-0.00012927490316221035,-0.0019080880742407148
drift,V_limit,nested_basic,0.91,200,0.03681273047312762,8.59690311782596e-05,0.0086870423556708,-0.00021524393434046996,-0.00012927490316221035,-0.0019080880742407148
drift,V_limit,nested_bc,0.915,200,0.03544549320683708,8.59690311782596e-05,0.0086870423556708,-0.00021524393434046996,-0.00012927490316221035,-0.0019080880742407148
imbalanced,V_oracle,naive,0.91,200,0.10302218487555109,-0.007379376326557719,0.029965845028264236,0.11547982039012572,0.10810044406356799,-6.214642819763888e-05
imbalanced,V_oracle,nested,0.94,200,0.1150592412899915,-0.007379376326557719,0.029965845028264236,0.11547982039012572,0.10810044406356799,-0.006629878664986309
imbalanced,V_oracle,naive_pct,0.91,200,0.10302218487555109,-0.007379376326557719,0.029965845028264236,0.11547982039012572,0.10810044406356799,-6.214642819763888e-05
imbalanced,V_oracle,naive_basic,0.91,200,0.1030221848755511,-0.007379376326557719,0.029965845028264236,0.11547982039012572,0.10810044406356799,-6.214642819763888e-05
imbalanced,V_oracle,naive_bc,0.875,200,0.10290168739513521,-0.007379376326557719,0.029965845028264236,0.11547982039012572,0.10810044406356799,-6.214642819763888e-05
imbalanced,V_oracle,nested_pct,0.94,200,0.1150592412899915,-0.007379376326557719,0.029965845028264236,0.11547982039012572,0.10810044406356799,-0.006629878664986309
imbalanced,V_oracle,nested_basic,0.935,200,0.1150592412899915,-0.007379376326557719,0.029965845028264236,0.11547982039012572,0.10810044406356799,-0.006629878664986309
imbalanced,V_oracle,nested_bc,0.95,200,0.11272650865768374,-0.007379376326557719,0.029965845028264236,0.11547982039012572,0.10810044406356799,-0.006629878664986309
imbalanced,V_limit,naive,0.91,200,0.10302218487555109,-0.007190661450932835,0.029919931239742504,0.11529110551450084,0.10810044406356799,-6.214642819763888e-05
imbalanced,V_limit,nested,0.94,200,0.1150592412899915,-0.007190661450932835,0.029919931239742504,0.11529110551450084,0.10810044406356799,-0.006629878664986309
imbalanced,V_limit,naive_pct,0.91,200,0.10302218487555109,-0.007190661450932835,0.029919931239742504,0.11529110551450084,0.10810044406356799,-6.214642819763888e-05
imbalanced,V_limit,naive_basic,0.91,200,0.1030221848755511,-0.007190661450932835,0.029919931239742504,0.11529110551450084,0.10810044406356799,-6.214642819763888e-05
imbalanced,V_limit,naive_bc,0.88,200,0.10290168739513521,-0.007190661450932835,0.029919931239742504,0.11529110551450084,0.10810044406356799,-6.214642819763888e-05
imbalanced,V_limit,nested_pct,0.94,200,0.1150592412899915,-0.007190661450932835,0.029919931239742504,0.11529110551450084,0.10810044406356799,-0.006629878664986309
imbalanced,V_limit,nested_basic,0.935,200,0.1150592412899915,-0.007190661450932835,0.029919931239742504,0.11529110551450084,0.10810044406356799,-0.006629878664986309
imbalanced,V_limit,nested_bc,0.95,200,0.11272650865768374,-0.007190661450932835,0.029919931239742504,0.11529110551450084,0.10810044406356799,-0.006629878664986309
linear,V_oracle,naive,0.9,200,0.0563469504554653,-0.0016709728728339162,0.016056433484005473,0.1919673433573298,0.19029637048449588,-5.2352547765905364e-05
