log,target,learner,rung,slope_min,slope_max,n_arms,n_ok,admitted,reason
BPIC17,duration,hgb,B_half,1.0533431986953716,1.1642151565408962,2,2,True,
BPIC17,duration,hgb,B_intake,0.9498814321943015,1.0892352529941631,2,2,True,
BPIC17,duration,hgb,B_intake_g,0.9522652480772638,1.051914659406131,2,2,True,
BPIC17,duration,logit,B_half,0.960271604896098,1.1642151565408962,2,2,True,
BPIC17,duration,logit,B_intake,0.9169750170716932,0.961148668114272,2,2,True,
BPIC17,duration,logit,B_intake_g,1.0106912256925795,1.071131793692497,2,2,True,
BPIC19,duration,hgb,B_half,0.3352051005291279,0.7500957806495634,2,1,False,recalibrated slope below 0.5
BPIC19,duration,hgb,B_intake,0.3342566792404117,0.3986132669234212,2,0,False,recalibrated slope below 0.5
BPIC19,duration,hgb,B_intake_g,0.3384789191492323,0.4012893297473561,2,0,False,recalibrated slope below 0.5
BPIC19,duration,logit,B_half,0.3419120100211786,0.7790555881106278,2,1,False,recalibrated slope below 0.5
BPIC19,duration,logit,B_intake,0.3542085642739015,0.4116438044340889,2,0,False,recalibrated slope below 0.5
BPIC19,duration,logit,B_intake_g,0.3521147709637769,0.3892820342867091,2,0,False,recalibrated slope below 0.5
Helpdesk,duration,hgb,B_half,0.526393815826711,0.6206551158340603,2,2,True,
Helpdesk,duration,hgb,B_intake,0.6232836989552817,0.7551588550196492,2,2,True,
Helpdesk,duration,hgb,B_intake_g,0.7122659445443862,0.7430565500219598,2,2,True,
Helpdesk,duration,logit,B_half,0.5580605353149858,0.6002648363696221,2,2,True,
Helpdesk,duration,logit,B_intake,0.5724718654424942,0.616283394975317,2,2,True,
Helpdesk,duration,logit,B_intake_g,0.7254325731272843,0.7282551939116352,2,2,True,
RoadFines,duration,hgb,B_half,0.305612555271008,1.175413778746843,2,1,False,recalibrated slope below 0.5
RoadFines,duration,hgb,B_intake,1.6129751308919764,2.085329681899696,2,1,False,recalibrated slope above 2.0
RoadFines,duration,hgb,B_intake_g,1.824408253308173,1.9497428319368708,2,2,True,
RoadFines,duration,logit,B_half,0.279650797342329,1.087017162980141,2,1,False,recalibrated slope below 0.5
RoadFines,duration,logit,B_intake,1.579359924858288,1.7047077911221633,2,2,True,
RoadFines,duration,logit,B_intake_g,0.2714774533380165,0.6657691093616666,2,1,False,recalibrated slope below 0.5
Sepsis,duration,hgb,B_half,0.5437875036155024,1.2558353516091971,2,2,True,
Sepsis,duration,hgb,B_intake,0.5612919393717871,0.8690551448696456,2,2,True,
Sepsis,duration,hgb,B_intake_g,0.6317691625499843,0.9174321574603872,2,2,True,
Sepsis,duration,logit,B_half,0.5384376531446673,0.9230727284651462,2,2,True,
Sepsis,duration,logit,B_intake,0.2454940748228017,0.5468923721946142,2,1,False,recalibrated slope below 0.5
Sepsis,duration,logit,B_intake_g,0.2462431047777224,0.494135029765979,2,0,False,recalibrated slope below 0.5
UCI498,duration,hgb,B_half,0.562157450077622,1.647794177121509,2,2,True,
UCI498,duration,hgb,B_intake,1.451560277375524,1.5028178776795305,2,2,True,
UCI498,duration,hgb,B_intake_g,1.443630400665122,1.4527875697128183,2,2,True,
UCI498,duration,logit,B_half,0.5731953110252234,0.9615537849452424,2,2,True,
UCI498,duration,logit,B_intake,1.0748151660991971,1.3134046197638662,2,2,True,
UCI498,duration,logit,B_intake_g,1.222529651746071,1.3528972355599649,2,2,True,
UCI498,handover,hgb,B_half,-1.7380351357945183,1.410062926796492,2,1,False,recalibrated slope below 0.5
UCI498,handover,hgb,B_intake,1.2014596832423456,1.2036705826256808,2,2,True,
UCI498,handover,hgb,B_intake_g,1.4227192847487726,1.4378694616346064,2,2,True,
UCI498,handover,logit,B_half,0.0256380828663936,0.7092749016255706,2,1,False,recalibrated slope below 0.5
UCI498,handover,logit,B_intake,1.084110852255886,1.1121664182028137,2,2,True,
UCI498,handover,logit,B_intake_g,1.52731319290608,1.554646144913069,2,2,True,
