log,target,metric,scale,axis,S,S_total,levels,var_total,n_cells
BPIC13_closed,handover,nb_0.525,raw,learner,0.006890853098694477,0.2875895441926877,2,0.0021479416773136474,216
BPIC13_closed,handover,nb_0.525,raw,split,0.28406412625536037,0.8246075233160134,6,0.0021479416773136474,216
BPIC13_closed,handover,nb_0.525,raw,quality_level,0.018709496216264946,0.26585520477633595,6,0.0021479416773136474,216
BPIC13_closed,handover,nb_0.525,raw,rung,0.049229760512035994,0.5853443474879099,3,0.0021479416773136474,216
BPIC13_closed,handover,nb_0.550,raw,learner,0.004294204422308317,0.3295015427727024,2,0.0022970923113093756,216
BPIC13_closed,handover,nb_0.550,raw,split,0.2670104898648304,0.8400791292183214,6,0.0022970923113093756,216
BPIC13_closed,handover,nb_0.550,raw,quality_level,0.018849142970315706,0.2714259229635565,6,0.0022970923113093756,216
BPIC13_closed,handover,nb_0.550,raw,rung,0.038239221522894384,0.5905058287021148,3,0.0022970923113093756,216
BPIC13_closed,handover,nb_0.575,raw,learner,0.029098429316327185,0.3480959270477083,2,0.0026561361390531513,216
BPIC13_closed,handover,nb_0.575,raw,split,0.26892601830700924,0.7635725717321391,6,0.0026561361390531513,216
BPIC13_closed,handover,nb_0.575,raw,quality_level,0.027157049809551425,0.29231066934483785,6,0.0026561361390531513,216
BPIC13_closed,handover,nb_0.575,raw,rung,0.07285890674001522,0.5486294283784584,3,0.0026561361390531513,216
BPIC13_closed,handover,nb_0.600,raw,learner,0.03958468282103444,0.38865047435631983,2,0.002864302986317625,216
BPIC13_closed,handover,nb_0.600,raw,split,0.21960876458791598,0.753517183204303,6,0.002864302986317625,216
BPIC13_closed,handover,nb_0.600,raw,quality_level,0.02352068987422624,0.3201921150465187,6,0.002864302986317625,216
BPIC13_closed,handover,nb_0.600,raw,rung,0.08640897758218534,0.5514414828533465,3,0.002864302986317625,216
BPIC13_closed,handover,nb_0.625,raw,learner,0.11224925309742688,0.4098464161225487,2,0.003101422831737682,216
BPIC13_closed,handover,nb_0.625,raw,split,0.10220903670181147,0.44892604560991867,6,0.003101422831737682,216
BPIC13_closed,handover,nb_0.625,raw,quality_level,0.02682677705440763,0.3322789635092198,6,0.003101422831737682,216
BPIC13_closed,handover,nb_0.625,raw,rung,0.2604075973888901,0.6096187058933136,3,0.003101422831737682,216
BPIC13_closed,handover,nb_0.650,raw,learner,0.11136785707913394,0.4539861912309249,2,0.0042948679408208144,216
BPIC13_closed,handover,nb_0.650,raw,split,0.12455056407058224,0.47576777622234245,6,0.0042948679408208144,216
BPIC13_closed,handover,nb_0.650,raw,quality_level,0.023990772534421483,0.33341124380133724,6,0.0042948679408208144,216
BPIC13_closed,handover,nb_0.650,raw,rung,0.2161866458756567,0.5785519545894453,3,0.0042948679408208144,216
BPIC13_closed,handover,nb_0.675,raw,learner,0.14693857765463636,0.469034533796164,2,0.0055992671018107384,216
BPIC13_closed,handover,nb_0.675,raw,split,0.14247141073999287,0.451171923269865,6,0.0055992671018107384,216
BPIC13_closed,handover,nb_0.675,raw,quality_level,0.0230039103053236,0.3058023928663274,6,0.0055992671018107384,216
BPIC13_closed,handover,nb_0.675,raw,rung,0.19328288304985966,0.5425697061594799,3,0.0055992671018107384,216
BPIC13_closed,handover,nb_0.700,raw,learner,0.19986285553244282,0.5578211619875533,2,0.007235368384390573,216
BPIC13_closed,handover,nb_0.700,raw,split,0.07748247381275702,0.3264341193617475,6,0.007235368384390573,216
BPIC13_closed,handover,nb_0.700,raw,quality_level,0.028599318673032663,0.28747880774277035,6,0.007235368384390573,216
BPIC13_closed,handover,nb_0.700,raw,rung,0.1933384273366156,0.5619108010351985,3,0.007235368384390573,216
BPIC13_closed,handover,nb_0.725,raw,learner,0.1873062386721476,0.5608113147016522,2,0.009150069474010224,216
BPIC13_closed,handover,nb_0.725,raw,split,0.08295461742212558,0.3383917896335443,6,0.009150069474010224,216
BPIC13_closed,handover,nb_0.725,raw,quality_level,0.034513499967617975,0.2909187481560085,6,0.009150069474010224,216
BPIC13_closed,handover,nb_0.725,raw,rung,0.17678532571526973,0.5573665383732405,3,0.009150069474010224,216
BPIC13_closed,handover,nb_0.750,raw,learner,0.17976864580905777,0.6056861507007495,2,0.009843082592709647,216
BPIC13_closed,handover,nb_0.750,raw,split,0.07300508805718617,0.39314534358933906,6,0.009843082592709647,216
BPIC13_closed,handover,nb_0.750,raw,quality_level,0.04382118129824434,0.330898105190943,6,0.009843082592709647,216
BPIC13_closed,handover,nb_0.750,raw,rung,0.1120498428332901,0.5465749635793846,3,0.009843082592709647,216
BPIC13_closed,handover,nb_0.775,raw,learner,0.16733709784327228,0.5850731167245875,2,0.009693938304398856,216
BPIC13_closed,handover,nb_0.775,raw,split,0.08258771338860811,0.4472129058486427,6,0.009693938304398856,216
BPIC13_closed,handover,nb_0.775,raw,quality_level,0.04090438944820084,0.36052242333643225,6,0.009693938304398856,216
BPIC13_closed,handover,nb_0.775,raw,rung,0.0958362553330451,0.5272406208162457,3,0.009693938304398856,216
BPIC13_closed,handover,nb_0.800,raw,learner,0.1751703730489383,0.6050574922967908,2,0.010382014187221296,216
BPIC13_closed,handover,nb_0.800,raw,split,0.10778795904441701,0.564422328648184,6,0.010382014187221296,216
BPIC13_closed,handover,nb_0.800,raw,quality_level,0.042073703586063535,0.3532175590838257,6,0.010382014187221296,216
BPIC13_closed,handover,nb_0.800,raw,rung,0.04870412785183934,0.44260886164901025,3,0.010382014187221296,216
BPIC13_incidents,duration,ap,raw,learner,0.00327480551251673,0.12030080820148248,2,0.001004829483880758,216
BPIC13_incidents,duration,ap,raw,split,0.38438795080438937,0.7370685761112805,6,0.001004829483880758,216
BPIC13_incidents,duration,ap,raw,quality_level,0.109340374478857,0.27914932277030713,6,0.001004829483880758,216
BPIC13_incidents,duration,ap,raw,rung,0.10811256410090818,0.37376311481027136,3,0.001004829483880758,216
BPIC13_incidents,duration,auc,raw,learner,0.025722003990620086,0.05869990738933151,2,0.0014235994652745329,216
BPIC13_incidents,duration,auc,raw,split,0.39516598000431946,0.6843301366343157,6,0.0014235994652745329,216
BPIC13_incidents,duration,auc,raw,quality_level,0.1291679639166027,0.24111268137120678,6,0.0014235994652745329,216
BPIC13_incidents,duration,auc,raw,rung,0.12799743211691958,0.38869596282455754,3,0.0014235994652745329,216
BPIC13_incidents,duration,brier_skill,raw,learner,0.11142413389672724,0.3327880383231345,2,0.002696665360723583,216
BPIC13_incidents,duration,brier_skill,raw,split,0.2794065553436269,0.7961562613409431,6,0.002696665360723583,216
BPIC13_incidents,duration,brier_skill,raw,quality_level,0.016055338732595827,0.21763505257077065,6,0.002696665360723583,216
BPIC13_incidents,duration,brier_skill,raw,rung,0.021712123524429576,0.4645137370535698,3,0.002696665360723583,216
BPIC13_incidents,duration,logloss_skill,raw,learner,0.07849870483621454,0.29969000221302877,2,0.011719631285477303,216
BPIC13_incidents,duration,logloss_skill,raw,split,0.46829988485828705,0.8402962542603466,6,0.011719631285477303,216
BPIC13_incidents,duration,logloss_skill,raw,quality_level,0.015085215052014735,0.14167183937370986,6,0.011719631285477303,216
BPIC13_incidents,duration,logloss_skill,raw,rung,0.028634638802949194,0.24511753737924025,3,0.011719631285477303,216
BPIC13_incidents,duration,nagelkerke,raw,learner,0.03580465456427246,0.47413635622042605,2,3.091380202467547,216
BPIC13_incidents,duration,nagelkerke,raw,split,0.22761685518678632,0.8672956668044978,6,3.091380202467547,216
BPIC13_incidents,duration,nagelkerke,raw,quality_level,0.02914159810508813,0.5258979818592512,6,3.091380202467547,216
