log,target,perm,n_cells,n_cases,capped,median,share_positive,share_dominant
BPIC14,duration,70,24,20000,True,-0.0002706869887452168,0.4583333333333333,0.5416666666666667
BPIC14,duration,71,24,20000,True,-0.002227002659223931,0.375,0.625
BPIC14,duration,72,24,20000,True,4.7181485181457816e-05,0.5,0.5
BPIC14,duration,74,24,20000,True,-0.0016146741587547142,0.4166666666666667,0.5833333333333333
BPIC14,duration,75,24,20000,True,-0.00011425955909538654,0.4166666666666667,0.5833333333333333
BPIC14,duration,76,24,20000,True,-0.00045271856439171865,0.3333333333333333,0.6666666666666667
BPIC14,duration,73,24,20000,True,0.0010530107416162893,0.625,0.625
BPIC14,duration,77,24,20000,True,-0.0017832340034641403,0.3333333333333333,0.6666666666666667
BPIC14,duration,78,24,20000,True,0.001707473646180957,0.5833333333333334,0.5833333333333334
BPIC14,duration,80,24,20000,True,-0.0006020665755988586,0.4583333333333333,0.5416666666666667
BPIC14,duration,81,24,20000,True,-0.0022170645903329955,0.16666666666666666,0.8333333333333334
BPIC14,duration,82,24,20000,True,-0.0018603512370441444,0.375,0.625
BPIC14,duration,79,24,20000,True,-0.004046382406757143,0.20833333333333334,0.7916666666666666
BPIC14,duration,83,24,20000,True,-0.0029843801145048587,0.3333333333333333,0.6666666666666667
BPIC14,duration,84,24,20000,True,-0.001095615143109463,0.4166666666666667,0.5833333333333333
BPIC14,duration,85,24,20000,True,0.000728923473368559,0.5833333333333334,0.5833333333333334
BPIC14,duration,86,24,20000,True,0.0017738146439532643,0.6666666666666666,0.6666666666666666
BPIC14,duration,87,24,20000,True,-0.0007098378637940272,0.4583333333333333,0.5416666666666667
BPIC14,duration,88,24,20000,True,8.78050973032174e-05,0.5416666666666666,0.5416666666666666
BPIC14,duration,89,24,20000,True,-0.00017730937440235683,0.4583333333333333,0.5416666666666667
BPIC14,duration,91,24,20000,True,-0.0010547340273492911,0.4583333333333333,0.5416666666666667
BPIC14,duration,90,24,20000,True,-0.002503433433402924,0.25,0.75
BPIC14,duration,92,24,20000,True,-0.0028411320358991965,0.2916666666666667,0.7083333333333333
BPIC14,duration,93,24,20000,True,0.00045692183267209696,0.5833333333333334,0.5833333333333334
BPIC14,duration,94,24,20000,True,-0.0038861037474870463,0.25,0.75
BPIC14,handover,-1,24,20000,True,0.03461394797684142,0.75,0.75
BPIC14,duration,96,24,20000,True,-0.0018033615034756534,0.3333333333333333,0.6666666666666667
BPIC14,duration,95,24,20000,True,-0.0029470609234114598,0.125,0.875
BPIC14,handover,1,24,20000,True,-0.001553834727112735,0.2916666666666667,0.7083333333333333
BPIC14,handover,0,24,20000,True,-0.0025227120575245787,0.25,0.75
BPIC14,duration,97,24,20000,True,-0.0028046565049674177,0.4583333333333333,0.5416666666666667
BPIC14,handover,2,24,20000,True,-0.001234457526408439,0.4166666666666667,0.5833333333333333
BPIC14,handover,3,24,20000,True,0.0032514029489436047,0.6666666666666666,0.6666666666666666
BPIC14,duration,99,24,20000,True,-0.004301715261610439,0.2916666666666667,0.7083333333333333
BPIC14,duration,98,24,20000,True,-0.0004449903084826623,0.4166666666666667,0.5833333333333333
BPIC14,handover,5,24,20000,True,-0.002095180440975397,0.2916666666666667,0.7083333333333333
BPIC14,handover,4,24,20000,True,0.0015300613312552724,0.5833333333333334,0.5833333333333334
BPIC14,handover,7,24,20000,True,-4.883745392636474e-05,0.5,0.5
BPIC14,handover,8,24,20000,True,0.0005305072623238982,0.5416666666666666,0.5416666666666666
BPIC14,handover,6,24,20000,True,0.0036581205985916077,0.6666666666666666,0.6666666666666666
BPIC14,handover,9,24,20000,True,0.0029100187059859506,0.625,0.625
BPIC14,handover,10,24,20000,True,-0.0026711639555171973,0.25,0.75
BPIC14,handover,11,24,20000,True,0.0005264784868332373,0.5416666666666666,0.5416666666666666
BPIC14,handover,13,24,20000,True,-0.0002928312059859439,0.5,0.5
BPIC14,handover,14,24,20000,True,0.0005285816461267911,0.5416666666666666,0.5416666666666666
BPIC14,handover,12,24,20000,True,-0.004299488336267643,0.25,0.75
BPIC14,handover,15,24,20000,True,0.00014486003071656484,0.5416666666666666,0.5416666666666666
BPIC14,handover,16,24,20000,True,0.0034916392819699937,0.6666666666666666,0.6666666666666666
BPIC14,handover,17,24,20000,True,-0.004022002291838467,0.25,0.75
BPIC14,handover,18,24,20000,True,-0.0011225385218834871,0.4166666666666667,0.5833333333333333
BPIC14,handover,19,24,20000,True,-0.005404965153168517,0.08333333333333333,0.9166666666666666
BPIC14,handover,20,24,20000,True,-0.0010599337527987807,0.5,0.5
BPIC14,handover,23,24,20000,True,0.000792574436195792,0.5416666666666666,0.5416666666666666
BPIC14,handover,22,24,20000,True,0.0017941241197182989,0.7083333333333334,0.7083333333333334
BPIC14,handover,24,24,20000,True,0.001998587206418545,0.625,0.625
BPIC14,handover,25,24,20000,True,-0.004619828345070465,0.375,0.625
BPIC14,handover,21,24,20000,True,0.009295610437818402,0.75,0.75
BPIC14,handover,26,24,20000,True,-0.0006101963144896638,0.4583333333333333,0.5416666666666667
BPIC14,handover,29,24,20000,True,-0.0016610101088163076,0.4166666666666667,0.5833333333333333
BPIC14,handover,28,24,20000,True,0.0008721665933097977,0.5833333333333334,0.5833333333333334
BPIC14,handover,27,24,20000,True,0.0008299118604708222,0.5,0.5
BPIC14,handover,30,24,20000,True,-0.002666290713028152,0.2916666666666667,0.7083333333333333
BPIC14,handover,31,24,20000,True,3.427177134113224e-05,0.5,0.5
BPIC14,handover,32,24,20000,True,-0.0012506833176556542,0.4166666666666667,0.5833333333333333
BPIC14,handover,33,24,20000,True,-0.002514442121478888,0.16666666666666666,0.8333333333333334
BPIC14,handover,35,24,20000,True,0.00122630310133931,0.5,0.5
BPIC14,handover,34,24,20000,True,0.00047120092909230804,0.5416666666666666,0.5416666666666666
BPIC14,handover,38,24,20000,True,0.0008011938820421949,0.5416666666666666,0.5416666666666666
BPIC14,handover,36,24,20000,True,-0.0001582914835597249,0.5,0.5
BPIC14,handover,37,24,20000,True,-0.0025825267648366124,0.3333333333333333,0.6666666666666667
BPIC14,handover,40,24,20000,True,-0.003437775088028172,0.3333333333333333,0.6666666666666667
BPIC14,handover,41,24,20000,True,0.0007620743602897995,0.5833333333333334,0.5833333333333334
BPIC14,handover,39,24,20000,True,0.0018766800872392908,0.6666666666666666,0.6666666666666666
BPIC14,handover,42,24,20000,True,-0.0011976167783689373,0.4166666666666667,0.5833333333333333
BPIC14,handover,43,24,20000,True,0.008360059302958023,0.75,0.75
BPIC14,handover,46,24,20000,True,-0.0021866747359155503,0.3333333333333333,0.6666666666666667
