log,domain,target,population,regime,populated,baseline,instrument,without_f,with_f,V,n,n_test,card_f,card_g,n_b0,f,g
BPIC14,itsm,handover,1.0,full,1.0,B0,ap,0.9619036277076416,0.9921092920749628,0.030205664367321194,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,brier_skill,0.015421468344613998,0.284232990555189,0.268811522210575,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nagelkerke,0.05080610154344653,0.41282821454016927,0.3620221129967227,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.050,0.9423318702994075,0.9423318702994075,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.075,0.9407732721993914,0.9407732721993914,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.100,0.9391280853160412,0.9391280853160412,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.125,0.9373888877536425,0.9372662811369721,-0.0001226066166704065,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.150,0.9355473844522789,0.9354295859382231,-0.00011779851405580022,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.175,0.9335942748902268,0.9334252263733025,-0.00016904851692434164,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.200,0.9315190959805464,0.9331283078243456,0.001609211843799252,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.225,0.929310034560564,0.9312110962943139,0.0019010617337498203,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.250,0.9269537023792495,0.929385400276546,0.002431697897296581,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.275,0.9244348645302581,0.9270416644059604,0.002606799875702226,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.300,0.9217361096920531,0.9248114923268693,0.003075382634816215,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.325,0.9186228855088818,0.9220850087678868,0.0034621232590049678,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.350,0.9155012488584223,0.9202381083370927,0.004736859478670419,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.375,0.9121298812759262,0.9178658274924903,0.005735946216564147,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.400,0.9084775663948887,0.9149144137700854,0.006436847375196675,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.425,0.9045076589155001,0.9121852319441767,0.007677573028676554,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.450,0.900176850756167,0.9092339501436911,0.009057099387524081,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.475,0.8954335846768976,0.9062536185980614,0.010820033921163819,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.500,0.890215991989701,0.902732084108139,0.01251609211843796,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.525,0.8844491790196418,0.8989414962094121,0.014492317189770287,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.550,0.8780416090529093,0.8932913746245172,0.015249765571607954,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.575,0.8708802073253847,0.8880872045571196,0.01720699723173491,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.600,0.8628236303819196,0.8648977256472608,0.0020740952653411915,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.625,0.8536928431793258,0.8592952844132933,0.00560244123396747,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.650,0.8434517849479943,0.847416065553671,0.003964280605676662,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.675,0.8346665492996489,0.8456917135217807,0.011025164222131845,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.700,0.8190530682305822,0.8382444094788538,0.0191913412482716,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.725,0.804157293143132,0.8319722760432244,0.027814982900092433,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.750,0.7860821055642969,0.8234158203404377,0.03733371477614078,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.775,0.7639902096346096,0.8120281631939478,0.048037953559338153,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,nb_0.800,0.7363753397225004,0.7999570876841654,0.06358174796166505,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,auc,0.732497973024232,0.8997695055917664,0.16727153256753435,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,ap,0.973294516368866,0.9919963379852348,0.018701821616368797,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,brier_skill,0.04975913228633977,0.29715430682038924,0.24739517453404947,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nagelkerke,0.15750539683939907,0.4239992693942419,0.2664938725548428,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.050,0.9423318702994075,0.9423318702994075,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.075,0.9407732721993914,0.9407732721993914,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.100,0.9391280853160412,0.9391439787663504,1.589345030916789e-05,46606,13982,3019,57,4,CI Name (aff),assignment group
