family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling,ratio_emp_over_mult
whole-surface,heavy,180,150,q_mult,2000,0.9085,180.0,0.006447005118657811,0.9959749999999999,0.9378805555555555,7.128475658989534,3.573257174746666,4.18229507392262,1.1734156253447292,0.7245,0.7245,0.0,0.38092354623496816,5.308514509367571,0.0,1.1374975711485138
whole-surface,heavy,180,150,q_mult_hi,2000,0.9115,180.0,0.006350895606133045,0.9960194444444443,0.9378805555555555,7.164242360049384,3.5909888573105837,4.18229507392262,1.1675759480641141,0.7165,0.7165,0.0,0.38092354623496816,5.308514509367571,0.0,1.1374975711485138
whole-surface,heavy,180,150,q_emp,2000,0.9375,180.0,0.005412658773652742,0.9974444444444444,0.9378805555555555,8.613669646571967,4.061498197043004,4.18229507392262,1.060648277236133,0.46,0.46,0.0,0.38092354623496816,5.308514509367571,0.0,1.1374975711485138
whole-surface,heavy,180,150,q_emp_hi,2000,0.9705,180.0,0.0037835003634200943,0.9995722222222221,0.9378805555555555,12.379475942854885,6.2165425888750105,4.18229507392262,0.7467525864701534,0.077,0.077,0.0,0.38092354623496816,5.308514509367571,0.0,1.1374975711485138
whole-surface,heavy,180,150,q_rad,2000,0.893,180.0,0.0069119823495145,0.9956944444444444,0.9378805555555555,6.9840982573935015,3.5007843718521974,4.18229507392262,1.1983846132601732,0.775,0.775,0.0,0.38092354623496816,5.308514509367571,0.0,1.1374975711485138
whole-surface,heavy,180,400,q_mult,2000,0.915,180.0,0.006235984284778145,0.9957777777777778,0.944886111111111,7.162366322754975,3.587649646260743,4.57578002280484,1.2734859999892338,0.76,0.76,0.0,0.5618316265601171,5.762434396287764,0.0,1.1779303720119683
whole-surface,heavy,180,400,q_mult_hi,2000,0.919,180.0,0.006100778638829636,0.9958805555555554,0.944886111111111,7.197979843483384,3.605705726854252,4.57578002280484,1.2676826207485905,0.7415,0.7415,0.0,0.5618316265601171,5.762434396287764,0.0,1.1779303720119683
whole-surface,heavy,180,400,q_emp,2000,0.947,180.0,0.005009540897128201,0.9975638888888889,0.944886111111111,8.887763934483178,4.2228409730167815,4.57578002280484,1.0403516882626822,0.4385,0.4385,0.0,0.5618316265601171,5.762434396287764,0.0,1.1779303720119683
whole-surface,heavy,180,400,q_emp_hi,2000,0.967,180.0,0.003994433626936366,0.9994222222222222,0.944886111111111,11.95095257642227,6.0305858891198785,4.57578002280484,0.818256369402543,0.104,0.104,0.0,0.5618316265601171,5.762434396287764,0.0,1.1779303720119683
whole-surface,heavy,180,400,q_rad,2000,0.9135,180.0,0.006285608562422576,0.9956805555555555,0.944886111111111,7.101562145900995,3.557164631342764,4.57578002280484,1.284286445577595,0.7775,0.7775,0.0,0.5618316265601171,5.762434396287764,0.0,1.1779303720119683
whole-surface,heavy,180,1000,q_mult,2000,0.9115,180.0,0.006350895606133045,0.9955694444444445,0.9460138888888888,7.181284182858572,3.593539795976447,5.387334348730045,1.5006775441405331,0.7975,0.7975,0.0,0.8361978001775459,5.69452393055859,0.0,1.2125402274710195
whole-surface,heavy,180,1000,q_mult_hi,2000,0.9145,180.0,0.006252589463574273,0.995636111111111,0.9460138888888888,7.216660579240627,3.6113503870930725,5.387334348730045,1.4938180690696514,0.7855,0.7855,0.0,0.8361978001775459,5.69452393055859,0.0,1.2125402274710195
whole-surface,heavy,180,1000,q_emp,2000,0.944,180.0,0.005141206084179083,0.9975416666666667,0.9460138888888888,9.014908046517803,4.363373263732454,5.387334348730045,1.1363552607047078,0.4425,0.4425,0.0,0.8361978001775459,5.69452393055859,0.0,1.2125402274710195
whole-surface,heavy,180,1000,q_emp_hi,2000,0.9575,180.0,0.004510751046111944,0.9993305555555555,0.9460138888888888,11.42069534161857,5.771245570250135,5.387334348730045,0.9276805816173569,0.1205,0.1205,0.0,0.8361978001775459,5.69452393055859,0.0,1.2125402274710195
whole-surface,heavy,180,1000,q_rad,2000,0.912,180.0,0.0063346665263453285,0.9955138888888888,0.9460138888888888,7.154349978356729,3.5801665523578556,5.387334348730045,1.5093434160583306,0.8075,0.8075,0.0,0.8361978001775459,5.69452393055859,0.0,1.2125402274710195
whole-surface,nonzero,180,33,q_mult,2000,0.776,180.0,0.009322660564452617,0.9938527777777778,0.9023055555555556,6.863635148296081,3.487986196030385,5.037156474407359,1.445469720926372,0.183,24.658,1.6162647972536635,-0.10056805187867812,2.59591605658339,0.0,1.0126387398089989
whole-surface,nonzero,180,33,q_mult_hi,2000,0.7825,180.0,0.00922479674572833,0.9939777777777778,0.9023055555555556,6.900053129902615,3.5065851450870733,5.037156474407359,1.439277013144611,0.1795,24.2975,1.6162647972536635,-0.10056805187867812,2.59591605658339,0.0,1.0126387398089989
whole-surface,nonzero,180,33,q_emp,2000,0.762,180.0,0.00952249967182987,0.9936055555555555,0.9023055555555556,7.131900177563774,3.530276886013959,5.037156474407359,1.397704657915254,0.1925,23.9745,1.6162647972536635,-0.10056805187867812,2.59591605658339,0.0,1.0126387398089989
whole-surface,nonzero,180,33,q_emp_hi,2000,0.898,180.0,0.006767421961131136,0.9965666666666666,0.9023055555555556,8.687455590360202,4.54797723492792,5.037156474407359,1.2532117369702496,0.107,13.4975,1.6162647972536635,-0.10056805187867812,2.59591605658339,0.0,1.0126387398089989
whole-surface,nonzero,180,33,q_rad,2000,0.6755,180.0,0.010468995892634595,0.99215,0.9023055555555556,6.412572647340225,3.258640858060839,5.037156474407359,1.5679602465952496,0.222,29.3105,1.6162647972536635,-0.10056805187867812,2.59591605658339,0.0,1.0126387398089989
whole-surface,nonzero,180,80,q_mult,2000,0.8785,180.0,0.007305400399704318,0.9949555555555555,0.9239416666666667,7.068814093759506,3.552117918471069,5.687470084209219,1.6027856137865346,0.175,21.4525,1.6162647972536635,0.21234736521572128,4.503010609223145,0.0,1.074625188260134
whole-surface,nonzero,180,80,q_mult_hi,2000,0.882,180.0,0.007213736895673421,0.9950222222222223,0.9239416666666667,7.104923018652674,3.570388038843996,5.687470084209219,1.5950425153396877,0.172,21.1375,1.6162647972536635,0.21234736521572128,4.503010609223145,0.0,1.074625188260134
whole-surface,nonzero,180,80,q_emp,2000,0.906,180.0,0.0065254884874620675,0.9960944444444444,0.9239416666666667,8.188056311260418,3.816883514655066,5.687470084209219,1.254821626144792,0.1255,15.9345,1.6162647972536635,0.21234736521572128,4.503010609223145,0.0,1.074625188260134
whole-surface,nonzero,180,80,q_emp_hi,2000,0.9595,180.0,0.004407933189148855,0.9993083333333334,0.9239416666666667,12.102727050489781,6.09040635156612,5.687470084209219,0.9283220810989663,0.02,2.411,1.6162647972536635,0.21234736521572128,4.503010609223145,0.0,1.074625188260134
whole-surface,nonzero,180,80,q_rad,2000,0.8395,180.0,0.00820791538699078,0.994275,0.9239416666666667,6.833149946740574,3.433316435862997,5.687470084209219,1.6589818940765477,0.188,23.644,1.6162647972536635,0.21234736521572128,4.503010609223145,0.0,1.074625188260134
whole-surface,nonzero,180,150,q_mult,2000,0.9045,180.0,0.006571900410079265,0.9953638888888888,0.9380138888888888,7.123284570045799,3.5732978684976033,5.200735158021437,1.4557605110629415,0.1455,20.2995,1.6162647972536635,0.3822890421707693,5.233961285928501,0.0,1.1548944909065084
whole-surface,nonzero,180,150,q_mult_hi,2000,0.907,180.0,0.006494266702253611,0.9954222222222222,0.9380138888888888,7.159059596400085,3.591324805411502,5.200735158021437,1.4472002790901084,0.143,19.994,1.6162647972536635,0.3822890421707693,5.233961285928501,0.0,1.1548944909065084
whole-surface,nonzero,180,150,q_emp,2000,0.9305,180.0,0.005686376262612245,0.9971555555555556,0.9380138888888888,8.636771491239273,4.125865613634824,5.200735158021437,1.151710132079926,0.092,12.7135,1.6162647972536635,0.3822890421707693,5.233961285928501,0.0,1.1548944909065084
whole-surface,nonzero,180,150,q_emp_hi,2000,0.9665,180.0,0.004023540107914917,0.999525,0.9380138888888888,12.313074066245797,6.211172867287454,5.200735158021437,0.8553670244592214,0.0145,1.9395,1.6162647972536635,0.3822890421707693,5.233961285928501,0.0,1.1548944909065084
whole-surface,nonzero,180,150,q_rad,2000,0.8915,180.0,0.00695441406590088,0.9950666666666667,0.9380138888888888,6.979030413965244,3.5011148469669036,5.200735158021437,1.4900133218670721,0.155,21.593,1.6162647972536635,0.3822890421707693,5.233961285928501,0.0,1.1548944909065084
whole-surface,nonzero,180,400,q_mult,2000,0.9255,180.0,0.005871530890662162,0.9961083333333334,0.9460666666666666,7.166806435171709,3.5879196582673734,4.129588427224165,1.148052057305947,0.1215,19.4575,1.6162647972536635,0.5621445424710851,5.771832650719777,0.0,1.1795537731244985
whole-surface,nonzero,180,400,q_mult_hi,2000,0.927,180.0,0.005816829033072915,0.9961777777777777,0.9460666666666666,7.20232234218538,3.6055604815637876,4.129588427224165,1.1424888247266687,0.12,19.1585,1.6162647972536635,0.5621445424710851,5.771832650719777,0.0,1.1795537731244985
whole-surface,nonzero,180,400,q_emp,2000,0.946,180.0,0.005053909377897473,0.9979305555555555,0.9460666666666666,8.915462042690285,4.236690211262852,4.129588427224165,1.0169443116625045,0.0615,10.5785,1.6162647972536635,0.5621445424710851,5.771832650719777,0.0,1.1795537731244985
whole-surface,nonzero,180,400,q_emp_hi,2000,0.9705,180.0,0.0037835003634200943,0.9994861111111111,0.9460666666666666,11.998184060820313,6.058130024809472,4.129588427224165,0.7393621241992572,0.0135,1.904,1.6162647972536635,0.5621445424710851,5.771832650719777,0.0,1.1795537731244985
whole-surface,nonzero,180,400,q_rad,2000,0.9205,180.0,0.006048956521582876,0.9960138888888889,0.9460666666666666,7.104546365512634,3.5566280294574173,4.129588427224165,1.159165061872609,0.1225,19.9835,1.6162647972536635,0.5621445424710851,5.771832650719777,0.0,1.1795537731244985
