log,target,learner,quality,level,metric,b_lo,b_hi,V_lo,V_hi,D,D_se,D_lo,D_hi,R,R_fieller_lo,R_fieller_hi,fieller_kind,denom_t
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.300,B_intake,B_intake_g,-0.008333333333333304,0.0,-0.008333333333333304,0.005625765495756631,-0.01379960317460315,0.013442460317460367,1.0,-4.69725878703215,-1.162007921399359,exclusive,-1.837656325057799
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.325,B_half,B_intake,-0.0014403292181068839,0.0,-0.0014403292181068839,0.006603288594997524,-0.012700617283950465,0.013773148148148118,1.0,-inf,inf,unbounded,-0.8066133279279668
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.325,B_half,B_intake_g,-0.0014403292181068839,0.0,-0.0014403292181068839,0.006391407344882467,-0.01502829218106991,0.014948559670781845,1.0,-inf,inf,unbounded,-0.8066133279279668
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.325,B_intake,B_intake_g,0.0,0.0,0.0,0.0074247510721319205,-0.01683127572016461,0.01521604938271606,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.350,B_half,B_intake,0.0,-0.005555555555555536,0.005555555555555536,0.0057200743771699996,-0.013413461538461516,0.01160790598290597,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.350,B_half,B_intake_g,0.0,-0.0014957264957264904,0.0014957264957264904,0.006189566927868652,-0.0131730769230769,0.012820512820512862,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.350,B_intake,B_intake_g,-0.005555555555555536,-0.0014957264957264904,-0.004059829059829045,0.005676147942734223,-0.009780982905982897,0.013365384615384656,0.7307692307692308,-inf,inf,unbounded,-1.030582021954348
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.375,B_half,B_intake,0.0,0.0016666666666667052,-0.0016666666666667052,0.006446737116991843,-0.015305555555555468,0.012652777777777699,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.375,B_half,B_intake_g,0.0,0.0,0.0,0.006750587372045384,-0.011666666666666603,0.013208333333333403,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.375,B_intake,B_intake_g,0.0016666666666667052,0.0,0.0016666666666667052,0.007896474597657249,-0.0129583333333333,0.018333333333333424,1.0,-inf,inf,unbounded,0.27450999173699486
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.400,B_half,B_intake,0.0,0.0018518518518518823,-0.0018518518518518823,0.006209319544735279,-0.014398148148148186,0.012546296296296316,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.400,B_half,B_intake_g,0.0,0.0,0.0,0.006732065559328218,-0.011828703703703744,0.015532407407407403,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.400,B_intake,B_intake_g,0.0018518518518518823,0.0,0.0018518518518518823,0.007596732689985337,-0.0136805555555556,0.020370370370370348,1.0,-inf,inf,unbounded,0.3279188654314936
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.425,B_half,B_intake,0.0,0.0,0.0,0.007935120108429158,-0.014073067632850135,0.015480072463768127,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.425,B_half,B_intake_g,0.0,0.002053140096618278,-0.002053140096618278,0.007483306219200152,-0.017243357487922658,0.01658514492753629,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.425,B_intake,B_intake_g,0.0,0.002053140096618278,-0.002053140096618278,0.008470479307371406,-0.021298309178743934,0.016286231884058047,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.450,B_half,B_intake,0.0,0.0,0.0,0.008919995892892595,-0.015233585858585879,0.019640151515151496,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.450,B_half,B_intake_g,0.0,-0.002272727272727315,0.002272727272727315,0.008116594271920763,-0.015037878787878699,0.02013888888888888,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.450,B_intake,B_intake_g,0.0,-0.002272727272727315,0.002272727272727315,0.008805089849439209,-0.01674873737373741,0.013636363636363644,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.475,B_half,B_intake,0.005026455026454935,0.0,0.005026455026454935,0.010049532303654206,-0.01575396825396829,0.022589285714285753,1.0,-inf,inf,unbounded,0.9602555517802371
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.475,B_half,B_intake_g,0.005026455026454935,0.0,0.005026455026454935,0.00947537590145156,-0.019451058201058177,0.023882275132274942,1.0,-inf,inf,unbounded,0.9602555517802371
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.475,B_intake,B_intake_g,0.0,0.0,0.0,0.008950633806878074,-0.015539021164021172,0.017794312169312144,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.500,B_half,B_intake,0.005555555555555536,0.0,0.005555555555555536,0.011741256638116464,-0.018819444444444427,0.0333333333333333,1.0,-inf,inf,unbounded,0.8802399217608711
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.500,B_half,B_intake_g,0.005555555555555536,0.0,0.005555555555555536,0.010280059927290383,-0.016666666666666607,0.027777777777777766,1.0,-inf,inf,unbounded,0.8802399217608711
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.500,B_intake,B_intake_g,0.0,0.0,0.0,0.010795523786697134,-0.02222222222222223,0.021597222222222247,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.525,B_half,B_intake,0.009795321637427024,0.0,0.009795321637427024,0.01260327551160196,-0.01718567251461987,0.03538742690058481,1.0,-inf,inf,unbounded,1.1569250068105734
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.525,B_half,B_intake_g,0.009795321637427024,0.0,0.009795321637427024,0.011760077677253025,-0.013596491228070249,0.03486111111111113,1.0,-inf,inf,unbounded,1.1569250068105734
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.525,B_intake,B_intake_g,0.0,0.0,0.0,0.010239112597693112,-0.02698099415204676,0.020932017543859753,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.550,B_half,B_intake,0.011419753086419737,-0.003395061728395099,0.014814814814814836,0.011551188738467503,-0.016458333333333307,0.027708333333333283,1.297297297297301,-inf,inf,unbounded,1.2177002360905187
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.550,B_half,B_intake_g,0.011419753086419737,0.0,0.011419753086419737,0.012087508904254354,-0.01659722222222216,0.031033950617283906,1.0,-inf,inf,unbounded,1.2177002360905187
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.550,B_intake,B_intake_g,-0.003395061728395099,0.0,-0.003395061728395099,0.00914420066908619,-0.018410493827160507,0.01964506172839507,1.0,-inf,inf,unbounded,-0.42354215805199424
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.575,B_half,B_intake,0.013235294117647123,0.0,0.013235294117647123,0.012741790616382353,-0.017299836601307177,0.03371323529411767,1.0,-inf,inf,unbounded,1.4225011499301983
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.575,B_half,B_intake_g,0.013235294117647123,0.0037581699346405095,0.009477124183006613,0.01368152518761744,-0.022075163398692817,0.03195261437908497,0.7160493827160518,-inf,inf,unbounded,1.4225011499301983
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.575,B_intake,B_intake_g,0.0,0.0037581699346405095,-0.0037581699346405095,0.0126465571531573,-0.035191993464052294,0.020183823529411813,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.600,B_half,B_intake,0.002777777777777768,-0.002777777777777768,0.005555555555555536,0.014244511213357658,-0.02715277777777768,0.03302083333333336,2.0,-inf,inf,unbounded,0.2780201465029847
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.600,B_half,B_intake_g,0.002777777777777768,0.002777777777777768,0.0,0.013747702741038493,-0.018055555555555578,0.036111111111111094,0.0,-inf,inf,unbounded,0.2780201465029847
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.600,B_intake,B_intake_g,-0.002777777777777768,0.002777777777777768,-0.005555555555555536,0.013510472916492941,-0.024999999999999998,0.032222222222222284,2.0,-inf,inf,unbounded,-0.251222227000233
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.625,B_half,B_intake,0.002777777777777879,0.002777777777777768,1.1102230246251565e-16,0.01633542496278239,-0.020162037037037048,0.040740740740740716,3.9968028886505635e-14,-inf,inf,unbounded,0.2600165955522009
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.625,B_half,B_intake_g,0.002777777777777879,-0.002777777777777768,0.005555555555555647,0.016109175197119217,-0.023148148148148126,0.03939814814814821,1.99999999999996,-inf,inf,unbounded,0.2600165955522009
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.625,B_intake,B_intake_g,0.002777777777777768,-0.002777777777777768,0.005555555555555536,0.01528788063095561,-0.035486111111111204,0.02777777777777779,2.0,-inf,inf,unbounded,0.2039458123258301
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.650,B_half,B_intake,0.002777777777777768,0.0,0.002777777777777768,0.018650363014143048,-0.02984126984126987,0.04297619047619049,1.0,-inf,inf,unbounded,0.2175998245278909
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.650,B_half,B_intake_g,0.002777777777777768,0.0,0.002777777777777768,0.01636744732562798,-0.02222222222222234,0.040912698412698414,1.0,-inf,inf,unbounded,0.2175998245278909
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.650,B_intake,B_intake_g,0.0,0.0,0.0,0.014626643069363567,-0.03310515873015881,0.03319444444444445,,-inf,inf,unbounded,0.0
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.675,B_half,B_intake,0.01175213675213671,-0.002777777777777768,0.014529914529914478,0.02071733248121543,-0.03273504273504279,0.055261752136752156,1.2363636363636363,-inf,inf,unbounded,0.6026867485733216
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.675,B_half,B_intake_g,0.01175213675213671,0.0,0.01175213675213671,0.021650002162585478,-0.027061965811965853,0.06287393162393175,1.0,-inf,inf,unbounded,0.6026867485733216
