log,target,learner,quality,level,rung,family,n_family,metric,V,se,q_maxt,sim_lo,sim_hi,sim_resolved
BPIC14,handover,hgb,mask_rare,0.75,B_intake_g_km,decision-curve,31,nb_0.625,0.00038144280741903014,0.0021532466490098144,4.763286031226328,-0.009875086877594318,0.010637972492432379,False
BPIC14,handover,hgb,mask_rare,0.75,B_intake_g_km,decision-curve,31,nb_0.650,0.0004086887222347624,0.002392411886308614,4.763286031226328,-0.010987053396758888,0.011804430841228413,False
BPIC14,handover,hgb,mask_rare,0.75,B_intake_g_km,decision-curve,31,nb_0.675,0.001067306316912986,0.0026685966951724765,4.763286031226328,-0.011643983044178815,0.013778595678004787,False
BPIC14,handover,hgb,mask_rare,0.75,B_intake_g_km,decision-curve,31,nb_0.700,-0.0009536070185476309,0.0028451391089505933,4.763286031226328,-0.014505818393107715,0.012598604356012453,False
BPIC14,handover,hgb,mask_rare,0.75,B_intake_g_km,decision-curve,31,nb_0.725,5.201492828443843e-05,0.0034104085531271987,4.763286031226328,-0.01619273649360114,0.016296766350170015,False
BPIC14,handover,hgb,mask_rare,0.75,B_intake_g_km,decision-curve,31,nb_0.750,0.0002145615791732114,0.0037696282183591057,4.763286031226328,-0.01774125585625331,0.01817037901459973,False
BPIC14,handover,hgb,mask_rare,0.75,B_intake_g_km,decision-curve,31,nb_0.775,0.00042117643319194986,0.003730087470514544,4.763286031226328,-0.017346297110362327,0.018188649976746227,False
BPIC14,handover,hgb,mask_rare,0.75,B_intake_g_km,decision-curve,31,nb_0.800,-0.004863395794593162,0.004092774465787683,4.763286031226328,-0.02435845123643943,0.014631659647253107,False
BPIC14,handover,hgb,stale,1.0,B_half,scalars,5,ap,0.03139017668376898,0.00502668180042833,2.7680183825858475,0.017476229056773637,0.04530412431076432,True
BPIC14,handover,hgb,stale,1.0,B_half,scalars,5,auc,0.26916746613014364,0.04099974128376732,2.7680183825858475,0.15567942857541184,0.38265550368487544,True
BPIC14,handover,hgb,stale,1.0,B_half,scalars,5,brier_skill,0.28103132873237846,0.02338626716081168,2.7680183825858475,0.216297711331188,0.3457649461335689,True
BPIC14,handover,hgb,stale,1.0,B_half,scalars,5,logloss_skill,0.3313943907952087,0.03567594422898142,2.7680183825858475,0.23264272135328068,0.43014606023713675,True
BPIC14,handover,hgb,stale,1.0,B_half,scalars,5,nagelkerke,0.3740744498079974,0.04257773747093115,2.7680183825858475,0.25621848979954576,0.4919304098164491,True
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.050,0.0,0.00010813198248515925,4.778936706363567,-0.0005167559002301898,0.0005167559002301898,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.075,0.0,0.00015333642633011635,4.778936706363567,-0.0007327850762116059,0.0007327850762116059,False
