log,target,admitted,threshold,excess_one_number_per_1000,excess_majority_per_1000,excess_uniform_per_1000,share_positive
BPIC15_1,duration,True,0.55,0.0,0.0,0.0,0.0
BPIC15_1,duration,True,0.575,0.0,0.0,0.0,0.0
BPIC15_1,duration,True,0.6,0.0,0.0,0.0,0.0
BPIC15_1,duration,True,0.625,0.0,0.0,0.0,0.0
BPIC15_1,duration,True,0.65,0.0,0.0,0.0,0.4
BPIC15_1,duration,True,0.675,0.0,0.0,0.0,0.4
BPIC15_1,duration,True,0.7,0.0,0.0,0.0,0.2
BPIC15_1,duration,True,0.725,0.0,0.0,0.0,1.0
BPIC15_1,duration,True,0.75,0.0,0.0,27.77777777777776,0.8
BPIC15_1,duration,True,0.775,4.19753086419752,4.19753086419752,4.19753086419752,0.4
BPIC15_1,duration,True,0.8,0.0,0.0,13.33333333333328,0.8
BPIC15_1,handover,True,0.05,0.0,0.0,0.0,0.0
BPIC15_1,handover,True,0.075,0.0,0.0,0.0,0.0
BPIC15_1,handover,True,0.1,0.0,0.0,0.0,0.0
BPIC15_1,handover,True,0.125,0.0,0.0,0.0,0.0
BPIC15_1,handover,True,0.15,0.0,0.0,0.0,0.0
BPIC15_1,handover,True,0.175,0.0,0.0,0.0,0.0
BPIC15_1,handover,True,0.2,1.2152777777777501,1.2152777777777501,1.2152777777777501,0.25
BPIC15_1,handover,True,0.225,0.0,1.38888888888885,1.38888888888885,0.5
BPIC15_1,handover,True,0.25,0.0,0.0,2.0833333333332997,0.75
BPIC15_1,handover,True,0.275,0.0,0.40708812260534993,0.40708812260534993,0.5
BPIC15_1,handover,True,0.3,0.39682539682539997,0.0,0.0,0.5
BPIC15_1,handover,True,0.325,0.6687242798354252,0.0,0.0,0.5
BPIC15_1,handover,True,0.35,3.2585470085469996,0.0,0.0,0.5
BPIC15_1,handover,True,0.375,0.0,0.0,0.0,0.0
BPIC15_1,handover,True,0.4,0.0,0.0,0.0,0.0
BPIC15_1,handover,True,0.425,0.0,0.0,0.0,0.25
