term,order,share,variance,log,target,metric,total_variance
quality_level,1,0.06538031623722701,0.00011680743326409392,BPIC14,duration,logloss_skill,0.001786584097272762
rung,1,0.4731411693773842,0.0008453064889746729,BPIC14,duration,logloss_skill,0.001786584097272762
split,1,0.013984295248302065,2.4984119502183522e-05,BPIC14,duration,logloss_skill,0.001786584097272762
family x encoding,2,0.09788415848080531,0.00017487828091673353,BPIC14,duration,logloss_skill,0.001786584097272762
family x quality_level,2,0.0011160889835300954,1.99398682911619e-06,BPIC14,duration,logloss_skill,0.001786584097272762
family x rung,2,0.015222491015888165,2.719626036986329e-05,BPIC14,duration,logloss_skill,0.001786584097272762
family x split,2,0.003685975678456601,6.585305530064743e-06,BPIC14,duration,logloss_skill,0.001786584097272762
encoding x quality_level,2,0.011099175990991193,1.9829611318336514e-05,BPIC14,duration,logloss_skill,0.001786584097272762
encoding x rung,2,0.05570920290210986,9.952917597665107e-05,BPIC14,duration,logloss_skill,0.001786584097272762
encoding x split,2,0.004292583425575722,7.669061284350222e-06,BPIC14,duration,logloss_skill,0.001786584097272762
quality_level x rung,2,0.011630594360677756,2.0779034926617146e-05,BPIC14,duration,logloss_skill,0.001786584097272762
quality_level x split,2,0.006085887730532401,1.0872950237156608e-05,BPIC14,duration,logloss_skill,0.001786584097272762
rung x split,2,0.005849592500134224,1.045078893626582e-05,BPIC14,duration,logloss_skill,0.001786584097272762
family x encoding x quality_level,3,0.00826460966113911,1.4765420190757963e-05,BPIC14,duration,logloss_skill,0.001786584097272762
family x encoding x rung,3,0.03048937493714245,5.447183239848542e-05,BPIC14,duration,logloss_skill,0.001786584097272762
family x encoding x split,3,0.0012573133090207453,2.2462959631858575e-06,BPIC14,duration,logloss_skill,0.001786584097272762
family x quality_level x rung,3,0.000825430445999739,1.4747009082278971e-06,BPIC14,duration,logloss_skill,0.001786584097272762
family x quality_level x split,3,0.00020348019832067056,3.635344864296178e-07,BPIC14,duration,logloss_skill,0.001786584097272762
family x rung x split,3,0.0013380593159869271,2.3905554951499135e-06,BPIC14,duration,logloss_skill,0.001786584097272762
encoding x quality_level x rung,3,0.0025810929246339724,4.611339572734299e-06,BPIC14,duration,logloss_skill,0.001786584097272762
encoding x quality_level x split,3,0.004848412459171389,8.66209659657473e-06,BPIC14,duration,logloss_skill,0.001786584097272762
encoding x rung x split,3,0.0024123402603349656,4.309848746325285e-06,BPIC14,duration,logloss_skill,0.001786584097272762
quality_level x rung x split,3,0.0006332322244415187,1.1313226220678738e-06,BPIC14,duration,logloss_skill,0.001786584097272762
family x encoding x quality_level x rung,4,0.0007559817139500383,1.3506249079721444e-06,BPIC14,duration,logloss_skill,0.001786584097272762
family x encoding x quality_level x split,4,0.004169760543541729,7.449627876527081e-06,BPIC14,duration,logloss_skill,0.001786584097272762
