rep,psi,is_affine,m_changed,R,R_psi,R_shift
113,beta-cdf,False,0.08158445609539217,-0.7797592553967976,-0.9064752344250566,0.12671597902825904
113,affine,True,0.042647606401565064,-0.7797592553967976,-0.7797592553967969,6.661338147750939e-16
114,square,False,0.003480789309176169,-0.43813879629850994,-0.34852344700851545,0.08961534928999448
114,sqrt,False,0.02466509842324527,-0.43813879629850994,-0.4937737668677151,0.05563497056920519
114,logit-shift,False,0.011695254998673965,-0.43813879629850994,-0.5312132135933123,0.09307441729480237
114,logit-scale,False,0.037441622603004154,-0.43813879629850994,-0.44438979337482265,0.006250997076312714
114,beta-cdf,False,0.06456289815010302,-0.43813879629850994,-0.4236271853023983,0.014511610996111646
114,affine,True,0.04332819363419477,-0.43813879629850994,-0.43813879629850727,2.6645352591003757e-15
115,square,False,0.0008186630211315937,-0.5450953907610596,-0.5673509951636329,0.022255604402573237
115,sqrt,False,0.02498138341531453,-0.5450953907610596,-0.5372356781094938,0.00785971265156582
115,logit-shift,False,0.01476189637633285,-0.5450953907610596,-0.5358971830633019,0.009198207697757699
115,logit-scale,False,0.039391552810363606,-0.5450953907610596,-0.5026135903488409,0.04248180041221872
115,beta-cdf,False,0.07414258720359818,-0.5450953907610596,-0.4280256402013265,0.11706975055973312
115,affine,True,0.041050202153517124,-0.5450953907610596,-0.545095390761059,6.661338147750939e-16
116,square,False,0.012885723203128835,-0.7470168859145141,-0.7485088214202511,0.0014919355057370076
116,sqrt,False,0.020357725340021227,-0.7470168859145141,-0.7831868007716167,0.036169914857102636
116,logit-shift,False,0.004274852694770792,-0.7470168859145141,-0.7830408178753283,0.036023931960814215
116,logit-scale,False,0.040014612210924394,-0.7470168859145141,-0.6784932229606322,0.0685236629538819
116,beta-cdf,False,0.07662560338351393,-0.7470168859145141,-0.6097889973153523,0.1372278885991618
116,affine,True,0.04305982168125211,-0.7470168859145141,-0.7470168859145119,2.220446049250313e-15
117,square,False,0.010844285724089575,-0.777878513276191,-0.6983423193419929,0.07953619393419809
117,sqrt,False,0.04113027724474194,-0.777878513276191,-0.8491822010889547,0.07130368781276375
117,logit-shift,False,0.02899784147839113,-0.777878513276191,-0.879145638011557,0.10126712473536603
117,logit-scale,False,0.05125509645555382,-0.777878513276191,-0.7157166297061908,0.06216188357000019
117,beta-cdf,False,0.08935861713472981,-0.777878513276191,-0.6619537349944666,0.11592477828172432
117,affine,True,0.060061984276423286,-0.777878513276191,-0.7778785132761901,8.881784197001252e-16
118,square,False,0.001033108425846585,-0.9133923895790066,-0.9618625601425088,0.048470170563502224
118,sqrt,False,0.029952799027934518,-0.9133923895790066,-0.8896881763139786,0.02370421326502803
118,logit-shift,False,0.017337379358699334,-0.9133923895790066,-0.8648373244368106,0.048555065142195986
118,logit-scale,False,0.04220326815670461,-0.9133923895790066,-0.9418105783926549,0.028418188813648326
118,beta-cdf,False,0.07353961366348,-0.9133923895790066,-0.9884785208198561,0.07508613124084951
118,affine,True,0.048477354075936674,-0.9133923895790066,-0.9133923895790061,4.440892098500626e-16
119,square,False,0.007558778386108522,-1.7575298203105842,-1.7975184077019466,0.03998858739136235
119,sqrt,False,0.023254868655112837,-1.7575298203105842,-1.790153560244835,0.03262373993425083
119,logit-shift,False,0.008381880768393635,-1.7575298203105842,-1.7758351176425475,0.01830529733196329
119,logit-scale,False,0.038485542524235694,-1.7575298203105842,-1.6318853983090151,0.1256444220015691
119,beta-cdf,False,0.07067389200712393,-1.7575298203105842,-1.5566220959351789,0.20090772437540538
119,affine,True,0.04504056759521641,-1.7575298203105842,-1.7575298203105847,4.440892098500626e-16
120,square,False,0.004062331402360009,-1.0793059249136956,-1.0500701625790931,0.029235762334602455
120,sqrt,False,0.020662327281690374,-1.0793059249136956,-1.124608836342155,0.045302911428459325
120,logit-shift,False,0.0139803635461756,-1.0793059249136956,-1.135149677950972,0.0558437530372764
120,logit-scale,False,0.027595890502788212,-1.0793059249136956,-1.0317490565916199,0.04755686832207573
120,beta-cdf,False,0.0482216440457332,-1.0793059249136956,-1.0101183802586449,0.06918754465505073
120,affine,True,0.031076461958786994,-1.0793059249136956,-1.0793059249137,4.440892098500626e-15
121,square,False,0.0018584524112157663,-1.5578227009948842,-1.429833836826361,0.12798886416852318
121,sqrt,False,0.022682878367741077,-1.5578227009948842,-1.6708361097412432,0.11301340874635901
121,logit-shift,False,0.011605634684293542,-1.5578227009948842,-1.7253289384010477,0.16750623740616355
121,logit-scale,False,0.03393585907144775,-1.5578227009948842,-1.5038357584168098,0.05398694257807435
121,beta-cdf,False,0.05954390034557533,-1.5578227009948842,-1.4684058414217613,0.08941685957312284
121,affine,True,0.03840870533051083,-1.5578227009948842,-1.5578227009948855,1.3322676295501878e-15
122,square,False,0.002478875353082971,-1.6860590541100127,-1.4578673981179637,0.22819165599204894
122,sqrt,False,0.03513974357987376,-1.6860590541100127,-1.8919588171610586,0.20589976305104596
122,logit-shift,False,0.018130082804513836,-1.6860590541100127,-2.0168692802058583,0.33081022609584565
122,logit-scale,False,0.05310849888270974,-1.6860590541100127,-1.5482456101118265,0.13781344399818618
122,beta-cdf,False,0.09426132314367958,-1.6860590541100127,-1.4001847997455026,0.2858742543645101
122,affine,True,0.060018579933393656,-1.6860590541100127,-1.686059054110017,4.440892098500626e-15
123,square,False,0.005129561660032034,-0.722715608629207,-0.6968554164566938,0.02586019217251323
123,sqrt,False,0.031226997508199683,-0.722715608629207,-0.7576382553667345,0.03492264673752743
123,logit-shift,False,0.020969663649559322,-0.722715608629207,-0.7650468866032845,0.04233127797407743
123,logit-scale,False,0.04407436251857361,-0.722715608629207,-0.685010523278035,0.03770508535117201
