log,target,family,q,q_lo,q_hi,q_emp,q_emp_lo,q_emp_hi,n_family,n_draws,n_mult
BPIC15_4,duration,whole-surface,3.3803201690400253,3.36050211023525,3.399675460020394,5.616231369843851,4.891657660445589,6.402732474579176,180,143,20000
BPIC15_4,duration,decision-curve,3.8855885570744166,3.871016628089286,3.903149769335938,9.450175286130563,6.97662764760549,12.128731341246713,1099,143,20000
BPIC15_4,handover,whole-surface,3.424642468267414,3.3999120283238344,3.4468959170322426,6.469086791361619,5.624713910451558,7.866775036749217,180,150,20000
BPIC15_4,handover,decision-curve,3.8400726562781347,3.8246238498516023,3.855874622997623,12.165799055823115,11.118237611777047,12.16579905582312,1045,150,20000
BPIC15_5,duration,whole-surface,3.39451901682981,3.3781729760146226,3.412074325543091,5.470156430466565,4.694551388147086,6.703810963347897,180,150,20000
BPIC15_5,duration,decision-curve,3.8689761474853595,3.8555567413515317,3.890773225880891,8.573602898820695,7.411463353460493,10.548298193648373,1115,150,20000
BPIC17,duration,whole-surface,3.2518433007313483,3.234138521431162,3.271147700977318,3.6873685755365337,3.199384464971331,5.136703633104002,180,80,20000
BPIC17,duration,decision-curve,3.8881138819816212,3.8721629256987855,3.9027195637771266,8.83246851112417,8.832468511124167,8.83246851112417,1033,80,20000
BPIC19,duration,whole-surface,3.3167084821052373,3.2998129533614877,3.3360318207709465,3.0604212125579804,2.907259011581217,3.562528353490164,120,33,20000
BPIC19,duration,decision-curve,3.859155510325399,3.844395493556001,3.8782775840117067,5.8307294129252,5.563471175483198,6.16644143732834,707,33,20000
Helpdesk,duration,whole-surface,3.3123895973124102,3.2905702446640808,3.3332545498521413,3.643350703704327,3.428322013003012,5.342431518468111,180,80,20000
Helpdesk,duration,decision-curve,3.872685185918028,3.857299417696875,3.890882546020119,6.719164183435714,5.625392401476075,8.832468511124171,1110,80,20000
RoadFines,duration,whole-surface,3.139959571475433,3.121482842899793,3.1582094219191648,3.0291007179777765,2.818741718856748,3.7584195838281826,120,40,20000
RoadFines,duration,decision-curve,3.723999500248444,3.7095933850190783,3.7443304585695345,6.166441437328341,6.16644143732834,6.166441437328341,534,40,20000
Sepsis,duration,whole-surface,3.3198901789696333,3.3013892514280068,3.337883499175105,3.6852965958928885,3.4756659246443613,4.369348497237043,180,150,20000
Sepsis,duration,decision-curve,3.83729582682242,3.8204467766343106,3.857431563492093,4.880291259254468,4.500924935182731,5.385422636406623,1116,150,20000
UCI498,duration,whole-surface,3.257492252657215,3.2374815175252833,3.2758768197047834,3.745037066274788,3.2544751451604332,6.0393279317593604,180,80,20000
UCI498,duration,decision-curve,3.868511389189661,3.8539956532004243,3.881432918486076,7.101353519512071,6.079157715629796,8.3498933854753,1116,80,20000
UCI498,handover,whole-surface,3.3294166439835093,3.3121045200340733,3.3492012471995207,4.740190871440716,3.679039212080439,6.98105114229249,180,80,20000
UCI498,handover,decision-curve,3.884816823714972,3.868206273788219,3.9011132621670406,7.958253685235762,5.483856145061198,8.699221473645613,1116,80,20000
