log,target,rung,learner,calibration,bin,n,p_mean,y_mean
BPIC13_closed,handover,B_intake,logit,raw,6,45,0.43441610290369675,0.35555555555555557
BPIC13_closed,handover,B_intake,logit,raw,7,44,0.5342146707550477,0.45454545454545453
BPIC13_closed,handover,B_intake,logit,raw,8,45,0.6429858109835219,0.28888888888888886
BPIC13_closed,handover,B_intake,logit,raw,9,45,0.7814688939815251,0.5333333333333333
BPIC13_closed,handover,B_intake,logit,platt,0,43,0.14525040995877125,0.046511627906976744
BPIC13_closed,handover,B_intake,logit,platt,1,44,0.19377287675182747,0.11363636363636363
BPIC13_closed,handover,B_intake,logit,platt,2,47,0.23937879628420855,0.14893617021276595
BPIC13_closed,handover,B_intake,logit,platt,3,44,0.2926102304722385,0.29545454545454547
BPIC13_closed,handover,B_intake,logit,platt,4,45,0.3410364101029868,0.37777777777777777
BPIC13_closed,handover,B_intake,logit,platt,5,45,0.3731346066809159,0.15555555555555556
BPIC13_closed,handover,B_intake,logit,platt,6,45,0.42517643868136756,0.3333333333333333
BPIC13_closed,handover,B_intake,logit,platt,7,44,0.4980540519210555,0.4090909090909091
BPIC13_closed,handover,B_intake,logit,platt,8,43,0.5826654673852748,0.37209302325581395
BPIC13_closed,handover,B_intake,logit,platt,9,47,0.6980401998030069,0.48936170212765956
BPIC13_closed,handover,B_intake,logit,isotonic,0,44,0.11016660367656737,0.045454545454545456
BPIC13_closed,handover,B_intake,logit,isotonic,1,38,0.18322513884894712,0.07894736842105263
BPIC13_closed,handover,B_intake,logit,isotonic,2,52,0.231892142452198,0.21153846153846154
BPIC13_closed,handover,B_intake,logit,isotonic,3,37,0.2882764072828046,0.2972972972972973
BPIC13_closed,handover,B_intake,logit,isotonic,4,39,0.33501668422497133,0.41025641025641024
BPIC13_closed,handover,B_intake,logit,isotonic,5,53,0.37687892688221,0.09433962264150944
BPIC13_closed,handover,B_intake,logit,isotonic,6,45,0.4257146465452935,0.35555555555555557
BPIC13_closed,handover,B_intake,logit,isotonic,7,45,0.49650374650702983,0.4666666666666667
BPIC13_closed,handover,B_intake,logit,isotonic,8,11,0.5143375092396044,0.2727272727272727
BPIC13_closed,handover,B_intake,logit,isotonic,9,83,0.5782328482271959,0.42168674698795183
BPIC13_closed,handover,B_intake,hgb,raw,0,44,0.0008292009117244003,0.022727272727272728
BPIC13_closed,handover,B_intake,hgb,raw,1,46,0.005968422096217893,0.13043478260869565
BPIC13_closed,handover,B_intake,hgb,raw,2,44,0.02360911476521608,0.1590909090909091
BPIC13_closed,handover,B_intake,hgb,raw,3,45,0.0731269620126084,0.13333333333333333
BPIC13_closed,handover,B_intake,hgb,raw,4,44,0.17306631111633378,0.3409090909090909
BPIC13_closed,handover,B_intake,hgb,raw,5,45,0.2935329540318483,0.3111111111111111
BPIC13_closed,handover,B_intake,hgb,raw,6,45,0.44547233075870485,0.4
BPIC13_closed,handover,B_intake,hgb,raw,7,44,0.6176164725740025,0.29545454545454547
BPIC13_closed,handover,B_intake,hgb,raw,8,44,0.800632254795406,0.5227272727272727
BPIC13_closed,handover,B_intake,hgb,raw,9,46,0.9313347745061951,0.43478260869565216
BPIC13_closed,handover,B_intake,hgb,platt,0,44,0.17089324900260733,0.022727272727272728
BPIC13_closed,handover,B_intake,hgb,platt,1,46,0.21005220049307755,0.043478260869565216
BPIC13_closed,handover,B_intake,hgb,platt,2,44,0.25647356636851526,0.18181818181818182
BPIC13_closed,handover,B_intake,hgb,platt,3,45,0.28483325125127007,0.3111111111111111
BPIC13_closed,handover,B_intake,hgb,platt,4,44,0.3185514967896966,0.25
BPIC13_closed,handover,B_intake,hgb,platt,5,42,0.35618989667570267,0.40476190476190477
BPIC13_closed,handover,B_intake,hgb,platt,6,48,0.3877711562329811,0.3333333333333333
BPIC13_closed,handover,B_intake,hgb,platt,7,44,0.42236715100292965,0.38636363636363635
BPIC13_closed,handover,B_intake,hgb,platt,8,45,0.4572279718859841,0.4444444444444444
BPIC13_closed,handover,B_intake,hgb,platt,9,45,0.53558729352655,0.37777777777777777
BPIC13_closed,handover,B_intake,hgb,isotonic,0,28,0.18629561325495927,0.14285714285714285
BPIC13_closed,handover,B_intake,hgb,isotonic,1,60,0.21577363313375023,0.05
BPIC13_closed,handover,B_intake,hgb,isotonic,2,43,0.2601076134707095,0.2558139534883721
BPIC13_closed,handover,B_intake,hgb,isotonic,3,44,0.28480008229966086,0.22727272727272727
BPIC13_closed,handover,B_intake,hgb,isotonic,4,45,0.30519568938520675,0.2
BPIC13_closed,handover,B_intake,hgb,isotonic,5,43,0.32502305225937944,0.3488372093023256
BPIC13_closed,handover,B_intake,hgb,isotonic,6,50,0.3470442350817218,0.44
BPIC13_closed,handover,B_intake,hgb,isotonic,7,33,0.3765372431634124,0.24242424242424243
BPIC13_closed,handover,B_intake,hgb,isotonic,8,54,0.40839670761221825,0.4444444444444444
BPIC13_closed,handover,B_intake,hgb,isotonic,9,47,0.5367066166205069,0.3617021276595745
BPIC13_closed,handover,B_intake_g,logit,raw,0,39,0.07136452106168047,0.07692307692307693
