target,learner,mechanism,meaning,metric,n_levels,n_seeds,integral_fine,integral_coarse,grid_shift,V_at_clean,V_at_half,V_at_empty,seed_sd_median,seed_sd_max,n_sign_changes
handover,hgb,duplicate,reconciliation: one item exists under two keys,brier_skill,11,20,0.19708546363625637,0.1985159200150994,0.0014304563788430369,0.19280554983240794,0.19840499683653381,0.19941843531873488,0.004814166532981368,0.00643374402030219,0
handover,hgb,duplicate,reconciliation: one item exists under two keys,logloss_skill,11,20,0.22775833383394153,0.22991457391616596,0.0021562400822244254,0.2217149153819152,0.2283548439721706,0.23269320865645843,0.004711735887130878,0.005712759034371207,0
handover,hgb,duplicate,reconciliation: one item exists under two keys,nagelkerke,11,20,0.2519903370456842,0.2542591228259088,0.0022687857802246025,0.24562262010904287,0.25261968029645787,0.25718480620013817,0.004956916461255112,0.006006111997386141,0
handover,hgb,mask_common,population: the core identities are absent,ap,11,1,0.010547508174401315,0.008435400993284381,0.002112107181116934,0.017903744877079464,0.009390541866549751,0.00012967090427529193,0.0,0.0,0
handover,hgb,mask_common,population: the core identities are absent,auc,11,1,0.08746433036306973,0.07067475277217583,0.016789577590893903,0.14255615868730986,0.082550563760044,0.000244580506894021,0.0,0.0,0
handover,hgb,mask_common,population: the core identities are absent,brier_skill,11,1,0.12103855747350714,0.08962199551421836,0.03141656195928878,0.19927539652268367,0.09230091499372095,0.00047085374031763383,0.0,0.0,0
handover,hgb,mask_common,population: the core identities are absent,logloss_skill,11,1,0.13959060050800032,0.10674741885228271,0.032843181655717604,0.2327000589765783,0.12111286531168786,1.5588209387518148e-05,0.0,0.0,0
handover,hgb,mask_common,population: the core identities are absent,nagelkerke,11,1,0.15566993330668905,0.11952758751607628,0.03614234579061276,0.25719226108823456,0.13710831924504382,1.811614805791173e-05,0.0,0.0,0
handover,hgb,mask_random,population: absent independently of everything,ap,11,20,0.009462442599799033,0.007612406128792995,0.0018500364710060382,0.017903744877079464,0.00963642352955199,0.00012967090427529193,0.0007995155275154533,0.0013633545411737326,0
handover,hgb,mask_random,population: absent independently of everything,auc,11,20,0.07481980659569223,0.059706370902387486,0.015113435693304748,0.14255615868730986,0.07627176924560153,0.000244580506894021,0.005920866258077324,0.015111483625435407,0
handover,hgb,mask_random,population: absent independently of everything,brier_skill,11,20,0.09138859975757761,0.06741269369431618,0.02397590606326143,0.19927539652268367,0.0859288042454792,0.00047085374031763383,0.00943820823666496,0.028400222275658006,0
handover,hgb,mask_random,population: absent independently of everything,logloss_skill,11,20,0.10727851177049141,0.07947501820517999,0.02780349356531142,0.23270005897657828,0.10072940422630942,1.5588209387518148e-05,0.011189787479362548,0.034991590988639194,0
handover,hgb,mask_random,population: absent independently of everything,nagelkerke,11,20,0.12056953743389982,0.08961486542207242,0.030954672011827403,0.25719226108823456,0.11447016188820111,1.811614805791173e-05,0.012052911537890468,0.04028656031049432,0
handover,hgb,mask_rare,population: the long tail of identities is absent,ap,11,1,0.011279079813128362,0.008997261181355852,0.0022818186317725107,0.017903744877079464,0.014484094041065432,0.00012967090427529193,0.0,0.0,0
handover,hgb,mask_rare,population: the long tail of identities is absent,auc,11,1,0.08173767930635546,0.0652899439677517,0.01644773533860376,0.14255615868730986,0.10796189562141623,0.000244580506894021,0.0,0.0,0
handover,hgb,mask_rare,population: the long tail of identities is absent,brier_skill,11,1,0.10235733771921815,0.056627809155152815,0.045729528564065335,0.19927539652268367,0.16883268689903175,0.00047085374031763383,0.0,0.0,0
handover,hgb,mask_rare,population: the long tail of identities is absent,logloss_skill,11,1,0.1219408249668529,0.07919174463985595,0.04274908032699695,0.2327000589765783,0.17590706038342563,1.5588209387518148e-05,0.0,0.0,0
handover,hgb,mask_rare,population: the long tail of identities is absent,nagelkerke,11,1,0.13610742079290322,0.08907228695061765,0.04703513384228557,0.25719226108823456,0.19680372918193104,1.811614805791173e-05,0.0,0.0,0
handover,hgb,propensity,missing where the work is unusual: a training-estimated propensity drives the missingness,ap,11,20,0.007075836716033354,0.005984347275311216,0.0010914894407221386,0.011938215663832286,0.007688808115455581,0.00012967090427529193,0.00046079142685621845,0.0005995059524356143,0
handover,hgb,propensity,missing where the work is unusual: a training-estimated propensity drives the missingness,auc,11,20,0.05867670771226746,0.04932824324025316,0.009348464472014303,0.09856121516209485,0.06385697483152,0.000244580506894021,0.0037168424872071905,0.0048427001673347694,0
