learner,split,quality,level,rung,metric,log,target,scheme,V,boot_median,displacement,se,n_draws,lo,hi,width,excludes_point,resolved
logit,rolling5,mask_rare,0.5,B_intake,nb_0.500,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.022944296925167376,400,-0.03568204372509881,0.0538556793435647,0.0895377230686635,False,False
logit,rolling5,mask_rare,0.5,B_intake,nb_0.525,BPIC15_1,handover,weighted,0.0069444444444444,0.0,-0.0069444444444444,0.022238957050165837,400,-0.016891431007317416,0.0776283266023649,0.09451975760968231,False,False
logit,rolling5,mask_rare,0.5,B_intake,nb_0.550,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.022187228634984655,400,-0.03186937389405774,0.06676303217404496,0.0986324060681027,False,False
logit,rolling5,mask_rare,0.5,B_intake,nb_0.575,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.02635586542652831,400,-0.04373292839962938,0.05797961698883258,0.10171254538846197,False,False
logit,rolling5,mask_rare,0.5,B_intake,nb_0.600,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.029743780877194877,400,-0.033436073322048926,0.1145276846204352,0.14796375794248412,False,False
logit,rolling5,mask_rare,0.5,B_intake,nb_0.625,BPIC15_1,handover,weighted,-0.0115740740740739,0.0,0.0115740740740739,0.028164747644933954,400,-0.06351771931663289,0.051548751669619496,0.11506647098625239,False,False
logit,rolling5,mask_rare,0.5,B_intake,nb_0.650,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.028701995827558686,400,-0.04279005324553574,0.0850968052826824,0.12788685852821813,False,False
logit,rolling5,mask_rare,0.5,B_intake,nb_0.675,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.03413063827668705,400,-0.045584808533089584,0.09026665459837935,0.13585146313146892,False,False
logit,rolling5,mask_rare,0.5,B_intake,nb_0.700,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.033626132266630214,400,-0.07076920617087916,0.07776989521241587,0.148539101383295,False,False
logit,rolling5,mask_rare,0.5,B_intake,nb_0.725,BPIC15_1,handover,weighted,0.0138888888888888,0.0,-0.0138888888888888,0.027323722327818142,400,-0.02594930650303669,0.0746622500142848,0.10061155651732148,False,False
logit,rolling5,mask_rare,0.5,B_intake,nb_0.750,BPIC15_1,handover,weighted,0.0069444444444444,0.0,-0.0069444444444444,0.029799764140131878,400,-0.03726187900234591,0.06358055561818088,0.10084243462052679,False,False
logit,rolling5,mask_rare,0.5,B_intake,nb_0.775,BPIC15_1,handover,weighted,0.0138888888888889,0.0,-0.0138888888888889,0.039613125019399495,400,-0.0543963829804871,0.08897365145806517,0.14337003443855229,False,False
logit,rolling5,mask_rare,0.5,B_intake,nb_0.800,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.03633098948796166,400,-0.093993264286356,0.05326487415298178,0.14725813843933777,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,ap,BPIC15_1,handover,weighted,-0.0004305909320043,0.00022576072354375,0.00065635165554805,0.001462876184528372,400,-0.004835688192250207,0.001285632676804342,0.006121320869054549,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,auc,BPIC15_1,handover,weighted,-0.0017379679144384,0.0006713958241183001,0.0024093637385567,0.005005214328553077,400,-0.016458077513691265,0.005387403061676158,0.02184548057536742,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,brier_skill,BPIC15_1,handover,weighted,0.004268293045171,0.0011864157234123501,-0.00308187732175865,0.012873273489832544,400,-0.025493832756535852,0.03104199663890945,0.0565358293954453,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,logloss_skill,BPIC15_1,handover,weighted,0.0046756824994188,0.0019448061140607,-0.0027308763853581,0.009469426140242723,400,-0.01696387560947004,0.024920717656993465,0.0418845932664635,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nagelkerke,BPIC15_1,handover,weighted,0.0043838852326711,0.0018698143920815999,-0.0025140708405895,0.009857647576174671,400,-0.02061510566076618,0.02556119216548999,0.046176297826256166,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.050,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.0018582695192719406,400,-2.453676541961369e-06,0.004202905926937608,0.00420535960347957,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.075,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.0021248392743881484,400,-0.00028941907686789433,0.00578244916560929,0.0060718682424771835,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.100,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.0037922741379676898,400,-0.0012797484464000901,0.013439165684712064,0.014718914131112154,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.125,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.002667709119346514,400,-0.003876311109077759,0.008297641006225577,0.012173952115303336,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.150,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.003395838418248283,400,-0.004198438125749145,0.010102698788695063,0.014301136914444207,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.175,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.003693517040236653,400,-0.007471774904255814,0.009804372646039988,0.0172761475502958,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.200,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.0057558469459575426,400,-0.007358836793333077,0.017501662317818873,0.02486049911115195,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.225,BPIC15_1,handover,weighted,0.0020161290322581,0.0,-0.0020161290322581,0.00697965951312935,400,-0.006761867690457404,0.02531171679221919,0.032073584482676595,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.250,BPIC15_1,handover,weighted,0.0023148148148148,0.0,-0.0023148148148148,0.008003377689858072,400,-0.008436464421711616,0.02606365838315059,0.034500122804862206,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.275,BPIC15_1,handover,weighted,-0.0095785440613027,0.0,0.0095785440613027,0.009860119751682857,400,-0.035429541857734954,0.007856746948751301,0.04328628880648626,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.300,BPIC15_1,handover,weighted,0.0089285714285715,0.0,-0.0089285714285715,0.011022587437713918,400,-0.0010231419045080292,0.04489547173735926,0.04591861364186729,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.325,BPIC15_1,handover,weighted,-0.0200617283950617,0.0,0.0200617283950617,0.01286467215458706,400,-0.05784311764170169,0.00017430387898080546,0.0580174215206825,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.350,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.012829334570379592,400,-0.017600962041228276,0.03885099269576155,0.05645195473698983,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.375,BPIC15_1,handover,weighted,-0.0041666666666666,0.0,0.0041666666666666,0.012717678750082747,400,-0.030112297573474504,0.028206309624364698,0.0583186071978392,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.400,BPIC15_1,handover,weighted,0.0023148148148147,0.0,-0.0023148148148147,0.01592691666162927,400,-0.020580479726859075,0.04053421363903903,0.0611146933658981,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.425,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.015196513940127802,400,-0.026179484992322873,0.04422903071092653,0.07040851570324941,False,False
