term,order,share,variance,log,target,metric,total_variance
quality_level x split,2,0.011124095769623076,6.978373324563625e-06,UCI498,duration,auc,0.0006273205003879679
rung x split,2,0.001221427380827686,7.662264357283891e-07,UCI498,duration,auc,0.0006273205003879679
family x encoding x quality_level,3,0.01147455270875714,7.198222146985642e-06,UCI498,duration,auc,0.0006273205003879679
family x encoding x rung,3,0.11589053292514968,7.270050710483317e-05,UCI498,duration,auc,0.0006273205003879679
family x encoding x split,3,0.014323314106474545,8.985308572487652e-06,UCI498,duration,auc,0.0006273205003879679
family x quality_level x rung,3,0.006395688862545923,4.0121467375780616e-06,UCI498,duration,auc,0.0006273205003879679
family x quality_level x split,3,0.0023296412972629867,1.4614317443234917e-06,UCI498,duration,auc,0.0006273205003879679
family x rung x split,3,0.0027551044642517768,1.728333511135549e-06,UCI498,duration,auc,0.0006273205003879679
encoding x quality_level x rung,3,0.011984571055012412,7.518167111165543e-06,UCI498,duration,auc,0.0006273205003879679
encoding x quality_level x split,3,0.0030792240225148634,1.9316603546106756e-06,UCI498,duration,auc,0.0006273205003879679
encoding x rung x split,3,0.010314677076424384,6.470608384922847e-06,UCI498,duration,auc,0.0006273205003879679
quality_level x rung x split,3,0.019490215047950656,1.2226611456549508e-05,UCI498,duration,auc,0.0006273205003879679
family x encoding x quality_level x rung,4,0.03583623870225998,2.2480807194724393e-05,UCI498,duration,auc,0.0006273205003879679
family x encoding x quality_level x split,4,0.004282495313818407,2.6864971031736907e-06,UCI498,duration,auc,0.0006273205003879679
family x encoding x rung x split,4,0.007899291240812453,4.95538733389676e-06,UCI498,duration,auc,0.0006273205003879679
family x quality_level x rung x split,4,0.00290418463611504,1.8218545591467356e-06,UCI498,duration,auc,0.0006273205003879679
encoding x quality_level x rung x split,4,0.006249085415045154,3.920179389533278e-06,UCI498,duration,auc,0.0006273205003879679
family x encoding x quality_level x rung x split,5,0.005946429221453178,3.7303169547236422e-06,UCI498,duration,auc,0.0006273205003879679
family,1,0.017545082170343063,7.764533711772597e-06,UCI498,duration,brier_skill,0.0004425475832137853
encoding,1,0.026929701569653443,1.1917674346318612e-05,UCI498,duration,brier_skill,0.0004425475832137853
quality_level,1,0.007287039912736673,3.224861902164008e-06,UCI498,duration,brier_skill,0.0004425475832137853
rung,1,0.028202089859541372,1.2480766708918036e-05,UCI498,duration,brier_skill,0.0004425475832137853
split,1,0.09460911625497408,4.186903574863083e-05,UCI498,duration,brier_skill,0.0004425475832137853
family x encoding,2,0.09724603746245411,4.3035998856126294e-05,UCI498,duration,brier_skill,0.0004425475832137853
family x quality_level,2,0.013327786609843083,5.898179753775106e-06,UCI498,duration,brier_skill,0.0004425475832137853
family x rung,2,0.013340619357547028,5.903858855257478e-06,UCI498,duration,brier_skill,0.0004425475832137853
family x split,2,0.00011032014850620451,4.8821915101206694e-08,UCI498,duration,brier_skill,0.0004425475832137853
encoding x quality_level,2,0.014049686792146824,6.217654934775217e-06,UCI498,duration,brier_skill,0.0004425475832137853
encoding x rung,2,0.08631736198187699,3.8199539934469135e-05,UCI498,duration,brier_skill,0.0004425475832137853
encoding x split,2,0.027646158571854356,1.223474066111922e-05,UCI498,duration,brier_skill,0.0004425475832137853
quality_level x rung,2,0.006822706329174204,3.019372196953441e-06,UCI498,duration,brier_skill,0.0004425475832137853
quality_level x split,2,0.01187851561361278,5.2568083769715494e-06,UCI498,duration,brier_skill,0.0004425475832137853
rung x split,2,0.056731865903993976,2.5106550147021085e-05,UCI498,duration,brier_skill,0.0004425475832137853
family x encoding x quality_level,3,0.02970858543601502,1.3147462685408707e-05,UCI498,duration,brier_skill,0.0004425475832137853
family x encoding x rung,3,0.027185583755081573,1.2030914389067293e-05,UCI498,duration,brier_skill,0.0004425475832137853
family x encoding x split,3,0.0351313688478659,1.554730237861512e-05,UCI498,duration,brier_skill,0.0004425475832137853
family x quality_level x rung,3,0.004975022471780181,2.2016841713205917e-06,UCI498,duration,brier_skill,0.0004425475832137853
family x quality_level x split,3,0.004793312192317299,2.1212687262991917e-06,UCI498,duration,brier_skill,0.0004425475832137853
family x rung x split,3,0.037626335562649126,1.6651443868441273e-05,UCI498,duration,brier_skill,0.0004425475832137853
encoding x quality_level x rung,3,0.04743806289934605,2.099360008844913e-05,UCI498,duration,brier_skill,0.0004425475832137853
encoding x quality_level x split,3,0.0197196921077034,8.726902083984096e-06,UCI498,duration,brier_skill,0.0004425475832137853
encoding x rung x split,3,0.05684960971946776,2.5158657387997376e-05,UCI498,duration,brier_skill,0.0004425475832137853
quality_level x rung x split,3,0.007277377590514888,3.2205858648165238e-06,UCI498,duration,brier_skill,0.0004425475832137853
family x encoding x quality_level x rung,4,0.04836812845773032,2.1405198353542466e-05,UCI498,duration,brier_skill,0.0004425475832137853
family x encoding x quality_level x split,4,0.03179055157940704,1.4068831770499773e-05,UCI498,duration,brier_skill,0.0004425475832137853
family x encoding x rung x split,4,0.04337913084313014,1.9197329516541816e-05,UCI498,duration,brier_skill,0.0004425475832137853
family x quality_level x rung x split,4,0.0068806402835216605,3.0450107284359255e-06,UCI498,duration,brier_skill,0.0004425475832137853
encoding x quality_level x rung x split,4,0.0484848363540244,2.145684715098938e-05,UCI498,duration,brier_skill,0.0004425475832137853
family x encoding x quality_level x rung x split,5,0.04834767336118706,2.1396146000002842e-05,UCI498,duration,brier_skill,0.0004425475832137853
family,1,0.01511593853366845,7.3223334208749315e-06,UCI498,duration,logloss_skill,0.0004844114313223456
encoding,1,0.02235521960209106,1.0829123924974287e-05,UCI498,duration,logloss_skill,0.0004844114313223456
quality_level,1,0.003153391574509866,1.5275389261281493e-06,UCI498,duration,logloss_skill,0.0004844114313223456
rung,1,0.035723410211914275,1.730482827246869e-05,UCI498,duration,logloss_skill,0.0004844114313223456
split,1,0.08264081763374258,4.003215675561018e-05,UCI498,duration,logloss_skill,0.0004844114313223456
family x encoding,2,0.06768023981778244,3.2785081842371596e-05,UCI498,duration,logloss_skill,0.0004844114313223456
family x quality_level,2,0.01024974436797701,4.965093339979894e-06,UCI498,duration,logloss_skill,0.0004844114313223456
family x rung,2,0.03510862025207097,1.700701698805839e-05,UCI498,duration,logloss_skill,0.0004844114313223456
family x split,2,0.0006152324435761022,2.980256285886439e-07,UCI498,duration,logloss_skill,0.0004844114313223456
encoding x quality_level,2,0.00840261191447075,4.070321264334971e-06,UCI498,duration,logloss_skill,0.0004844114313223456
encoding x rung,2,0.08869499318506618,4.2964868599903595e-05,UCI498,duration,logloss_skill,0.0004844114313223456
encoding x split,2,0.029283064611114254,1.418505124177458e-05,UCI498,duration,logloss_skill,0.0004844114313223456
quality_level x rung,2,0.0055514579588430805,2.689189695769004e-06,UCI498,duration,logloss_skill,0.0004844114313223456
quality_level x split,2,0.0052697076301366445,2.5527066157647777e-06,UCI498,duration,logloss_skill,0.0004844114313223456
