log,target,learner,quality,level,rung,family,n_family,metric,V,se,q_maxt,boot_shift,sim_lo,sim_hi,raw_lo,raw_hi,sim_resolved,raw_resolved
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.100,0.0011762976032936,0.0018149475049383508,4.558657092119184,-0.00039209920109789997,-0.00670532651081973,0.00984212011960273,-0.007097425711917631,0.009450020918504831,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.125,0.0030877812086458,0.0023455916709085676,4.558657092119184,0.0003780956582014501,-0.007983062555358678,0.013402433656247378,-0.007604966897157228,0.013780529314448828,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.150,0.0050598095435792,0.002705012691615097,4.558657092119184,0.001985002205558,-0.009256417952882363,0.015406032628924763,-0.007271415747324363,0.017391034834482764,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.175,0.0108272847575891,0.0038170718595804437,4.558657092119184,0.0012899172581572003,-0.00786335420437305,0.02693808920323685,-0.006573436946215849,0.028228006461394048,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.200,0.0149977944419938,0.005287649186545083,4.558657092119184,0.0054587560652845,-0.014565541088172679,0.033643617841591276,-0.009106785022888178,0.03910237390687578,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.225,0.0360146278298732,0.006947454492425672,4.558657092119184,-0.004190560211733647,0.008534125347535275,0.07187625073567841,0.0043435651358016275,0.06768569052394477,True,True
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.250,0.047198941332157,0.007574144421799643,4.558657092119184,-0.0013233348037052992,0.013994348950690405,0.08305020332103419,0.012671014146985106,0.08172686851732888,True,True
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.275,0.0569338180490698,0.009219892681703508,4.558657092119184,0.002555405138189651,0.012348083748854696,0.0964087420729056,0.014903488887044347,0.09896414721109525,True,True
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.300,0.0725943663746928,0.011662751046481342,4.558657092119184,0.000819207259436544,0.01860867634359365,0.12494164188691886,0.019427883603030195,0.1257608491463554,True,True
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.325,0.0938750837295168,0.01662135436669591,4.558657092119184,-0.00022872453397365655,0.01833275329912598,0.16987486322785494,0.018104028765152325,0.1696461386938813,True,True
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.350,0.1336568151742391,0.022433871899110683,4.558657092119184,-0.005751416646873259,0.0371399025845382,0.24167656105768653,0.03138848593766494,0.23592514441081328,True,True
