log,domain,target,f_rule,g_rule,instrument,base,with_f,base_g,with_gf,naive,honest,reduction
BPIC14,itsm,duration,registered,primary,ap,0.515356584240772,0.6790699689521641,0.561260395733397,0.6850098216538502,0.16371338471139207,0.12374942592045313,0.24410929418746563
BPIC14,itsm,duration,registered,primary,brier_skill,0.0508873296957274,0.1842846376174948,0.08952435768500056,0.1922507974951564,0.1333973079217674,0.10272643981015583,0.22992119248462572
BPIC14,itsm,duration,registered,primary,nagelkerke,0.0672902009674526,0.24159816144369062,0.11674170197998664,0.2511313672573192,0.17430796047623803,0.1343896652773326,0.22901016734888124
BPIC14,itsm,duration,registered,primary,nb_0.2,0.2841331712201402,0.29500429123158345,0.2862609068802746,0.3001537691317408,0.010871120011443247,0.013892862251466187,-0.2779605263157954
BPIC14,itsm,duration,registered,primary,nb_0.3,0.18340928132088194,0.233545170321025,0.18708747982099433,0.23361669084741607,0.05013588900014307,0.04652921102642174,0.07193804768697798
BPIC14,itsm,duration,registered,primary,nb_0.4,0.07633624183473989,0.16943212702045485,0.08422733991322172,0.17153006246125968,0.09309588518571496,0.08730272254803796,0.06222791293213814
BPIC14,itsm,duration,registered,primary,nb_0.5,0.04462880846803032,0.09955657273637535,0.07209269060220283,0.11185810327564011,0.054927764268345024,0.03976541267343728,0.27604166666666674
BPIC14,itsm,duration,amended,primary,auc,0.6177990071528738,0.7467201257898446,0.6542574119051353,0.7501377200803883,0.12892111863697076,0.09588030817525295,0.2562870289293525
BPIC14,itsm,duration,amended,primary,ap,0.515356584240772,0.6790699689521641,0.561260395733397,0.6850098216538502,0.16371338471139207,0.12374942592045313,0.24410929418746563
BPIC14,itsm,duration,amended,primary,brier_skill,0.0508873296957274,0.1842846376174948,0.08952435768500056,0.1922507974951564,0.1333973079217674,0.10272643981015583,0.22992119248462572
BPIC14,itsm,duration,amended,primary,nagelkerke,0.0672902009674526,0.24159816144369062,0.11674170197998664,0.2511313672573192,0.17430796047623803,0.1343896652773326,0.22901016734888124
BPIC14,itsm,duration,amended,primary,nb_0.2,0.2841331712201402,0.29500429123158345,0.2862609068802746,0.3001537691317408,0.010871120011443247,0.013892862251466187,-0.2779605263157954
BPIC14,itsm,duration,amended,primary,nb_0.3,0.18340928132088194,0.233545170321025,0.18708747982099433,0.23361669084741607,0.05013588900014307,0.04652921102642174,0.07193804768697798
BPIC14,itsm,duration,amended,primary,nb_0.4,0.07633624183473989,0.16943212702045485,0.08422733991322172,0.17153006246125968,0.09309588518571496,0.08730272254803796,0.06222791293213814
BPIC14,itsm,duration,amended,primary,nb_0.5,0.04462880846803032,0.09955657273637535,0.07209269060220283,0.11185810327564011,0.054927764268345024,0.03976541267343728,0.27604166666666674
UCI498,itsm,handover,registered,primary,auc,0.8160191064345315,0.8033313591173337,0.9448559087981256,0.9415231246606853,-0.012687747317197795,-0.0033327841374403144,
UCI498,itsm,handover,registered,primary,ap,0.7652237933878071,0.7555003412842005,0.946207441123349,0.9452827691646489,-0.009723452103606589,-0.0009246719587000518,
UCI498,itsm,handover,registered,primary,brier_skill,0.32229949957781323,0.29864420022815097,0.725707070609839,0.7188468271727455,-0.023655299349662262,-0.006860243437093461,
UCI498,itsm,handover,registered,primary,nagelkerke,0.4106417427443945,0.38184202866553685,0.7818413250044519,0.7768742734094345,-0.028799714078857674,-0.004967051595017424,
UCI498,itsm,handover,registered,primary,nb_0.2,0.30965757089352597,0.3073836276083467,0.3537988228999465,0.3522271268057785,-0.0022739432851792696,-0.001571696094168018,
UCI498,itsm,handover,registered,primary,nb_0.3,0.2646564243674998,0.2616563479324314,0.3458113582511656,0.3423717801727432,-0.0030000764350683884,-0.0034395780784223784,
UCI498,itsm,handover,registered,primary,nb_0.4,0.21219011949349026,0.20135544854645976,0.34109149277688605,0.3385054396290351,-0.0108346709470305,-0.0025860531478509308,
UCI498,itsm,handover,registered,primary,nb_0.5,0.14820759764579988,0.135366506153023,0.33747993579454255,0.33614232209737827,-0.012841091492776874,-0.001337613697164286,
UCI498,itsm,handover,registered,alt,auc,0.8160191064345315,0.8033313591173337,0.8159820118389789,0.8030165325103279,-0.012687747317197795,-0.012965479328650997,
UCI498,itsm,handover,registered,alt,ap,0.7652237933878071,0.7555003412842005,0.7657630487544235,0.7548454290882365,-0.009723452103606589,-0.010917619666186984,
UCI498,itsm,handover,registered,alt,brier_skill,0.32229949957781323,0.29864420022815097,0.322375553677568,0.29770137529089913,-0.023655299349662262,-0.024674178386668855,
UCI498,itsm,handover,registered,alt,nagelkerke,0.4106417427443945,0.38184202866553685,0.41096799060169426,0.3807700162649973,-0.028799714078857674,-0.030197974336696964,
UCI498,itsm,handover,registered,alt,nb_0.2,0.30965757089352597,0.3073836276083467,0.3102260567148208,0.3073167469234885,-0.0022739432851792696,-0.002909309791332304,
UCI498,itsm,handover,registered,alt,nb_0.3,0.2646564243674998,0.2616563479324314,0.2646755331346022,0.2613697164258962,-0.0030000764350683884,-0.0033058167087059998,
UCI498,itsm,handover,registered,alt,nb_0.4,0.21219011949349026,0.20135544854645976,0.2123238808632067,0.20122168717674335,-0.0108346709470305,-0.01110219368646334,
UCI498,itsm,handover,registered,alt,nb_0.5,0.14820759764579988,0.135366506153023,0.1487426431246656,0.13509898341359017,-0.012841091492776874,-0.013643659711075423,
UCI498,itsm,handover,amended,primary,auc,0.8160191064345315,0.8033313591173337,0.9448559087981256,0.9415231246606853,-0.012687747317197795,-0.0033327841374403144,
UCI498,itsm,handover,amended,primary,ap,0.7652237933878071,0.7555003412842005,0.946207441123349,0.9452827691646489,-0.009723452103606589,-0.0009246719587000518,
UCI498,itsm,handover,amended,primary,brier_skill,0.32229949957781323,0.29864420022815097,0.725707070609839,0.7188468271727455,-0.023655299349662262,-0.006860243437093461,
UCI498,itsm,handover,amended,primary,nagelkerke,0.4106417427443945,0.38184202866553685,0.7818413250044519,0.7768742734094345,-0.028799714078857674,-0.004967051595017424,
UCI498,itsm,handover,amended,primary,nb_0.2,0.30965757089352597,0.3073836276083467,0.3537988228999465,0.3522271268057785,-0.0022739432851792696,-0.001571696094168018,
UCI498,itsm,handover,amended,primary,nb_0.3,0.2646564243674998,0.2616563479324314,0.3458113582511656,0.3423717801727432,-0.0030000764350683884,-0.0034395780784223784,
UCI498,itsm,handover,amended,primary,nb_0.4,0.21219011949349026,0.20135544854645976,0.34109149277688605,0.3385054396290351,-0.0108346709470305,-0.0025860531478509308,
UCI498,itsm,handover,amended,primary,nb_0.5,0.14820759764579988,0.135366506153023,0.33747993579454255,0.33614232209737827,-0.012841091492776874,-0.001337613697164286,
UCI498,itsm,handover,amended,alt,auc,0.8160191064345315,0.8033313591173337,0.8159820118389789,0.8030165325103279,-0.012687747317197795,-0.012965479328650997,
UCI498,itsm,handover,amended,alt,ap,0.7652237933878071,0.7555003412842005,0.7657630487544235,0.7548454290882365,-0.009723452103606589,-0.010917619666186984,
UCI498,itsm,handover,amended,alt,brier_skill,0.32229949957781323,0.29864420022815097,0.322375553677568,0.29770137529089913,-0.023655299349662262,-0.024674178386668855,
UCI498,itsm,handover,amended,alt,nagelkerke,0.4106417427443945,0.38184202866553685,0.41096799060169426,0.3807700162649973,-0.028799714078857674,-0.030197974336696964,
UCI498,itsm,handover,amended,alt,nb_0.2,0.30965757089352597,0.3073836276083467,0.3102260567148208,0.3073167469234885,-0.0022739432851792696,-0.002909309791332304,
UCI498,itsm,handover,amended,alt,nb_0.3,0.2646564243674998,0.2616563479324314,0.2646755331346022,0.2613697164258962,-0.0030000764350683884,-0.0033058167087059998,
UCI498,itsm,handover,amended,alt,nb_0.4,0.21219011949349026,0.20135544854645976,0.2123238808632067,0.20122168717674335,-0.0108346709470305,-0.01110219368646334,
UCI498,itsm,handover,amended,alt,nb_0.5,0.14820759764579988,0.135366506153023,0.1487426431246656,0.13509898341359017,-0.012841091492776874,-0.013643659711075423,
UCI498,itsm,duration,registered,primary,auc,0.7557419761858665,0.7562317021085078,0.7869393799504498,0.7800710779658568,0.0004897259226412931,-0.006868301984592984,15.024787472040298
UCI498,itsm,duration,registered,primary,ap,0.522187706759589,0.529213929738981,0.5662837482767293,0.5596452503647189,0.007026222979391927,-0.006638497912010433,1.9448174263016273
UCI498,itsm,duration,registered,primary,brier_skill,0.26444359770695436,0.27063689155131454,0.3035216528297412,0.2949234741386283,0.0061932938443601815,-0.008598178691112901,2.388304657777975
UCI498,itsm,duration,registered,primary,nagelkerke,0.33276407722308754,0.3331541910137399,0.3761386152798396,0.3624121950543189,0.00039011379065234664,-0.01372642022552073,36.18568313764932
