log,target,block,n,prevalence,base_auc,with_auc,V,unseen_share,V_whole,spread_null_median,spread_percentile,n_perm
BPIC15_3,duration,4,85,0.32941176470588235,0.8264411027568923,0.8311403508771931,0.0046992481203007586,0.08235294117647059,0.03537958999774726,0.06813362864525663,0.225,400
BPIC15_3,handover,0,84,0.9166666666666666,0.806122448979592,0.8265306122448979,0.020408163265305923,0.047619047619047616,-0.0030352480417754624,0.07372630719149709,0.835,400
BPIC15_3,handover,1,85,0.9176470588235294,0.9487179487179488,0.8956043956043955,-0.05311355311355326,0.07058823529411765,-0.0030352480417754624,0.07372630719149709,0.835,400
BPIC15_3,handover,2,84,0.9166666666666666,0.8905380333951762,0.8905380333951762,0.0,0.10714285714285714,-0.0030352480417754624,0.07372630719149709,0.835,400
BPIC15_3,handover,3,85,0.9294117647058824,0.7658227848101266,0.8143459915611814,0.048523206751054815,0.08235294117647059,-0.0030352480417754624,0.07372630719149709,0.835,400
BPIC15_3,handover,4,85,0.8470588235294118,0.9871794871794872,0.9711538461538461,-0.01602564102564108,0.08235294117647059,-0.0030352480417754624,0.07372630719149709,0.835,400
BPIC15_4,duration,0,63,0.5555555555555556,0.6010204081632654,0.6076530612244898,0.006632653061224403,0.031746031746031744,0.034751365334866335,0.047733975304152354,0.9275,400
BPIC15_4,duration,1,63,0.38095238095238093,0.6672008547008548,0.7104700854700855,0.043269230769230727,0.0,0.034751365334866335,0.047733975304152354,0.9275,400
BPIC15_4,duration,2,63,0.14285714285714285,0.537037037037037,0.559670781893004,0.02263374485596703,0.015873015873015872,0.034751365334866335,0.047733975304152354,0.9275,400
BPIC15_4,duration,3,63,0.047619047619047616,0.9694444444444444,0.9333333333333332,-0.036111111111111205,0.06349206349206349,0.034751365334866335,0.047733975304152354,0.9275,400
BPIC15_4,duration,4,64,0.0,,,,0.015625,0.034751365334866335,0.047733975304152354,0.9275,400
BPIC15_4,handover,0,63,0.9841269841269841,1.0,1.0,0.0,0.031746031746031744,0.001477233229058128,0.03792446317767162,0.92,400
BPIC15_4,handover,1,63,0.9047619047619048,0.75,0.75,0.0,0.0,0.001477233229058128,0.03792446317767162,0.92,400
BPIC15_4,handover,2,63,0.9206349206349206,0.7241379310344827,0.6827586206896552,-0.04137931034482745,0.015873015873015872,0.001477233229058128,0.03792446317767162,0.92,400
BPIC15_4,handover,3,63,0.8253968253968254,0.7657342657342657,0.7666083916083917,0.0008741258741259417,0.06349206349206349,0.001477233229058128,0.03792446317767162,0.92,400
