log,target,metric,split_set,S_learner,S_quality,S_rung,largest_first_order,largest_first_order_axis,interaction_total,var_foldavg,var_pooled,var_ratio,n_folds
BPIC15_3,duration,brier_skill,all,0.010543576356429765,0.3639440905636236,0.10109316549219288,0.3639440905636236,quality_level,0.5244191675877538,0.005038191766693717,0.02253474414013812,0.22357439407176857,6
BPIC15_3,duration,logloss_skill,all,0.0895576373271559,0.21066632374569474,0.1321434135955413,0.21066632374569474,quality_level,0.5676326253316081,0.004615161860253076,0.027472114204325455,0.16799441884696387,6
BPIC15_3,duration,nagelkerke,all,0.01935067611543555,0.14476861192680637,0.28457096513299257,0.28457096513299257,rung,0.5513097468247655,0.03841052901604817,0.2536734162728159,0.15141724182379102,6
BPIC15_3,handover,ap,all,0.004657665768553376,0.04120051842574397,0.8971036103253484,0.8971036103253484,rung,0.05703820548035432,8.468598984082223e-05,0.0003542619788972784,0.23904905094367387,6
BPIC15_3,handover,auc,all,0.08838503241911586,0.011149337755647191,0.840922376217281,0.840922376217281,rung,0.05954325360795587,0.0008921933005621032,0.00372578356017999,0.23946460822297524,6
BPIC15_3,handover,brier_skill,all,0.06502667379811582,0.08228834630089184,0.3117455513228227,0.3117455513228227,rung,0.5409394285781697,0.007174743343817204,0.03377402593404352,0.21243376071980835,6
BPIC15_3,handover,logloss_skill,all,2.2866253983203207e-05,0.008736583193043395,0.43507588811405673,0.43507588811405673,rung,0.5561646624389167,0.029488868918401523,0.09987638481543774,0.2952536675500841,6
BPIC15_3,handover,nagelkerke,all,0.006574620494843736,0.013129500449049328,0.4414412474883684,0.4414412474883684,rung,0.5388546315677385,0.15523089544731875,0.5644009854279194,0.27503654220168533,6
BPIC15_4,duration,ap,all,0.04027987083221976,0.2416626128797805,0.17953604500396042,0.2416626128797805,quality_level,0.5385214712840394,0.00019797789621381104,0.0019448852647120348,0.10179412626848412,6
BPIC15_4,duration,auc,all,0.13438924362147814,0.05247111054516014,0.14378747903428404,0.14378747903428404,rung,0.6693521667990776,0.0001402080197823385,0.0018041973860167663,0.07771212887736417,6
