log,target,metric,measure,sum_first_order,interaction_total,largest_involvement,largest_involvement_axis,largest_first_order,largest_first_order_axis,var,mean,n_cells,check_sum,scale
UCI498,duration,nagelkerke,equal-level,0.5452834065653881,0.4547165934346119,0.4173075652904976,split,0.45273609602140663,split,0.0004371381741290879,-0.004767601513744862,216,1.0000000000000002,raw-within-metric
UCI498,handover,ap,equal-level,0.7385225878252757,0.2614774121747243,0.22588677177726613,rung,0.6703253067514323,rung,0.0002674207731914122,0.009879174023757003,216,1.0,raw-within-metric
UCI498,handover,auc,equal-level,0.7908938506312579,0.20910614936874206,0.18201632095095188,rung,0.7177367321884496,rung,0.0005309263069708198,0.011493346571331026,216,1.0000000000000002,raw-within-metric
UCI498,handover,brier_skill,equal-level,0.6100306103874944,0.3899693896125056,0.28474381262361953,rung,0.2867836040347122,rung,0.00019640216407208915,-0.0005952813032752244,216,1.0000000000000002,raw-within-metric
UCI498,handover,logloss_skill,equal-level,0.5811050342241384,0.4188949657758616,0.3088890570621241,split,0.2626213195507857,rung,0.00016032153286842332,-0.0004890726770221932,216,0.9999999999999998,raw-within-metric
UCI498,handover,nagelkerke,equal-level,0.5268542012866294,0.4731457987133706,0.37277256264183567,rung,0.23881567131203826,rung,0.0004342560757934188,0.001076257124689053,216,0.9999999999999999,raw-within-metric
BPIC13_closed,handover,ap,reference,0.47192518418748974,0.5280748158125103,0.4713112909528711,split,0.3123676525310986,split,0.0008509314257054085,-0.016238897977057826,216,1.0000000000000002,raw-within-metric
BPIC13_closed,handover,auc,reference,0.4398704262235205,0.5601295737764795,0.5101373638504655,split,0.2533679794871292,split,0.0006391871579262558,-0.006677360283946747,216,0.9999999999999998,raw-within-metric
BPIC13_closed,handover,brier_skill,reference,0.5054315164634431,0.4945684835365569,0.36107736376973043,rung,0.19970826127755825,rung,0.005357392982972814,-0.03733361472596151,216,0.9999999999999998,raw-within-metric
BPIC13_closed,handover,logloss_skill,reference,0.5324693421791682,0.4675306578208318,0.36538504532853333,split,0.2242750237750989,split,0.013675419540317861,-0.06398110063143045,216,0.9999999999999999,raw-within-metric
BPIC13_closed,handover,nagelkerke,reference,0.44970430146963614,0.5502956985303639,0.44511476791157256,split,0.19151647057619,split,0.2308150757173299,-0.20891366455958774,216,1.0,raw-within-metric
BPIC13_incidents,duration,ap,reference,0.6608860706838939,0.33911392931610607,0.27975087656755726,split,0.28772858092590936,split,0.0008208076819638834,0.0212144257091626,216,0.9999999999999999,raw-within-metric
BPIC13_incidents,duration,auc,reference,0.7221647500248413,0.27783524997515874,0.23750003844812057,rung,0.2902929116906769,split,0.0011331580946980088,0.030059970192102676,216,1.0,raw-within-metric
BPIC13_incidents,duration,brier_skill,reference,0.36826678082287917,0.6317332191771208,0.5388807227755965,split,0.26983955362885553,split,0.0017625402492431343,0.006413098242160576,216,1.0,raw-within-metric
BPIC13_incidents,duration,logloss_skill,reference,0.5035774751429845,0.49642252485701555,0.4411251187688301,split,0.4220478624207551,split,0.00648321867963887,-0.010068988737530923,216,0.9999999999999997,raw-within-metric
BPIC13_incidents,duration,nagelkerke,reference,0.2795950651672474,0.7204049348327526,0.6841163841626864,split,0.23774118603635486,split,1.6084596655578796,-0.1929277416250981,216,1.0,raw-within-metric
BPIC13_incidents,handover,ap,reference,0.9121972962196896,0.08780270378031041,0.05970424806872299,rung,0.7746896156304259,rung,0.0014519811409001385,0.034178156320574235,216,1.0,raw-within-metric
BPIC13_incidents,handover,auc,reference,0.8867370501541451,0.11326294984585494,0.06577150966695416,quality_level,0.626428194161934,rung,0.0015249105065782893,0.041218231402961714,216,1.0,raw-within-metric
