family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling
decision-curve,gaussian,248,200,q_emp_hi,3,1.0,248.0,5.773502691896258e-07,1.0,0.9556451612903226,7.754660119855415,3.894772360995269,3.0190206286268584,0.777821256767023,0.0,0.0,0.0,-0.08985034134956038,0.37228833284584306,0.0
decision-curve,gaussian,248,200,q_rad,3,1.0,248.0,5.773502691896258e-07,1.0,0.9556451612903226,7.268424425964601,3.63753170053367,3.0190206286268584,0.8292316042600381,0.0,0.0,0.0,-0.08985034134956038,0.37228833284584306,0.0
decision-curve,gaussian,1100,400,q_mult,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9630303030303029,8.096081180014702,4.034676966638716,3.331736370718281,0.8270882832856573,0.0,0.0,0.0,-0.040596052706058705,0.291898234679946,0.0
decision-curve,gaussian,1100,400,q_mult_hi,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9630303030303029,8.128182125481404,4.050902250116249,3.331736370718281,0.8238268891244568,0.0,0.0,0.0,-0.040596052706058705,0.291898234679946,0.0
decision-curve,gaussian,1100,400,q_emp,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9630303030303029,7.937457931111973,3.9712727018915417,3.331736370718281,0.8364207894321584,0.0,0.0,0.0,-0.040596052706058705,0.291898234679946,0.0
decision-curve,gaussian,1100,400,q_emp_hi,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9630303030303029,8.207840488546095,4.080230992660897,3.331736370718281,0.816711052104247,0.0,0.0,0.0,-0.040596052706058705,0.291898234679946,0.0
decision-curve,gaussian,1100,400,q_rad,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9630303030303029,8.050162609550101,4.010415532942834,3.331736370718281,0.8291250334532739,0.0,0.0,0.0,-0.040596052706058705,0.291898234679946,0.0
decision-curve,heavy,248,200,q_mult,3,1.0,248.0,5.773502691896258e-07,1.0,0.9422043010752689,7.248962540645081,3.6718532247417532,3.182691107014195,0.8667556457621177,0.0,0.0,0.0,0.9918405331064686,10.690949406380808,0.0
decision-curve,heavy,248,200,q_mult_hi,3,1.0,248.0,5.773502691896258e-07,1.0,0.9422043010752689,7.2862116563750545,3.691285379317613,3.182691107014195,0.8621467084583744,0.0,0.0,0.0,0.9918405331064686,10.690949406380808,0.0
decision-curve,heavy,248,200,q_emp,3,1.0,248.0,5.773502691896258e-07,1.0,0.9422043010752689,12.635611809895204,6.412447823456857,3.182691107014195,0.5032766940151014,0.0,0.0,0.0,0.9918405331064686,10.690949406380808,0.0
decision-curve,heavy,248,200,q_emp_hi,3,1.0,248.0,5.773502691896258e-07,1.0,0.9422043010752689,14.817586382945954,7.497131588196984,3.182691107014195,0.4206368335929221,0.0,0.0,0.0,0.9918405331064686,10.690949406380808,0.0
