log,target,admitted,threshold_measure,rule,n_cells,adopts,loss_per_1000,excess_per_1000,rel_excess,share_positive,mean_dnb_per_1000
BPIC14,duration,True,fixed 1:19,weighted-mean,248,False,0.0,0.0,,0.0,-0.15903906526434394
BPIC14,handover,True,uniform over the declared range,one-number,248,True,0.09747319712646947,0.0,0.0,0.7500000000000006,9.178395734524468
BPIC14,handover,True,uniform over the declared range,uniform-beneficial,248,False,9.275868931650937,9.178395734524468,94.16327775332627,0.7500000000000006,9.178395734524468
BPIC14,handover,True,uniform over the declared range,majority,248,True,0.09747319712646947,0.0,0.0,0.7500000000000006,9.178395734524468
BPIC14,handover,True,uniform over the declared range,weighted-mean,248,True,0.09747319712646947,0.0,0.0,0.7500000000000006,9.178395734524468
BPIC14,handover,True,desk distribution,one-number,248,True,0.03560870584790833,0.0,0.0,0.5614402896324929,1.2198205197820682
BPIC14,handover,True,desk distribution,uniform-beneficial,248,False,1.2554292256299764,1.2198205197820682,34.256244104802846,0.5614402896324929,1.2198205197820682
BPIC14,handover,True,desk distribution,majority,248,True,0.03560870584790833,0.0,0.0,0.5614402896324929,1.2198205197820682
BPIC14,handover,True,desk distribution,weighted-mean,248,True,0.03560870584790833,0.0,0.0,0.5614402896324929,1.2198205197820682
BPIC14,handover,True,fixed 1:2,one-number,248,True,0.0,0.0,,1.0,3.1233940992915947
BPIC14,handover,True,fixed 1:2,uniform-beneficial,248,False,3.1233940992915947,3.1233940992915947,,1.0,3.1233940992915947
BPIC14,handover,True,fixed 1:2,majority,248,True,0.0,0.0,,1.0,3.1233940992915947
BPIC14,handover,True,fixed 1:2,weighted-mean,248,True,0.0,0.0,,1.0,3.1233940992915947
BPIC14,handover,True,fixed 1:4,one-number,248,True,0.0,0.0,,1.0,1.1733836361034375
BPIC14,handover,True,fixed 1:4,uniform-beneficial,248,False,1.1733836361034375,1.1733836361034375,,1.0,1.1733836361034375
BPIC14,handover,True,fixed 1:4,majority,248,True,0.0,0.0,,1.0,1.1733836361034375
BPIC14,handover,True,fixed 1:4,weighted-mean,248,True,0.0,0.0,,1.0,1.1733836361034375
BPIC14,handover,True,fixed 1:9,one-number,248,True,0.0,0.0,,0.0,0.0
BPIC14,handover,True,fixed 1:9,uniform-beneficial,248,False,0.0,0.0,,0.0,0.0
BPIC14,handover,True,fixed 1:9,majority,248,False,0.0,0.0,,0.0,0.0
BPIC14,handover,True,fixed 1:9,weighted-mean,248,False,0.0,0.0,,0.0,0.0
BPIC14,handover,True,fixed 1:19,one-number,248,True,0.0,0.0,,0.0,0.0
BPIC14,handover,True,fixed 1:19,uniform-beneficial,248,False,0.0,0.0,,0.0,0.0
BPIC14,handover,True,fixed 1:19,majority,248,False,0.0,0.0,,0.0,0.0
BPIC14,handover,True,fixed 1:19,weighted-mean,248,False,0.0,0.0,,0.0,0.0
