log,target,threshold,unit,excess_one_number,excess_majority,excess_uniform,share_positive
BPIC14,duration,0.425,net benefit (true positives per case),0.0,0.0,0.059555997462576095,0.75
BPIC14,duration,0.45,net benefit (true positives per case),0.0,0.0,0.06888483244691221,0.875
BPIC14,duration,0.475,net benefit (true positives per case),0.0,0.0,0.0,1.0
BPIC14,duration,0.5,net benefit (true positives per case),0.0,0.0,0.03083428694035185,0.75
BPIC14,duration,0.525,net benefit (true positives per case),0.0,0.0,0.0225647260763839,0.75
BPIC14,duration,0.55,net benefit (true positives per case),0.0,0.0,0.018939032724614138,0.625
BPIC14,duration,0.575,net benefit (true positives per case),0.0,0.0,0.014462397031477437,0.75
BPIC14,duration,0.6,net benefit (true positives per case),0.0,0.0,0.02486679301959661,0.75
BPIC14,duration,0.625,net benefit (true positives per case),0.0,0.0,0.031775973871167665,0.875
BPIC14,duration,0.65,net benefit (true positives per case),0.0,0.0,0.0,1.0
BPIC14,duration,0.675,net benefit (true positives per case),0.0,0.0,0.04882101163033786,0.875
BPIC14,duration,0.7,net benefit (true positives per case),0.0,0.0,0.02825954799027319,0.75
BPIC14,duration,0.725,net benefit (true positives per case),0.0,0.0,0.02239080115993286,0.75
BPIC14,duration,0.75,net benefit (true positives per case),0.0,0.0,0.014992490344728899,0.75
BPIC14,duration,0.775,net benefit (true positives per case),0.0,0.0,0.00876921120806111,0.75
BPIC14,duration,0.8,net benefit (true positives per case),0.0,0.0,0.0103883564583035,0.75
BPIC14,handover,0.05,net benefit (true positives per case),0.0,0.0,0.0,0.0
BPIC14,handover,0.075,net benefit (true positives per case),0.0,0.0,0.0,0.0
BPIC14,handover,0.1,net benefit (true positives per case),0.0,0.0,0.0,0.0
BPIC14,handover,0.125,net benefit (true positives per case),0.0,0.0,0.0,0.0
BPIC14,handover,0.15,net benefit (true positives per case),0.0,0.0,0.0,0.0
BPIC14,handover,0.175,net benefit (true positives per case),0.0,0.0,0.0005819170101819174,0.75
BPIC14,handover,0.2,net benefit (true positives per case),0.0,0.0,0.0,1.0
BPIC14,handover,0.225,net benefit (true positives per case),0.0,0.0,0.0013741746300542498,0.875
BPIC14,handover,0.25,net benefit (true positives per case),0.0,0.0,0.0017075525675867875,0.875
BPIC14,handover,0.275,net benefit (true positives per case),0.0,0.0,0.0,1.0
BPIC14,handover,0.3,net benefit (true positives per case),0.0,0.0,0.0024738439217768943,0.875
BPIC14,handover,0.325,net benefit (true positives per case),0.0,0.0,0.0,1.0
BPIC14,handover,0.35,net benefit (true positives per case),0.0,0.0,0.0037328213197186503,0.875
BPIC14,handover,0.375,net benefit (true positives per case),0.0,0.0,0.0042805035045057754,0.75
BPIC14,handover,0.4,net benefit (true positives per case),0.0,0.0,0.00576038239641435,0.875
BPIC14,handover,0.425,net benefit (true positives per case),0.0,0.0,0.0,1.0
BPIC14,handover,0.45,net benefit (true positives per case),0.0,0.0,0.0,1.0
BPIC14,handover,0.475,net benefit (true positives per case),0.0,0.0,0.008361090109051712,0.875
BPIC14,handover,0.5,net benefit (true positives per case),0.0,0.0,0.009324488628236214,0.875
BPIC14,handover,0.525,net benefit (true positives per case),0.0,0.0,0.00931413697310075,0.75
BPIC14,handover,0.55,net benefit (true positives per case),0.0,0.0,0.009240054673469075,0.875
BPIC14,handover,0.575,net benefit (true positives per case),0.0,0.0,0.015923308960259775,0.875
BPIC14,handover,0.6,net benefit (true positives per case),0.0,0.0,0.0,1.0
BPIC14,handover,0.625,net benefit (true positives per case),0.0,0.0,0.006973251323129701,0.75
BPIC14,handover,0.65,net benefit (true positives per case),0.0,0.0,0.009622065104113387,0.875
BPIC14,handover,0.675,net benefit (true positives per case),0.0,0.0,0.013630849553821899,0.875
