instrument,family,threshold,reduction_raw,reduction_recal,shift,rank_invariant,naive_raw,honest_raw,naive_recal,honest_recal
Net benefit @ p_t=0.225,decision,0.225,0.1237990234682621,0.15589179275561837,0.03209276928735627,False,0.03003687784892617,0.026318341703193637,0.03095468448031566,0.02612910322249473
Net benefit @ p_t=0.25,decision,0.25,0.14373464373464406,0.12773951158422114,-0.01599513215042292,False,0.03979369851629147,0.03407396543716848,0.03903595609982646,0.03404952213341153
Net benefit @ p_t=0.275,decision,0.275,0.11406161406161397,0.08881128781086278,-0.025250326250751187,False,0.0535156635219092,0.047411580563022,0.05358393619791996,0.04882507781820758
Net benefit @ p_t=0.3,decision,0.3,0.07076461769115483,0.09184109354976544,0.02107647585861061,False,0.06987292973946933,0.06492839857949487,0.07357085240784006,0.06681402486931563
Net benefit @ p_t=0.325,decision,0.325,0.06349485018726553,0.31697305538452536,0.25347820519725983,False,0.09281937213300412,0.08692582000494298,0.09263197347086768,0.06327013381350846
Net benefit @ p_t=0.35,decision,0.35,0.4352089304570823,0.47528809218950063,0.04007916173241832,False,0.11217784195711894,0.06335704333797759,0.11013588596634723,0.05778961084380166
Net benefit @ p_t=0.375,decision,0.375,0.6483735339676919,0.5234878722750995,-0.12488566169259241,False,0.13255114761311135,0.046608491603725155,0.09553420840360782,0.04552320891691723
Net benefit @ p_t=0.4,decision,0.4,0.5813836477987424,0.6658091072806795,0.08442545948193714,False,0.09716213243381976,0.040673657451541126,0.09501112170320941,0.03175185158025956
Net benefit @ p_t=0.425,decision,0.425,0.8888804726556583,0.889941006275129,0.0010605336194706716,False,0.08418273813888685,0.009354346072545594,0.08484908385434767,0.00933840478748671
Net benefit @ p_t=0.45,decision,0.45,1.0120763141871323,1.0278570725465104,0.01578075835937809,False,0.06569026778750325,-0.0007932963128387399,0.06772350623637563,-0.001886578626330765
Net benefit @ p_t=0.475,decision,0.475,1.168221110100091,1.1731446755313104,0.004923565431219412,False,0.0614015790374227,-0.010329041787573726,0.061450465644936586,-0.01063982093534048
Net benefit @ p_t=0.5,decision,0.5,1.1918047079337402,1.215841584158416,0.024036876224675874,False,0.08410940822761603,-0.01613258047957762,0.07406321038351543,-0.01598592065703601
Net benefit @ p_t=0.525,decision,0.525,1.2766840427147121,1.272033898305085,-0.004650144409627188,False,0.0762592482526254,-0.021099717100921248,0.07742094842591556,-0.021061122410778732
Net benefit @ p_t=0.55,decision,0.55,0.9568079640333977,0.9547852298417486,-0.0020227341916491115,False,0.05074429859939867,0.00219174957020523,0.06487252817090756,0.0029331964508322733
Net benefit @ p_t=0.575,decision,0.575,1.3409570724841662,1.1214123006833712,-0.219544771800795,False,0.0367771072644061,-0.012539414827308061,0.037872742409275816,-0.004598216789098858
Net benefit @ p_t=0.6,decision,0.6,0.9558011049723755,0.9576587795765875,0.0018576746042120451,False,0.039818141820048406,0.0017599178704993876,0.02944195937522917,0.0012466084916037332
Net benefit @ p_t=0.625,decision,0.625,0.8891786179921775,0.8631039531478772,-0.02607466484430021,False,0.03749602796313949,0.004155361638679078,0.033389552931974285,0.004570897802546985
Net benefit @ p_t=0.65,decision,0.65,0.882566248256625,0.9195258889582035,0.03695964070157853,False,0.03755539027226348,0.004410270377858551,0.03358509936202976,0.0027027310154097497
Net benefit @ p_t=0.675,decision,0.675,0.7363744861424215,0.6749824314827829,-0.061392054659638595,False,0.04253698929947371,0.011213835662028077,0.03210721961180272,0.010435410450076427
Net benefit @ p_t=0.7,decision,0.7,0.7927076299797433,0.775579809004093,-0.017127820975650354,False,0.03620053286402191,0.007504094253379293,0.03583388330766787,0.008041846936031868
Net benefit @ p_t=0.725,decision,0.725,0.7516845025762985,0.7233602317401199,-0.02832427083617861,False,0.03363843020659036,0.008352943529301951,0.032218496470164726,0.008912917397188136
Net benefit @ p_t=0.75,decision,0.75,0.4987775061124693,0.684729064039409,0.18595155792693974,False,0.02999193370976021,0.015032631810515514,0.02977194397594779,0.009386228642663336
Net benefit @ p_t=0.775,decision,0.775,0.4657402970771439,0.2933923490357252,-0.17234794804141873,False,0.03400878329381665,0.018169522459322275,0.02577138992772929,0.018210261298917167
Net benefit @ p_t=0.8,decision,0.8,0.32066508313539155,0.32603406326034023,0.005368980124948686,False,0.030871892645009894,0.020972354623450915,0.030138593532301822,0.02031238542201365
