log,target,rung,learner,arm,best_calibration
Sepsis,duration,B_intake_g,hgb,with_f,isotonic
Sepsis,duration,B_intake_g,hgb,without_f,platt
Sepsis,duration,B_intake_g,logit,with_f,platt
Sepsis,duration,B_intake_g,logit,without_f,platt
UCI498,duration,B_half,hgb,with_f,raw
UCI498,duration,B_half,hgb,without_f,raw
UCI498,duration,B_half,logit,with_f,isotonic
UCI498,duration,B_half,logit,without_f,raw
UCI498,duration,B_intake,hgb,with_f,raw
UCI498,duration,B_intake,hgb,without_f,raw
UCI498,duration,B_intake,logit,with_f,raw
UCI498,duration,B_intake,logit,without_f,raw
UCI498,duration,B_intake_g,hgb,with_f,raw
UCI498,duration,B_intake_g,hgb,without_f,raw
UCI498,duration,B_intake_g,logit,with_f,raw
UCI498,duration,B_intake_g,logit,without_f,raw
UCI498,handover,B_half,hgb,with_f,raw
UCI498,handover,B_half,hgb,without_f,raw
UCI498,handover,B_half,logit,with_f,isotonic
UCI498,handover,B_half,logit,without_f,raw
UCI498,handover,B_intake,hgb,with_f,raw
UCI498,handover,B_intake,hgb,without_f,raw
UCI498,handover,B_intake,logit,with_f,isotonic
UCI498,handover,B_intake,logit,without_f,isotonic
UCI498,handover,B_intake_g,hgb,with_f,raw
UCI498,handover,B_intake_g,hgb,without_f,raw
UCI498,handover,B_intake_g,logit,with_f,raw
UCI498,handover,B_intake_g,logit,without_f,raw
