split,quality,level,rung,learner,metric,without_f,with_f,V,log,target,rank
rolling1,clean,1.0,B_intake_g,logit,auc,0.9555349698934693,0.9564613246873552,0.0009263547938859196,BPIC15_1,handover,10
holdout70,mask_rare,0.5,B_intake,hgb,auc,0.9323190226079014,0.9334893811372459,0.0011703585293444396,BPIC15_1,handover,11
rolling1,mask_rare,0.5,B_intake_g,logit,auc,0.9555349698934693,0.9571560907827698,0.0016211208893004425,BPIC15_1,handover,12
holdout70,mask_rare,0.5,B_intake_g,logit,auc,0.9440511532313313,0.9457638730303723,0.0017127197990410847,BPIC15_1,handover,13
holdout70,clean,1.0,B_intake,logit,auc,0.947419502169445,0.951130395067367,0.0037108928979219247,BPIC15_1,handover,14
holdout70,mask_rare,0.5,B_half,hgb,auc,0.7647579356017357,0.7708666362183147,0.006108700616579088,BPIC15_1,handover,15
holdout70,clean,1.0,B_intake_g,logit,auc,0.9440511532313313,0.951130395067367,0.007079241836035699,BPIC15_1,handover,16
holdout70,clean,1.0,B_intake_g,hgb,auc,0.9502740351678467,0.9635761589403972,0.013302123772550467,BPIC15_1,handover,17
holdout70,clean,1.0,B_intake,hgb,auc,0.9323190226079014,0.958637816853163,0.026318794245261512,BPIC15_1,handover,18
holdout70,clean,1.0,B_half,hgb,auc,0.7647579356017357,0.8096882849965745,0.044930349394838864,BPIC15_1,handover,19
holdout70,mask_rare,0.5,B_half,logit,auc,0.7537679835578901,0.8019525005709066,0.048184517013016515,BPIC15_1,handover,20
rolling1,clean,1.0,B_half,hgb,auc,0.6354793886058361,0.6910606762389995,0.05558128763316339,BPIC15_1,handover,21
rolling1,clean,1.0,B_half,logit,auc,0.7424733672996758,0.8205187586845762,0.07804539138490041,BPIC15_1,handover,22
holdout70,clean,1.0,B_half,logit,auc,0.7537679835578901,0.8484528431148664,0.09468485955697625,BPIC15_1,handover,23
rolling1,mask_rare,0.5,B_half,logit,auc,0.7424733672996758,0.8443723946271423,0.10189902732746647,BPIC15_1,handover,24
holdout70,mask_rare,0.5,B_half,hgb,auc,0.6340391980175715,0.5891529623789142,-0.044886235638657235,BPIC15_3,duration,1
holdout70,clean,1.0,B_half,hgb,auc,0.6340391980175715,0.646102725839153,0.012063527821581488,BPIC15_3,duration,2
holdout70,mask_rare,0.5,B_intake_g,logit,auc,0.7426560036044154,0.7729443568371255,0.030288353232710064,BPIC15_3,duration,3
holdout70,mask_rare,0.5,B_intake,logit,auc,0.7411015994593375,0.7723135841405722,0.03121198468123465,BPIC15_3,duration,4
holdout70,clean,1.0,B_intake_g,logit,auc,0.7426560036044154,0.7780355936021627,0.03537958999774726,BPIC15_3,duration,5
holdout70,clean,1.0,B_intake,logit,auc,0.7411015994593375,0.7773597657129985,0.03625816625366096,BPIC15_3,duration,6
rolling1,mask_rare,0.5,B_intake_g,logit,auc,0.5232443820224719,0.5845505617977528,0.061306179775280856,BPIC15_3,duration,7
rolling1,mask_rare,0.5,B_intake,logit,auc,0.5211376404494382,0.5941713483146068,0.0730337078651686,BPIC15_3,duration,8
rolling1,mask_rare,0.5,B_half,logit,auc,0.6617977528089887,0.7474719101123595,0.0856741573033708,BPIC15_3,duration,9
holdout70,mask_rare,0.5,B_half,logit,auc,0.641090335661185,0.7407636855147557,0.09967334985357068,BPIC15_3,duration,10
rolling1,mask_rare,0.5,B_intake_g,hgb,auc,0.5063904494382023,0.608567415730337,0.10217696629213469,BPIC15_3,duration,11
rolling1,mask_rare,0.5,B_half,hgb,auc,0.6307584269662921,0.7476123595505617,0.11685393258426957,BPIC15_3,duration,12
