quantity,pipeline,package,difference,agrees,tolerance
S_total[Helpdesk/duration/metric],0.423011272096145,0.423011272096145,0.0,True,1e-12
S[Helpdesk/duration/split],0.1508661435946221,0.15086614359462214,2.7755575615628914e-17,True,1e-12
S_total[Helpdesk/duration/split],0.4754881346560873,0.4754881346560873,0.0,True,1e-12
S[Helpdesk/duration/learner],0.137880839032414,0.13788083903241405,5.551115123125783e-17,True,1e-12
S_total[Helpdesk/duration/learner],0.3921467836575117,0.39214678365751177,5.551115123125783e-17,True,1e-12
S[Helpdesk/duration/quality_level],0.0651094174701809,0.06510941747018097,6.938893903907228e-17,True,1e-12
S_total[Helpdesk/duration/quality_level],0.2025656131311086,0.20256561313110866,5.551115123125783e-17,True,1e-12
S[Helpdesk/duration/rung],0.0002671311202026,0.0002671311202026862,8.624828282122188e-17,True,1e-12
S_total[Helpdesk/duration/rung],0.1408248108951806,0.14082481089518062,2.7755575615628914e-17,True,1e-12
S[RoadFines/duration/metric],0.4754964450417345,0.47549644504173455,5.551115123125783e-17,True,1e-12
S_total[RoadFines/duration/metric],0.713776316709995,0.713776316709995,0.0,True,1e-12
S[RoadFines/duration/quality_level],0.0839904434527092,0.08399044345270927,6.938893903907228e-17,True,1e-12
S_total[RoadFines/duration/quality_level],0.2463156942557883,0.24631569425578836,5.551115123125783e-17,True,1e-12
S[RoadFines/duration/rung],0.0461722534079481,0.04617225340794813,2.7755575615628914e-17,True,1e-12
S_total[RoadFines/duration/rung],0.1904587336893113,0.19045873368931132,2.7755575615628914e-17,True,1e-12
S[RoadFines/duration/split],0.0293328388615726,0.029332838861572612,1.0408340855860843e-17,True,1e-12
S_total[RoadFines/duration/split],0.3054212687412297,0.30542126874122977,5.551115123125783e-17,True,1e-12
S[RoadFines/duration/learner],0.0012916524899395,0.001291652489939539,3.903127820947816e-17,True,1e-12
S_total[RoadFines/duration/learner],0.0200138704209483,0.020013870420948376,7.632783294297951e-17,True,1e-12
S[Sepsis/duration/metric],0.2850489156161523,0.28504891561615237,5.551115123125783e-17,True,1e-12
S_total[Sepsis/duration/metric],0.4517154385309255,0.45171543853092555,5.551115123125783e-17,True,1e-12
S[Sepsis/duration/quality_level],0.0751405400053899,0.07514054000538994,4.163336342344337e-17,True,1e-12
S_total[Sepsis/duration/quality_level],0.267590598477594,0.26759059847759403,5.551115123125783e-17,True,1e-12
S[Sepsis/duration/learner],0.074875410195034,0.07487541019503403,2.7755575615628914e-17,True,1e-12
S_total[Sepsis/duration/learner],0.3473447403194438,0.34734474031944385,5.551115123125783e-17,True,1e-12
S[Sepsis/duration/split],0.0613115300490398,0.06131153004903984,3.469446951953614e-17,True,1e-12
S_total[Sepsis/duration/split],0.4769904659853701,0.4769904659853701,0.0,True,1e-12
S[Sepsis/duration/rung],0.0058451522402851,0.005845152240285123,2.2551405187698492e-17,True,1e-12
S_total[Sepsis/duration/rung],0.2139627130479918,0.21396271304799186,5.551115123125783e-17,True,1e-12
S[UCI498/duration/rung],0.1625975873751138,0.16259758737511384,5.551115123125783e-17,True,1e-12
