log,target,metric,draw,interaction_total
BPIC13_closed,handover,auc,75,0.8030271320899707
BPIC13_closed,handover,auc,76,0.3714103663488513
BPIC13_closed,handover,auc,77,0.5558931313732821
BPIC13_closed,handover,auc,78,0.7112787974479304
BPIC13_closed,handover,auc,79,0.4703817522614733
BPIC13_closed,handover,brier_skill,0,0.2712786490120265
BPIC13_closed,handover,brier_skill,1,0.5973746939350109
BPIC13_closed,handover,brier_skill,2,0.5167203025591284
BPIC13_closed,handover,brier_skill,3,0.4262182217616294
BPIC13_closed,handover,brier_skill,4,0.3700302691710008
BPIC13_closed,handover,brier_skill,5,0.6445409773339219
BPIC13_closed,handover,brier_skill,6,0.407418765340551
BPIC13_closed,handover,brier_skill,7,0.42638245056408863
BPIC13_closed,handover,brier_skill,8,0.6346432294231179
BPIC13_closed,handover,brier_skill,9,0.27213962001457337
BPIC13_closed,handover,brier_skill,10,0.5646215996907027
BPIC13_closed,handover,brier_skill,11,0.3635398341361953
BPIC13_closed,handover,brier_skill,12,0.35321189421976995
BPIC13_closed,handover,brier_skill,13,0.4084720693467777
BPIC13_closed,handover,brier_skill,14,0.3384135874846319
BPIC13_closed,handover,brier_skill,15,0.5483916444026303
BPIC13_closed,handover,brier_skill,16,0.5703543307796717
BPIC13_closed,handover,brier_skill,17,0.6230798528546652
BPIC13_closed,handover,brier_skill,18,0.49244623697256373
BPIC13_closed,handover,brier_skill,19,0.45628715463616965
BPIC13_closed,handover,brier_skill,20,0.8169071644776003
BPIC13_closed,handover,brier_skill,21,0.45579439696712254
BPIC13_closed,handover,brier_skill,22,0.8181148382717325
BPIC13_closed,handover,brier_skill,23,0.6040789284942601
BPIC13_closed,handover,brier_skill,24,0.3589333391074505
BPIC13_closed,handover,brier_skill,25,0.5867984798773371
BPIC13_closed,handover,brier_skill,26,0.5032349703685076
BPIC13_closed,handover,brier_skill,27,0.6394550571187699
BPIC13_closed,handover,brier_skill,28,0.9177728166006334
BPIC13_closed,handover,brier_skill,29,0.4750338955860778
