family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling
decision-curve,gaussian,1100,80,q_rad,2000,0.7935,1100.0,0.009051457065025498,0.9997359090909091,0.9269554545454545,7.702008479505958,3.8620553842516587,4.337941267503283,1.124406174301815,0.2905,0.2905,0.0,-0.15620837488942374,0.5556917642163217,0.0
decision-curve,gaussian,2966,150,q_mult,2000,0.8905,2966.0,0.006982469119158352,0.9999529669588672,0.9372184760620365,8.457058786362275,4.235397080448992,4.482623549193023,1.0574435123311619,0.1395,0.1395,0.0,-0.09246512342471636,0.4476626687806994,0.0
decision-curve,gaussian,2966,150,q_mult_hi,2000,0.8945,2966.0,0.006869124762296869,0.9999558327714092,0.9372184760620365,8.488757218549,4.251269399492801,4.482623549193023,1.053265457003198,0.131,0.131,0.0,-0.09246512342471636,0.4476626687806994,0.0
decision-curve,gaussian,2966,150,q_emp,2000,0.852,2966.0,0.007940277073251286,0.9999332434254888,0.9372184760620365,8.258134461407316,4.133804364266872,4.482623549193023,1.0864266464813253,0.198,0.198,0.0,-0.09246512342471636,0.4476626687806994,0.0
decision-curve,gaussian,2966,150,q_emp_hi,2000,0.9245,2966.0,0.005907611615534657,0.9999694875252866,0.9372184760620365,8.73241269330302,4.360001185278367,4.482623549193023,1.0310563293691934,0.0905,0.0905,0.0,-0.09246512342471636,0.4476626687806994,0.0
decision-curve,gaussian,2966,150,q_rad,2000,0.864,2966.0,0.00766498532288223,0.9999377950101146,0.9372184760620365,8.287836143505553,4.15076906894036,4.482623549193023,1.0795898347450608,0.1845,0.1845,0.0,-0.09246512342471636,0.4476626687806994,0.0
decision-curve,heavy,534,40,q_mult,2000,0.741,534.0,0.009795891996137973,0.9899709737827715,0.9036282771535581,7.379519727634293,3.756565344782553,9.779472901857217,2.6100048567730716,5.3555,5.3555,0.0,0.4995599362984223,7.16530023040087,0.0
decision-curve,heavy,534,40,q_mult_hi,2000,0.748,534.0,0.009708140913686821,0.9900711610486892,0.9036282771535581,7.4146027380322685,3.774750167287821,9.779472901857217,2.5965353949914562,5.302,5.302,0.0,0.4995599362984223,7.16530023040087,0.0
decision-curve,heavy,534,40,q_emp,2000,0.8375,534.0,0.00824905297594821,0.9936985018726591,0.9036282771535581,9.455338412222657,5.043252565040131,9.779472901857217,1.958599272989194,3.365,3.365,0.0,0.4995599362984223,7.16530023040087,0.0
decision-curve,heavy,534,40,q_emp_hi,2000,0.8875,534.0,0.007065541380531291,0.9963979400749063,0.9036282771535581,10.631424374571907,5.4439165129346385,9.779472901857217,1.7912542982749717,1.9235,1.9235,0.0,0.4995599362984223,7.16530023040087,0.0
decision-curve,heavy,534,40,q_rad,2000,0.6065,534.0,0.010923775675104282,0.9878417602996256,0.9036282771535581,6.831483094377424,3.474023378884458,9.779472901857217,2.802317513599892,6.4925,6.4925,0.0,0.4995599362984223,7.16530023040087,0.0
decision-curve,heavy,1100,80,q_mult,2000,0.815,1100.0,0.008682597537603596,0.9931009090909091,0.9272895454545456,7.874536977508398,3.9781875756597094,9.121426645337083,2.299189455148469,7.589,7.589,0.0,0.8917896448277033,9.355064362323287,0.0
decision-curve,heavy,1100,80,q_mult_hi,2000,0.821,1100.0,0.00857201843208471,0.9931818181818183,0.9272895454545456,7.90771349130303,3.9948000272439255,9.121426645337083,2.2899683504202035,7.5,7.5,0.0,0.8917896448277033,9.355064362323287,0.0
decision-curve,heavy,1100,80,q_emp,2000,0.898,1100.0,0.006767421961131136,0.9980681818181818,0.9272895454545456,12.122347217533004,6.290939032759992,9.121426645337083,1.4466209282372178,2.125,2.125,0.0,0.8917896448277033,9.355064362323287,0.0
decision-curve,heavy,1100,80,q_emp_hi,2000,0.906,1100.0,0.0065254884874620675,0.9992886363636364,0.9272895454545456,13.92891433524224,7.048213807633488,9.121426645337083,1.2908701154248758,0.7825,0.7825,0.0,0.8917896448277033,9.355064362323287,0.0
decision-curve,heavy,1100,80,q_rad,2000,0.749,1100.0,0.009695333929267212,0.9920563636363637,0.9272895454545456,7.469970143659017,3.7725159875612064,9.121426645337083,2.4192274416497903,8.738,8.738,0.0,0.8917896448277033,9.355064362323287,0.0
decision-curve,heavy,2966,150,q_mult,2000,0.8595,2966.0,0.007770448828735698,0.9955300067430882,0.9421453135536075,8.404389576615209,4.224763715258264,9.291192072175805,2.199328438451812,13.258,13.258,0.0,1.1840958450861687,10.54369896748944,0.0
decision-curve,heavy,2966,150,q_mult_hi,2000,0.8615,2966.0,0.007723915781519111,0.995585300067431,0.9421453135536075,8.436058296361677,4.240675045819973,9.291192072175805,2.1893760194154797,13.094,13.094,0.0,1.1840958450861687,10.54369896748944,0.0
decision-curve,heavy,2966,150,q_emp,2000,0.9185,2966.0,0.006117914268768402,0.9996719487525286,0.9421453135536075,14.623757832173512,7.406526932516737,9.291192072175805,1.231878271410916,0.973,0.973,0.0,1.1840958450861687,10.54369896748944,0.0
decision-curve,heavy,2966,150,q_emp_hi,2000,0.9245,2966.0,0.005907611615534657,0.9998602494942683,0.9421453135536075,16.04080959161966,8.07066276215351,9.291192072175805,1.1316659668827869,0.4145,0.4145,0.0,1.1840958450861687,10.54369896748944,0.0
decision-curve,heavy,2966,150,q_rad,2000,0.8215,2966.0,0.008562644159370398,0.9949479096426163,0.9421453135536075,8.093819613394697,4.068340025864082,9.291192072175805,2.2853552411648526,14.9845,14.9845,0.0,1.1840958450861687,10.54369896748944,0.0
decision-curve,nonzero,534,40,q_mult,2000,0.744,534.0,0.00975868843646522,0.9903286516853932,0.9045477528089888,7.360151826836005,3.756924882137343,9.545450827020959,2.540617601030809,0.9875,59.6135,1.5976240514828293,0.4867974691160524,7.170360571853682,0.0
decision-curve,nonzero,534,40,q_mult_hi,2000,0.7485,534.0,0.009701745976884777,0.9904494382022472,0.9045477528089888,7.395070776004191,3.774961276594907,9.545450827020959,2.5269740847332116,0.9765,58.795,1.5976240514828293,0.4867974691160524,7.170360571853682,0.0
decision-curve,nonzero,534,40,q_emp,2000,0.836,534.0,0.0082796135175502,0.9942191011235955,0.9045477528089888,9.460957760391816,5.052661763076729,9.545450827020959,1.9400557958789573,0.5945,31.4965,1.5976240514828293,0.4867974691160524,7.170360571853682,0.0
