log,target,metric,n_cells,var,higher,first_learner,first_split,first_quality_level,first_rung
BPIC17,duration,ap,36,4.316784804293965e-05,0.1419294661395113,0.023739845047651274,0.27183298236414793,0.3379241217468567,0.22457358470183275
BPIC17,duration,auc,36,5.846302929179633e-05,0.15128382342199354,0.07680258453506902,0.2964966531065661,0.0057886210759776876,0.4696283178603937
BPIC17,duration,brier_skill,36,1.234881291459914e-05,0.21750653484354177,0.19251796990523395,0.4828994191403215,0.1011130407284194,0.0059630353824833586
BPIC17,duration,logloss_skill,36,7.66996080529997e-06,0.20615813813694017,0.21211953049632495,0.45308250911676734,0.12347521429580367,0.005164607954163911
BPIC17,duration,nagelkerke,36,2.5278116988397835e-05,0.20658553508697508,0.2111373077962138,0.4540782700451597,0.12294172760823273,0.005257159463418659
BPIC19,duration,ap,36,0.00018598888514825932,0.25363038496950574,0.010803408121806288,0.06416058046842144,0.3036909443279509,0.36771468211231567
BPIC19,duration,auc,36,0.0019077562931108538,0.9006503540080331,0.004212783619379892,0.06287053492019301,0.00018194084740053945,0.03208438660499351
BPIC19,duration,brier_skill,36,0.008197229620570155,0.21221854652153482,0.20500108729585198,0.14102422650650864,0.02039013227393745,0.4213660074021671
BPIC19,duration,logloss_skill,36,0.008009513139706383,0.1992585500646702,0.21324349000843856,0.18472933553389467,0.14392561776596557,0.258843006627031
BPIC19,duration,nagelkerke,36,0.08755799169842159,0.18259541267418056,0.18827506853038284,0.4670567495442216,0.13334241564035682,0.02873035361085816
Helpdesk,duration,ap,36,0.00014932136489114175,0.3159253992083423,0.4153317999389659,1.1464435480697319e-05,0.07503456789783144,0.1936967685193797
Helpdesk,duration,auc,36,0.00011090013582836731,0.2754844819999148,0.4095074580988463,0.24287216240476708,0.0548464854927614,0.017289412003710432
Helpdesk,duration,brier_skill,36,0.0006676555007300407,0.14397137737041643,0.5694967032267392,0.02233417013978919,0.2546833455204851,0.009514403742570067
Helpdesk,duration,logloss_skill,36,0.0011320204275507017,0.07802578391158221,0.7869846115164998,0.01146370522704319,0.12070679870909037,0.0028191006357844253
Helpdesk,duration,nagelkerke,36,0.004618651426474176,0.07707196945405415,0.8123235664332983,0.008357581957852623,0.09899934406793776,0.0032475380868572028
RoadFines,duration,ap,36,0.00019464418969622767,0.0789354791493192,0.014777056596603161,0.016896865874581755,0.7432899073797878,0.14610069099970807
RoadFines,duration,auc,36,0.0001719730133495959,0.08492761620058875,0.03303613386134746,0.18952805428907119,0.49487417491815283,0.19763402073083977
RoadFines,duration,brier_skill,36,8.261898996882392e-05,0.04951577943242025,0.01204514374637154,0.002525742607413924,0.9051273491306142,0.03078598508318004
RoadFines,duration,logloss_skill,36,4.691435587380142e-05,0.06081867379518535,0.011006011226312892,0.0047449417879012875,0.8982006434624342,0.025229729728166252
RoadFines,duration,nagelkerke,36,0.0001579356138386777,0.06209231479330535,0.010848024886060495,0.005161243735396291,0.8970026634940365,0.02489575309120141
Sepsis,duration,ap,36,0.0013279251428229644,0.10227272759773953,0.016223941271216933,0.04744078581378021,0.3132906495631554,0.520771895754108
Sepsis,duration,auc,36,0.0006766254300162353,0.06727658615902055,0.025138071699524853,0.4270595540695623,0.03316588451253931,0.44735990355935296
Sepsis,duration,brier_skill,36,0.0007118348612386618,0.24120944775842812,0.23978468786335613,0.38591006100265873,0.02694380332385587,0.10615200005170118
Sepsis,duration,logloss_skill,36,0.004740503955468689,0.14965323199243363,0.7486242843160276,0.06386273895146496,0.0008633576951800957,0.036996387044893796
Sepsis,duration,nagelkerke,36,0.0120374271073676,0.38680159067818665,0.44142568128899584,0.14013779942301796,0.0007494575972585843,0.03088547101254101
UCI498,duration,ap,36,0.00030049466081831484,0.09735013245641089,0.022699046279840835,0.0005359191194658107,0.0034787328302320186,0.8759361693140505
UCI498,duration,auc,36,0.0003164246836601594,0.06391024988741001,0.04239017589949064,0.003024467620058867,0.0010054979680157853,0.8896696086250248
UCI498,duration,brier_skill,36,6.261537962328182e-05,0.09602418952500114,0.4501246393197174,0.1538042802405399,0.011760544308804913,0.28828634660593666
UCI498,duration,logloss_skill,36,4.6260727249515296e-05,0.12254296603359593,0.5168706921817104,0.09564505796248444,0.010153332580941855,0.2547879512412673
UCI498,duration,nagelkerke,36,8.303171577085757e-05,0.13858253131109732,0.5182737809969813,0.09667623244447061,0.008849279074872441,0.23761817617257835
UCI498,handover,ap,36,0.00010069825862757228,0.09515559198503609,0.0021119221851655895,0.0019559322242033174,0.0057406977373495255,0.8950358558682455
UCI498,handover,auc,36,0.00014870450178012038,0.04801533752376674,0.008560409604871507,0.009353862823341077,0.008406516412259452,0.9256638736357612
UCI498,handover,brier_skill,36,6.237797226989489e-05,0.2203953145612153,0.2217222819859687,0.09648587224586151,0.1219817069969176,0.3394148242100369
