experiment,world,K,n_train,block_mult,estimand,interval,n,coverage,coverage_se,bias,bias_se,mean_width,width_se,rmse,truth
core,noisy,20,4000,1.0,V_limit,naive_bc,1000,0.916,0.008771772910877251,-0.002003407075785472,0.00028779317300663636,0.034620368065957925,0.00011005617870536477,0.009314275357219464,0.0804681588578006
core,noisy,20,4000,1.0,V_limit,nested_pct,1000,0.936,0.007739767438366605,-0.002003407075785472,0.00028779317300663636,0.036459389420845,0.0001192289638112935,0.009314275357219464,0.0804681588578006
core,noisy,20,4000,1.0,V_limit,nested_basic,1000,0.948,0.007021111023192843,-0.002003407075785472,0.00028779317300663636,0.036459389420845,0.0001192289638112935,0.009314275357219464,0.0804681588578006
core,noisy,20,4000,1.0,V_limit,nested_bc,1000,0.939,0.007568289106528638,-0.002003407075785472,0.00028779317300663636,0.03579796205159044,0.00013234494654512337,0.009314275357219464,0.0804681588578006
core,noisy,20,4000,1.0,V_oracle,naive_pct,1000,0.924,0.008379976133617564,-0.002475679722112571,0.00028779317300663636,0.03482820611668359,0.00010769601708956,0.009427145676464212,0.0809404315041277
core,noisy,20,4000,1.0,V_oracle,naive_basic,1000,0.918,0.008676174272108645,-0.002475679722112571,0.00028779317300663636,0.03482820611668359,0.00010769601708956,0.009427145676464212,0.0809404315041277
core,noisy,20,4000,1.0,V_oracle,naive_bc,1000,0.911,0.009004387819280108,-0.002475679722112571,0.00028779317300663636,0.034620368065957925,0.00011005617870536477,0.009427145676464212,0.0809404315041277
core,noisy,20,4000,1.0,V_oracle,nested_pct,1000,0.924,0.008379976133617564,-0.002475679722112571,0.00028779317300663636,0.036459389420845,0.0001192289638112935,0.009427145676464212,0.0809404315041277
core,noisy,20,4000,1.0,V_oracle,nested_basic,1000,0.945,0.007209368904418752,-0.002475679722112571,0.00028779317300663636,0.036459389420845,0.0001192289638112935,0.009427145676464212,0.0809404315041277
core,noisy,20,4000,1.0,V_oracle,nested_bc,1000,0.937,0.007683163410991592,-0.002475679722112571,0.00028779317300663636,0.03579796205159044,0.00013234494654512337,0.009427145676464212,0.0809404315041277
core,nonlinear,20,4000,1.0,V_limit,naive_pct,1000,0.923,0.008430361795320529,-0.0017163735826154836,0.0003662806836948339,0.04246919583087078,0.00012457844350998926,0.011703559970530646,0.1693752350894559
core,nonlinear,20,4000,1.0,V_limit,naive_basic,1000,0.923,0.008430361795320529,-0.0017163735826154836,0.0003662806836948339,0.04246919583087078,0.00012457844350998926,0.011703559970530646,0.1693752350894559
core,nonlinear,20,4000,1.0,V_limit,naive_bc,1000,0.924,0.008379976133617564,-0.0017163735826154836,0.0003662806836948339,0.04224969101646504,0.00012961960519988384,0.011703559970530646,0.1693752350894559
core,nonlinear,20,4000,1.0,V_limit,nested_pct,1000,0.94,0.007509993342207438,-0.0017163735826154836,0.0003662806836948339,0.043952221230271635,0.00014827317561761578,0.011703559970530646,0.1693752350894559
core,nonlinear,20,4000,1.0,V_limit,nested_basic,1000,0.929,0.008121514637061239,-0.0017163735826154836,0.0003662806836948339,0.043952221230271635,0.00014827317561761578,0.011703559970530646,0.1693752350894559
core,nonlinear,20,4000,1.0,V_limit,nested_bc,1000,0.929,0.008121514637061239,-0.0017163735826154836,0.0003662806836948339,0.043429096290528074,0.00015814349051473792,0.011703559970530646,0.1693752350894559
core,nonlinear,20,4000,1.0,V_limit,nested_mofn,1000,0.758,0.013543854695026818,-0.0017163735826154836,0.0003662806836948339,0.038073399015956196,0.00023349097961731683,0.011703559970530646,0.1693752350894559
core,nonlinear,20,4000,1.0,V_oracle,naive_pct,1000,0.924,0.008379976133617564,-0.0017888959632859703,0.0003662806836948339,0.04246919583087078,0.00012457844350998926,0.011714415327969546,0.1694477574701264
core,nonlinear,20,4000,1.0,V_oracle,naive_basic,1000,0.923,0.008430361795320529,-0.0017888959632859703,0.0003662806836948339,0.04246919583087078,0.00012457844350998926,0.011714415327969546,0.1694477574701264
core,nonlinear,20,4000,1.0,V_oracle,naive_bc,1000,0.924,0.008379976133617564,-0.0017888959632859703,0.0003662806836948339,0.04224969101646504,0.00012961960519988384,0.011714415327969546,0.1694477574701264
core,nonlinear,20,4000,1.0,V_oracle,nested_pct,1000,0.94,0.007509993342207438,-0.0017888959632859703,0.0003662806836948339,0.043952221230271635,0.00014827317561761578,0.011714415327969546,0.1694477574701264
core,nonlinear,20,4000,1.0,V_oracle,nested_basic,1000,0.93,0.008068457101577721,-0.0017888959632859703,0.0003662806836948339,0.043952221230271635,0.00014827317561761578,0.011714415327969546,0.1694477574701264
core,nonlinear,20,4000,1.0,V_oracle,nested_bc,1000,0.929,0.008121514637061239,-0.0017888959632859703,0.0003662806836948339,0.043429096290528074,0.00015814349051473792,0.011714415327969546,0.1694477574701264
core,nonlinear,20,4000,1.0,V_oracle,nested_mofn,1000,0.758,0.013543854695026818,-0.0017888959632859703,0.0003662806836948339,0.038073399015956196,0.00023349097961731683,0.011714415327969546,0.1694477574701264
core,sparse,200,4000,1.0,V_limit,naive_pct,1000,0.631,0.015259062880793171,-0.01229158392853242,0.0002609660789291297,0.03069184219298483,9.451274556347194e-05,0.014802642552242137,0.0909080229746062
