rep,psi,metric,R,R_psi,abs_shift
139,logit-scale,ap,-0.5869599122146107,-0.5869599122146107,0.0
139,beta-cdf,auc,-0.6289353958143753,-0.6289353958143753,0.0
139,beta-cdf,ap,-0.5869599122146107,-0.5869599122146107,0.0
139,affine,auc,-0.6289353958143753,-0.6289353958143753,0.0
139,affine,ap,-0.5869599122146107,-0.5869599122146107,0.0
140,square,auc,-0.39144165482393833,-0.39144165482393833,0.0
140,square,ap,-0.4537175028326048,-0.4537175028326048,0.0
140,sqrt,auc,-0.39144165482393833,-0.39144165482393833,0.0
140,sqrt,ap,-0.4537175028326048,-0.4537175028326048,0.0
140,logit-shift,auc,-0.39144165482393833,-0.39144165482393833,0.0
140,logit-shift,ap,-0.4537175028326048,-0.4537175028326048,0.0
140,logit-scale,auc,-0.39144165482393833,-0.39144165482393833,0.0
140,logit-scale,ap,-0.4537175028326048,-0.4537175028326048,0.0
140,beta-cdf,auc,-0.39144165482393833,-0.39144165482393833,0.0
140,beta-cdf,ap,-0.4537175028326048,-0.4537175028326048,0.0
140,affine,auc,-0.39144165482393833,-0.39144165482393833,0.0
140,affine,ap,-0.4537175028326048,-0.4537175028326048,0.0
141,square,auc,-0.6271611823759078,-0.6271611823759078,0.0
141,square,ap,-0.7959916492908035,-0.7959916492908035,0.0
141,sqrt,auc,-0.6271611823759078,-0.6271611823759078,0.0
141,sqrt,ap,-0.7959916492908035,-0.7959916492908035,0.0
141,logit-shift,auc,-0.6271611823759078,-0.6271611823759078,0.0
141,logit-shift,ap,-0.7959916492908035,-0.7959916492908035,0.0
141,logit-scale,auc,-0.6271611823759078,-0.6271611823759078,0.0
141,logit-scale,ap,-0.7959916492908035,-0.7959916492908035,0.0
141,beta-cdf,auc,-0.6271611823759078,-0.6271611823759078,0.0
141,beta-cdf,ap,-0.7959916492908035,-0.7959916492908035,0.0
141,affine,auc,-0.6271611823759078,-0.6271611823759078,0.0
141,affine,ap,-0.7959916492908035,-0.7959916492908035,0.0
142,square,auc,-0.7063100137174232,-0.7063100137174232,0.0
142,square,ap,-0.8238695330243127,-0.8238695330243127,0.0
142,sqrt,auc,-0.7063100137174232,-0.7063100137174232,0.0
142,sqrt,ap,-0.8238695330243127,-0.8238695330243127,0.0
142,logit-shift,auc,-0.7063100137174232,-0.7063100137174232,0.0
142,logit-shift,ap,-0.8238695330243127,-0.8238695330243127,0.0
142,logit-scale,auc,-0.7063100137174232,-0.7063100137174232,0.0
142,logit-scale,ap,-0.8238695330243127,-0.8238695330243127,0.0
142,beta-cdf,auc,-0.7063100137174232,-0.7063100137174232,0.0
142,beta-cdf,ap,-0.8238695330243127,-0.8238695330243127,0.0
142,affine,auc,-0.7063100137174232,-0.7063100137174232,0.0
142,affine,ap,-0.8238695330243127,-0.8238695330243127,0.0
143,square,auc,-0.9849756959787872,-0.9849756959787872,0.0
143,square,ap,-1.0152635478454952,-1.0152635478454952,0.0
143,sqrt,auc,-0.9849756959787872,-0.9849756959787872,0.0
143,sqrt,ap,-1.0152635478454952,-1.0152635478454952,0.0
143,logit-shift,auc,-0.9849756959787872,-0.9849756959787872,0.0
143,logit-shift,ap,-1.0152635478454952,-1.0152635478454952,0.0
143,logit-scale,auc,-0.9849756959787872,-0.9849756959787872,0.0
143,logit-scale,ap,-1.0152635478454952,-1.0152635478454952,0.0
143,beta-cdf,auc,-0.9849756959787872,-0.9849756959787872,0.0
143,beta-cdf,ap,-1.0152635478454952,-1.0152635478454952,0.0
143,affine,auc,-0.9849756959787872,-0.9849756959787872,0.0
143,affine,ap,-1.0152635478454952,-1.0152635478454952,0.0
144,square,auc,-0.6802176212785265,-0.6802176212785265,0.0
144,square,ap,-0.8559639503799095,-0.8559639503799095,0.0
144,sqrt,auc,-0.6802176212785265,-0.6802176212785265,0.0
144,sqrt,ap,-0.8559639503799095,-0.8559639503799095,0.0
144,logit-shift,auc,-0.6802176212785265,-0.6802176212785265,0.0
144,logit-shift,ap,-0.8559639503799095,-0.8559639503799095,0.0
144,logit-scale,auc,-0.6802176212785265,-0.6802176212785265,0.0
144,logit-scale,ap,-0.8559639503799095,-0.8559639503799095,0.0
144,beta-cdf,auc,-0.6802176212785265,-0.6802176212785265,0.0
144,beta-cdf,ap,-0.8559639503799095,-0.8559639503799095,0.0
144,affine,auc,-0.6802176212785265,-0.6802176212785265,0.0
144,affine,ap,-0.8559639503799095,-0.8559639503799095,0.0
145,square,auc,-0.869401423189619,-0.869401423189619,0.0
145,square,ap,-0.9173152385359642,-0.9173152385359642,0.0
145,sqrt,auc,-0.869401423189619,-0.869401423189619,0.0
145,sqrt,ap,-0.9173152385359642,-0.9173152385359642,0.0
145,logit-shift,auc,-0.869401423189619,-0.869401423189619,0.0
145,logit-shift,ap,-0.9173152385359642,-0.9173152385359642,0.0
145,logit-scale,auc,-0.869401423189619,-0.869401423189619,0.0
145,logit-scale,ap,-0.9173152385359642,-0.9173152385359642,0.0
145,beta-cdf,auc,-0.869401423189619,-0.869401423189619,0.0
145,beta-cdf,ap,-0.9173152385359642,-0.9173152385359642,0.0
145,affine,auc,-0.869401423189619,-0.869401423189619,0.0
145,affine,ap,-0.9173152385359642,-0.9173152385359642,0.0
146,square,auc,-1.294030294030291,-1.294030294030291,0.0
146,square,ap,-1.2605063777518706,-1.2605063777518706,0.0
146,sqrt,auc,-1.294030294030291,-1.294030294030291,0.0
146,sqrt,ap,-1.2605063777518706,-1.2605063777518706,0.0
146,logit-shift,auc,-1.294030294030291,-1.294030294030291,0.0
146,logit-shift,ap,-1.2605063777518706,-1.2605063777518706,0.0
146,logit-scale,auc,-1.294030294030291,-1.294030294030291,0.0
146,logit-scale,ap,-1.2605063777518706,-1.2605063777518706,0.0
146,beta-cdf,auc,-1.294030294030291,-1.294030294030291,0.0
146,beta-cdf,ap,-1.2605063777518706,-1.2605063777518706,0.0
146,affine,auc,-1.294030294030291,-1.294030294030291,0.0
146,affine,ap,-1.2605063777518706,-1.2605063777518706,0.0
147,square,auc,-0.7738885536109446,-0.7738885536109446,0.0
147,square,ap,-0.7990458684026418,-0.7990458684026418,0.0
147,sqrt,auc,-0.7738885536109446,-0.7738885536109446,0.0
147,sqrt,ap,-0.7990458684026418,-0.7990458684026418,0.0
147,logit-shift,auc,-0.7738885536109446,-0.7738885536109446,0.0
147,logit-shift,ap,-0.7990458684026418,-0.7990458684026418,0.0
147,logit-scale,auc,-0.7738885536109446,-0.7738885536109446,0.0
147,logit-scale,ap,-0.7990458684026418,-0.7990458684026418,0.0
147,beta-cdf,auc,-0.7738885536109446,-0.7738885536109446,0.0
147,beta-cdf,ap,-0.7990458684026418,-0.7990458684026418,0.0
147,affine,auc,-0.7738885536109446,-0.7738885536109446,0.0
147,affine,ap,-0.7990458684026418,-0.7990458684026418,0.0
148,square,auc,-0.946011281224818,-0.946011281224818,0.0
148,square,ap,-1.094285843542559,-1.094285843542559,0.0
148,sqrt,auc,-0.946011281224818,-0.946011281224818,0.0
148,sqrt,ap,-1.094285843542559,-1.094285843542559,0.0
148,logit-shift,auc,-0.946011281224818,-0.946011281224818,0.0
148,logit-shift,ap,-1.094285843542559,-1.094285843542559,0.0
148,logit-scale,auc,-0.946011281224818,-0.946011281224818,0.0
148,logit-scale,ap,-1.094285843542559,-1.094285843542559,0.0
148,beta-cdf,auc,-0.946011281224818,-0.946011281224818,0.0
148,beta-cdf,ap,-1.094285843542559,-1.094285843542559,0.0
148,affine,auc,-0.946011281224818,-0.946011281224818,0.0
148,affine,ap,-1.094285843542559,-1.094285843542559,0.0
149,square,auc,-0.8564933781379711,-0.8564933781379711,0.0
149,square,ap,-1.3813156274230307,-1.3813156274230307,0.0
149,sqrt,auc,-0.8564933781379711,-0.8564933781379711,0.0
149,sqrt,ap,-1.3813156274230307,-1.3813156274230307,0.0
149,logit-shift,auc,-0.8564933781379711,-0.8564933781379711,0.0
149,logit-shift,ap,-1.3813156274230307,-1.3813156274230307,0.0
149,logit-scale,auc,-0.8564933781379711,-0.8564933781379711,0.0
149,logit-scale,ap,-1.3813156274230307,-1.3813156274230307,0.0
149,beta-cdf,auc,-0.8564933781379711,-0.8564933781379711,0.0
149,beta-cdf,ap,-1.3813156274230307,-1.3813156274230307,0.0
149,affine,auc,-0.8564933781379711,-0.8564933781379711,0.0
149,affine,ap,-1.3813156274230307,-1.3813156274230307,0.0
150,square,auc,-0.8155268022181144,-0.8155268022181144,0.0
150,square,ap,-1.1644258632795892,-1.1644258632795892,0.0
150,sqrt,auc,-0.8155268022181144,-0.8155268022181144,0.0
150,sqrt,ap,-1.1644258632795892,-1.1644258632795892,0.0
150,logit-shift,auc,-0.8155268022181144,-0.8155268022181144,0.0
150,logit-shift,ap,-1.1644258632795892,-1.1644258632795892,0.0
150,logit-scale,auc,-0.8155268022181144,-0.8155268022181144,0.0
150,logit-scale,ap,-1.1644258632795892,-1.1644258632795892,0.0
150,beta-cdf,auc,-0.8155268022181144,-0.8155268022181144,0.0
150,beta-cdf,ap,-1.1644258632795892,-1.1644258632795892,0.0
150,affine,auc,-0.8155268022181144,-0.8155268022181144,0.0
150,affine,ap,-1.1644258632795892,-1.1644258632795892,0.0
151,square,auc,-0.613311688311688,-0.613311688311688,0.0
151,square,ap,-0.9648073685539207,-0.9648073685539207,0.0
151,sqrt,auc,-0.613311688311688,-0.613311688311688,0.0
151,sqrt,ap,-0.9648073685539207,-0.9648073685539207,0.0
151,logit-shift,auc,-0.613311688311688,-0.613311688311688,0.0
151,logit-shift,ap,-0.9648073685539207,-0.9648073685539207,0.0
151,logit-scale,auc,-0.613311688311688,-0.613311688311688,0.0
151,logit-scale,ap,-0.9648073685539207,-0.9648073685539207,0.0
151,beta-cdf,auc,-0.613311688311688,-0.613311688311688,0.0
151,beta-cdf,ap,-0.9648073685539207,-0.9648073685539207,0.0
151,affine,auc,-0.613311688311688,-0.613311688311688,0.0
151,affine,ap,-0.9648073685539207,-0.9648073685539207,0.0
152,square,auc,-0.36070627802690636,-0.36070627802690636,0.0
152,square,ap,-0.440809299613635,-0.440809299613635,0.0
152,sqrt,auc,-0.36070627802690636,-0.36070627802690636,0.0
152,sqrt,ap,-0.440809299613635,-0.440809299613635,0.0
152,logit-shift,auc,-0.36070627802690636,-0.36070627802690636,0.0
152,logit-shift,ap,-0.440809299613635,-0.440809299613635,0.0
152,logit-scale,auc,-0.36070627802690636,-0.36070627802690636,0.0
152,logit-scale,ap,-0.440809299613635,-0.440809299613635,0.0
152,beta-cdf,auc,-0.36070627802690636,-0.36070627802690636,0.0
152,beta-cdf,ap,-0.440809299613635,-0.440809299613635,0.0
152,affine,auc,-0.36070627802690636,-0.36070627802690636,0.0
152,affine,ap,-0.440809299613635,-0.440809299613635,0.0
153,square,auc,-0.540095087163234,-0.540095087163234,0.0
153,square,ap,-1.0078230063421763,-1.0078230063421763,0.0
153,sqrt,auc,-0.540095087163234,-0.540095087163234,0.0
153,sqrt,ap,-1.0078230063421763,-1.0078230063421763,0.0
153,logit-shift,auc,-0.540095087163234,-0.540095087163234,0.0
153,logit-shift,ap,-1.0078230063421763,-1.0078230063421763,0.0
153,logit-scale,auc,-0.540095087163234,-0.540095087163234,0.0
153,logit-scale,ap,-1.0078230063421763,-1.0078230063421763,0.0
153,beta-cdf,auc,-0.540095087163234,-0.540095087163234,0.0
153,beta-cdf,ap,-1.0078230063421763,-1.0078230063421763,0.0
153,affine,auc,-0.540095087163234,-0.540095087163234,0.0
153,affine,ap,-1.0078230063421763,-1.0078230063421763,0.0
154,square,auc,-0.7452153110047852,-0.7452153110047852,0.0
154,square,ap,-1.2807777916974787,-1.2807777916974787,0.0
154,sqrt,auc,-0.7452153110047852,-0.7452153110047852,0.0
154,sqrt,ap,-1.2807777916974787,-1.2807777916974787,0.0
154,logit-shift,auc,-0.7452153110047852,-0.7452153110047852,0.0
154,logit-shift,ap,-1.2807777916974787,-1.2807777916974787,0.0
154,logit-scale,auc,-0.7452153110047852,-0.7452153110047852,0.0
154,logit-scale,ap,-1.2807777916974787,-1.2807777916974787,0.0
154,beta-cdf,auc,-0.7452153110047852,-0.7452153110047852,0.0
154,beta-cdf,ap,-1.2807777916974787,-1.2807777916974787,0.0
154,affine,auc,-0.7452153110047852,-0.7452153110047852,0.0
154,affine,ap,-1.2807777916974787,-1.2807777916974787,0.0
155,square,auc,-0.9125599651112075,-0.9125599651112075,0.0
155,square,ap,-1.9638559998606313,-1.9638559998606313,0.0
155,sqrt,auc,-0.9125599651112075,-0.9125599651112075,0.0
155,sqrt,ap,-1.9638559998606313,-1.9638559998606313,0.0
155,logit-shift,auc,-0.9125599651112075,-0.9125599651112075,0.0
155,logit-shift,ap,-1.9638559998606313,-1.9638559998606313,0.0
155,logit-scale,auc,-0.9125599651112075,-0.9125599651112075,0.0
155,logit-scale,ap,-1.9638559998606313,-1.9638559998606313,0.0
155,beta-cdf,auc,-0.9125599651112075,-0.9125599651112075,0.0
155,beta-cdf,ap,-1.9638559998606313,-1.9638559998606313,0.0
155,affine,auc,-0.9125599651112075,-0.9125599651112075,0.0
155,affine,ap,-1.9638559998606313,-1.9638559998606313,0.0
156,square,auc,-0.3691912708600775,-0.3691912708600775,0.0
156,square,ap,-0.5610125158969779,-0.5610125158969779,0.0
156,sqrt,auc,-0.3691912708600775,-0.3691912708600775,0.0
156,sqrt,ap,-0.5610125158969779,-0.5610125158969779,0.0
156,logit-shift,auc,-0.3691912708600775,-0.3691912708600775,0.0
156,logit-shift,ap,-0.5610125158969779,-0.5610125158969779,0.0
156,logit-scale,auc,-0.3691912708600775,-0.3691912708600775,0.0
