log,target,metric,measure,axis,S,S_total,involvement,levels,n_cells,scale
BPIC13_incidents,handover,ap,reference,learner,0.014519841567961258,0.042133673737220274,0.027613832169259014,2,216,raw-within-metric
BPIC13_incidents,handover,ap,reference,split,0.055318878020290466,0.10731722153561807,0.0519983435153276,6,216,raw-within-metric
BPIC13_incidents,handover,ap,reference,quality_level,0.06766896100101188,0.1207795456384128,0.05311058463740091,6,216,raw-within-metric
BPIC13_incidents,handover,ap,reference,rung,0.7746896156304259,0.8343938636991489,0.05970424806872299,3,216,raw-within-metric
BPIC13_incidents,handover,auc,reference,learner,0.02573620182401191,0.07923675995139946,0.05350055812738755,2,216,raw-within-metric
BPIC13_incidents,handover,auc,reference,split,0.08594472685620148,0.14656252044452206,0.060617793588320576,6,216,raw-within-metric
BPIC13_incidents,handover,auc,reference,quality_level,0.14862792731199773,0.2143994369789519,0.06577150966695416,6,216,raw-within-metric
BPIC13_incidents,handover,auc,reference,rung,0.626428194161934,0.6907363581436978,0.06430816398176387,3,216,raw-within-metric
BPIC13_incidents,handover,brier_skill,reference,learner,0.002073525765205632,0.10505016033950025,0.10297663457429462,2,216,raw-within-metric
BPIC13_incidents,handover,brier_skill,reference,split,0.1451814924630353,0.3159895162855053,0.17080802382247,6,216,raw-within-metric
BPIC13_incidents,handover,brier_skill,reference,quality_level,0.31322972997689,0.40272439274638416,0.08949466276949414,6,216,raw-within-metric
BPIC13_incidents,handover,brier_skill,reference,rung,0.3147960891812567,0.474903523368506,0.16010743418724932,3,216,raw-within-metric
BPIC13_incidents,handover,logloss_skill,reference,learner,0.04673754698206265,0.43669953733628064,0.38996199035421797,2,216,raw-within-metric
BPIC13_incidents,handover,logloss_skill,reference,split,0.387690833098777,0.8450760797063795,0.45738524660760255,6,216,raw-within-metric
BPIC13_incidents,handover,logloss_skill,reference,quality_level,0.04635980567536783,0.1498444000019417,0.10348459432657389,6,216,raw-within-metric
BPIC13_incidents,handover,logloss_skill,reference,rung,0.030507665927067617,0.16477204246282623,0.13426437653575862,3,216,raw-within-metric
BPIC13_incidents,handover,nagelkerke,reference,learner,0.038595214190788624,0.5142680582418708,0.47567284405108223,2,216,raw-within-metric
BPIC13_incidents,handover,nagelkerke,reference,split,0.32827312735714576,0.9197349788157331,0.5914618514585873,6,216,raw-within-metric
BPIC13_incidents,handover,nagelkerke,reference,quality_level,0.011013982486438692,0.26286737355264356,0.25185339106620486,6,216,raw-within-metric
BPIC13_incidents,handover,nagelkerke,reference,rung,0.005628867740344125,0.1792979324717954,0.17366906473145127,3,216,raw-within-metric
BPIC14,duration,ap,reference,learner,0.12482509122412515,0.21107426566191279,0.08624917443778764,4,960,raw-within-metric
BPIC14,duration,ap,reference,split,0.02963049884438763,0.0630503170980177,0.033419818253630065,6,960,raw-within-metric
BPIC14,duration,ap,reference,quality_level,0.14737972540069338,0.2034178116662187,0.05603808626552531,10,960,raw-within-metric
BPIC14,duration,ap,reference,rung,0.567196999107368,0.6665094793744958,0.0993124802671278,4,960,raw-within-metric
BPIC14,duration,auc,reference,learner,0.010026115343509872,0.09826103752114755,0.08823492217763768,4,960,raw-within-metric
BPIC14,duration,auc,reference,split,0.019229583272095105,0.04303921186447014,0.023809628592375037,6,960,raw-within-metric
BPIC14,duration,auc,reference,quality_level,0.17180849633995646,0.2409481564678559,0.06913966012789943,10,960,raw-within-metric
BPIC14,duration,auc,reference,rung,0.6657237493715837,0.7617615206479604,0.0960377712763767,4,960,raw-within-metric
BPIC14,duration,brier_skill,reference,learner,0.23584703960668174,0.35628735462118927,0.12044031501450753,4,960,raw-within-metric
BPIC14,duration,brier_skill,reference,split,0.025751225123821546,0.048905797410966304,0.023154572287144758,6,960,raw-within-metric
BPIC14,duration,brier_skill,reference,quality_level,0.14329986986907825,0.20377700384199027,0.06047713397291202,10,960,raw-within-metric
BPIC14,duration,brier_skill,reference,rung,0.4342453247173965,0.5649091767878255,0.13066385207042897,4,960,raw-within-metric
BPIC14,duration,logloss_skill,reference,learner,0.25708241550728583,0.37472728497741153,0.1176448694701257,4,960,raw-within-metric
BPIC14,duration,logloss_skill,reference,split,0.024096252534718293,0.0468411720305385,0.02274491949582021,6,960,raw-within-metric
BPIC14,duration,logloss_skill,reference,quality_level,0.1428274458218516,0.20335488624483325,0.06052744042298164,10,960,raw-within-metric
BPIC14,duration,logloss_skill,reference,rung,0.4192995036673115,0.5458759171227123,0.12657641345540083,4,960,raw-within-metric
BPIC14,duration,nagelkerke,reference,learner,0.25132842341521544,0.37065846179466244,0.119330038379447,4,960,raw-within-metric
BPIC14,duration,nagelkerke,reference,split,0.020792230851331524,0.04430829122225664,0.02351606037092512,6,960,raw-within-metric
BPIC14,duration,nagelkerke,reference,quality_level,0.13884272944219309,0.1979178281937199,0.059075098751526806,10,960,raw-within-metric
BPIC14,duration,nagelkerke,reference,rung,0.4320871505839936,0.5593315953333962,0.12724444474940255,4,960,raw-within-metric
BPIC14,handover,ap,reference,learner,0.4546567920078689,0.5965649225444178,0.14190813053654894,4,960,raw-within-metric
BPIC14,handover,ap,reference,split,0.006953782921023293,0.045626937056921606,0.038673154135898315,6,960,raw-within-metric
BPIC14,handover,ap,reference,quality_level,0.04387374706077039,0.08444408559446133,0.040570338533690936,10,960,raw-within-metric
BPIC14,handover,ap,reference,rung,0.3200496058430262,0.46169749999198856,0.14164789414896234,4,960,raw-within-metric
BPIC14,handover,auc,reference,learner,0.36595473425529523,0.49829420528762824,0.132339471032333,4,960,raw-within-metric
BPIC14,handover,auc,reference,split,0.01786466299448769,0.03344487893823638,0.015580215943748692,6,960,raw-within-metric
BPIC14,handover,auc,reference,quality_level,0.08161861873720991,0.13115719813477153,0.04953857939756162,10,960,raw-within-metric
BPIC14,handover,auc,reference,rung,0.374926326618981,0.5079556733052307,0.13302934668624972,4,960,raw-within-metric
BPIC14,handover,brier_skill,reference,learner,0.3266703501164056,0.44815713308099764,0.12148678296459203,4,960,raw-within-metric
BPIC14,handover,brier_skill,reference,split,0.012829686502107102,0.027999727432125657,0.015170040930018554,6,960,raw-within-metric
BPIC14,handover,brier_skill,reference,quality_level,0.17123102022443068,0.2525938875497291,0.08136286732529843,10,960,raw-within-metric
BPIC14,handover,brier_skill,reference,rung,0.3282204372841142,0.4456380737179515,0.11741763643383729,4,960,raw-within-metric
BPIC14,handover,logloss_skill,reference,learner,0.3291963235267646,0.45032681954701154,0.12113049602024695,4,960,raw-within-metric
BPIC14,handover,logloss_skill,reference,split,0.019925368765927192,0.03903959243513046,0.019114223669203265,6,960,raw-within-metric
BPIC14,handover,logloss_skill,reference,quality_level,0.15147457983343743,0.2261984878851075,0.07472390805167006,10,960,raw-within-metric
BPIC14,handover,logloss_skill,reference,rung,0.3409126359029711,0.4572444144629787,0.11633177856000759,4,960,raw-within-metric
BPIC14,handover,nagelkerke,reference,learner,0.32874825914681677,0.45004733403792285,0.12129907489110608,4,960,raw-within-metric
BPIC14,handover,nagelkerke,reference,split,0.016437278030280354,0.03391224242403739,0.017474964393757036,6,960,raw-within-metric
BPIC14,handover,nagelkerke,reference,quality_level,0.1442789530910456,0.21653286015907544,0.07225390706802984,10,960,raw-within-metric
BPIC14,handover,nagelkerke,reference,rung,0.3529567402122197,0.4709548963297866,0.11799815611756692,4,960,raw-within-metric
BPIC15_1,duration,ap,reference,learner,0.02110875825002816,0.40665023953339435,0.3855414812833662,2,216,raw-within-metric
BPIC15_1,duration,ap,reference,split,0.15892136820913536,0.6623096991915564,0.503388330982421,6,216,raw-within-metric
BPIC15_1,duration,ap,reference,quality_level,0.07940790731744568,0.3292374874583652,0.2498295801409195,6,216,raw-within-metric
BPIC15_1,duration,ap,reference,rung,0.06460980088856552,0.5829031918974468,0.5182933910088813,3,216,raw-within-metric
BPIC15_1,duration,auc,reference,learner,0.046570597579414584,0.574099771197457,0.5275291736180424,2,216,raw-within-metric
BPIC15_1,duration,auc,reference,split,0.10810256266849787,0.49043858290834375,0.38233602023984586,6,216,raw-within-metric
BPIC15_1,duration,auc,reference,quality_level,0.004490620446021735,0.16734909691813915,0.1628584764721174,6,216,raw-within-metric
BPIC15_1,duration,auc,reference,rung,0.15221027807574736,0.6922078781196349,0.5399976000438875,3,216,raw-within-metric
BPIC15_1,duration,brier_skill,reference,learner,0.004044808014571708,0.37466833731699184,0.37062352930242015,2,216,raw-within-metric
BPIC15_1,duration,brier_skill,reference,split,0.29943421115569324,0.7652358513395694,0.46580164018387615,6,216,raw-within-metric
BPIC15_1,duration,brier_skill,reference,quality_level,0.022600944458609693,0.21278470307677927,0.19018375861816958,6,216,raw-within-metric
BPIC15_1,duration,brier_skill,reference,rung,0.12088988048840518,0.39424166490005624,0.2733517844116511,3,216,raw-within-metric
BPIC15_1,duration,logloss_skill,reference,learner,0.08024472284136788,0.4214091770724312,0.34116445423106334,2,216,raw-within-metric
BPIC15_1,duration,logloss_skill,reference,split,0.3133439442016283,0.7555425672064082,0.4421986230047799,6,216,raw-within-metric
BPIC15_1,duration,logloss_skill,reference,quality_level,0.029474166964763553,0.24852063387342196,0.21904646690865842,6,216,raw-within-metric
BPIC15_1,duration,logloss_skill,reference,rung,0.06785325310637694,0.24614312315098333,0.1782898700446064,3,216,raw-within-metric
BPIC15_1,duration,nagelkerke,reference,learner,0.10515506014462919,0.4609530502552089,0.35579799011057966,2,216,raw-within-metric
BPIC15_1,duration,nagelkerke,reference,split,0.30118322631710226,0.7491784395782058,0.4479952132611036,6,216,raw-within-metric
BPIC15_1,duration,nagelkerke,reference,quality_level,0.030832752342600602,0.25414844461167835,0.22331569226907774,6,216,raw-within-metric
BPIC15_1,duration,nagelkerke,reference,rung,0.059784581514644115,0.18982424216414223,0.13003966064949812,3,216,raw-within-metric
BPIC15_1,handover,ap,reference,learner,0.009570481134751266,0.16674540702695032,0.15717492589219906,2,216,raw-within-metric
BPIC15_1,handover,ap,reference,split,0.02370240289172776,0.20882846610259773,0.18512606321086997,6,216,raw-within-metric
BPIC15_1,handover,ap,reference,quality_level,0.021189766776611267,0.15003152583921975,0.12884175906260847,6,216,raw-within-metric
BPIC15_1,handover,ap,reference,rung,0.6707734722626876,0.9068335674603194,0.23606009519763183,3,216,raw-within-metric
BPIC15_1,handover,auc,reference,learner,0.013265276520749296,0.20107355817450004,0.18780828165375074,2,216,raw-within-metric
