log,instrument,population,regime,b_lo,b_hi,V_lo,V_hi,R
BPIC13_incidents,nb_0.125,0.5,rare-first,empty,B0,0.003087781208645786,0.002142542063141961,0.30612244897959595
BPIC13_incidents,nb_0.125,0.5,rare-first,empty,B0+g,0.003087781208645786,0.004726195727519054,-0.5306122448979573
BPIC13_incidents,nb_0.125,0.5,rare-first,B0_half,B0,0.00270968555044427,0.002142542063141961,0.2093023255814026
BPIC13_incidents,nb_0.125,0.5,rare-first,B0_half,B0+g,0.00270968555044427,0.004726195727519054,-0.7441860465116201
BPIC13_incidents,nb_0.125,0.5,rare-first,B0,B0+g,0.002142542063141961,0.004726195727519054,-1.2058823529411868
BPIC13_incidents,nb_0.125,0.75,rare-first,empty,B0_half,0.003843972525048839,0.0030247652656122115,0.2131147540983579
BPIC13_incidents,nb_0.125,0.75,rare-first,empty,B0,0.003843972525048839,0.001953494234041217,0.4918032786885236
BPIC13_incidents,nb_0.125,0.75,rare-first,empty,B0+g,0.003843972525048839,0.005671434873022865,-0.47540983606557075
BPIC13_incidents,nb_0.125,0.75,rare-first,B0_half,B0,0.0030247652656122115,0.001953494234041217,0.35416666666666763
BPIC13_incidents,nb_0.125,0.75,rare-first,B0_half,B0+g,0.0030247652656122115,0.005671434873022865,-0.8749999999999898
BPIC13_incidents,nb_0.125,0.75,rare-first,B0,B0+g,0.001953494234041217,0.005671434873022865,-1.903225806451601
BPIC13_incidents,nb_0.125,1.0,full,empty,B0_half,0.003843972525048839,0.003087781208645786,0.1967213114754105
BPIC13_incidents,nb_0.125,1.0,full,empty,B0,0.003843972525048839,0.002520637721343505,0.34426229508196615
BPIC13_incidents,nb_0.125,1.0,full,empty,B0+g,0.003843972525048839,0.005482387043922107,-0.42622950819671956
BPIC13_incidents,nb_0.125,1.0,full,B0_half,B0,0.003087781208645786,0.002520637721343505,0.18367346938775309
BPIC13_incidents,nb_0.125,1.0,full,B0_half,B0+g,0.003087781208645786,0.005482387043922107,-0.775510204081632
BPIC13_incidents,nb_0.125,1.0,full,B0,B0+g,0.002520637721343505,0.005482387043922107,-1.1749999999999936
BPIC13_incidents,nb_0.150,0.25,rare-first,empty,B0_half,0.004021899893614263,0.0035548405511300254,0.1161290322580647
BPIC13_incidents,nb_0.150,0.25,rare-first,empty,B0,0.004021899893614263,0.003009937984898411,0.25161290322580776
BPIC13_incidents,nb_0.150,0.25,rare-first,empty,B0+g,0.004021899893614263,0.0027504605724071787,0.3161290322580632
BPIC13_incidents,nb_0.150,0.25,rare-first,B0_half,B0,0.0035548405511300254,0.003009937984898411,0.15328467153284808
BPIC13_incidents,nb_0.150,0.25,rare-first,B0_half,B0+g,0.0035548405511300254,0.0027504605724071787,0.22627737226277211
BPIC13_incidents,nb_0.150,0.25,rare-first,B0,B0+g,0.003009937984898411,0.0027504605724071787,0.08620689655172076
BPIC13_incidents,nb_0.150,0.5,random,empty,B0_half,0.0018163418874387015,0.0012714393212070853,0.30000000000000315
BPIC13_incidents,nb_0.150,0.5,random,empty,B0,0.0018163418874387015,0.0021277147824281858,-0.17142857142856727
BPIC13_incidents,nb_0.150,0.5,random,empty,B0+g,0.0018163418874387015,0.002516930901165072,-0.38571428571429345
BPIC13_incidents,nb_0.150,0.5,random,B0_half,B0,0.0012714393212070853,0.0021277147824281858,-0.6734693877551037
BPIC13_incidents,nb_0.150,0.5,random,B0_half,B0+g,0.0012714393212070853,0.002516930901165072,-0.9795918367347138
BPIC13_incidents,nb_0.150,0.5,random,B0,B0+g,0.0021277147824281858,0.002516930901165072,-0.1829268292683035
BPIC13_incidents,nb_0.150,0.5,rare-first,empty,B0_half,0.004021899893614263,0.003632683774877403,0.09677419354838612
BPIC13_incidents,nb_0.150,0.5,rare-first,empty,B0,0.004021899893614263,0.003944056669866886,0.019354838709678357
BPIC13_incidents,nb_0.150,0.5,rare-first,empty,B0+g,0.004021899893614263,0.004852227613586238,-0.20645161290322522
BPIC13_incidents,nb_0.150,0.5,rare-first,B0_half,B0,0.003632683774877403,0.003944056669866886,-0.08571428571428341
BPIC13_incidents,nb_0.150,0.5,rare-first,B0_half,B0+g,0.003632683774877403,0.004852227613586238,-0.33571428571428363
BPIC13_incidents,nb_0.150,0.5,rare-first,B0,B0+g,0.003944056669866886,0.004852227613586238,-0.2302631578947376
